,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.406,3.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
1,1814,2,-5.062,2.242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
2,1814,3,-2.137,2.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
3,1814,4,1.979,1.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
4,1814,5,-1.065,1.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
5,1814,6,-0.554,1.584,-0.844,1.321,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
6,1814,7,0.614,1.464,-0.833,1.240,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
7,1814,8,-0.243,1.416,-0.275,1.154,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
8,1814,9,-1.911,1.398,0.064,1.032,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
9,1814,10,-1.409,1.513,-0.004,1.032,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
10,1814,11,0.641,2.056,0.258,1.073,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
11,1814,12,1.420,1.786,0.360,1.047,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
12,1815,1,-2.263,2.035,0.240,1.024,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
13,1815,2,1.628,1.448,0.209,1.027,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
14,1815,3,1.934,1.138,0.356,1.081,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
15,1815,4,1.161,1.355,0.529,1.129,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
16,1815,5,2.081,1.668,0.370,1.040,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
17,1815,6,0.668,1.235,0.078,1.016,NaN,NaN,NaN,NaN,NaN,NaN,6.15,0.57
