,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1833,1,-4.451,2.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
1,1833,2,2.346,2.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
2,1833,3,-0.964,2.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
3,1833,4,-0.847,2.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
4,1833,5,2.678,2.244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
5,1833,6,1.392,2.358,-0.185,1.314,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
6,1833,7,-0.272,2.386,0.470,1.380,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
7,1833,8,-2.168,2.206,0.219,1.277,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
8,1833,9,-0.043,3.172,0.279,1.211,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
9,1833,10,-1.605,2.185,0.269,1.256,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
10,1833,11,-0.502,2.413,0.308,1.259,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
11,1833,12,2.220,3.655,0.359,1.310,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
12,1834,1,3.406,2.685,0.645,1.262,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
13,1834,2,-0.668,1.876,1.112,1.247,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
14,1834,3,-0.243,2.013,1.303,1.081,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
15,1834,4,-0.961,2.175,1.442,1.123,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
16,1834,5,3.135,2.143,1.409,1.149,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
17,1834,6,2.013,1.997,1.233,1.085,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
18,1834,7,3.163,2.059,0.977,1.035,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
19,1834,8,3.429,1.967,1.098,1.110,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
20,1834,9,2.252,1.921,1.056,1.197,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
21,1834,10,0.067,1.843,1.063,1.157,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
22,1834,11,-0.907,2.678,0.881,1.150,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
23,1834,12,0.117,2.774,0.748,1.099,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
24,1835,1,0.332,2.082,0.593,1.102,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
25,1835,2,0.778,2.363,0.385,1.078,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
26,1835,3,-0.746,2.501,0.226,1.122,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
27,1835,4,-0.871,2.043,0.134,1.166,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
28,1835,5,0.945,2.191,-0.182,0.980,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
29,1835,6,0.422,2.161,-0.506,0.991,-0.104,0.831,NaN,NaN,NaN,NaN,4.99,0.54
30,1835,7,1.296,2.201,-0.775,1.034,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
31,1835,8,0.940,1.936,-0.864,1.027,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
32,1835,9,0.336,1.957,-0.524,1.020,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
33,1835,10,-1.037,1.971,-0.458,1.029,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
34,1835,11,-4.698,3.689,-0.745,0.990,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
35,1835,12,-3.772,2.994,-0.715,0.993,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
36,1836,1,-2.891,2.883,-0.771,0.909,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
37,1836,2,-0.296,2.307,-0.816,0.904,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
38,1836,3,3.337,2.382,-0.869,0.911,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
39,1836,4,-0.076,2.097,-0.632,0.925,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
40,1836,5,-2.496,2.070,-0.358,0.988,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
41,1836,6,0.781,2.010,-0.025,0.981,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
42,1836,7,0.617,2.638,0.200,1.000,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
43,1836,8,0.406,2.003,0.112,0.953,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
44,1836,9,-0.300,2.059,-0.416,0.875,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
45,1836,10,1.801,2.182,-0.558,0.871,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
46,1836,11,-1.411,1.896,-0.440,0.918,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
47,1836,12,0.231,2.859,-0.477,0.907,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
48,1837,1,-0.199,2.949,-0.633,0.954,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
49,1837,2,-1.351,1.943,-0.515,0.965,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
50,1837,3,-2.999,2.380,-0.640,0.984,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
51,1837,4,-1.773,2.172,-0.920,0.974,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
52,1837,5,-1.087,2.350,-0.881,1.081,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
53,1837,6,0.341,2.369,-1.038,1.003,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
54,1837,7,-1.255,1.940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
55,1837,8,1.820,1.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
56,1837,9,-1.802,2.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
57,1837,10,-1.560,2.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
58,1837,11,-0.942,2.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
59,1837,12,-1.643,1.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
60,1838,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
61,1838,2,-6.200,3.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
62,1838,3,-0.473,2.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
63,1838,4,-2.598,1.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
64,1838,5,-1.051,1.883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
65,1838,6,-0.487,1.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
66,1838,7,-1.331,1.888,-1.640,0.835,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
67,1838,8,-1.402,1.957,-1.096,0.967,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
68,1838,9,-0.057,2.360,-1.271,0.896,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
69,1838,10,-2.042,2.151,-1.393,0.884,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
70,1838,11,-1.945,2.222,-1.385,0.946,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
71,1838,12,-1.860,1.895,-1.189,0.938,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
72,1839,1,-0.234,2.239,-1.113,0.989,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
73,1839,2,0.324,2.386,-1.113,1.007,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
74,1839,3,-2.573,1.961,-1.131,0.987,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
75,1839,4,-4.061,1.868,-0.967,1.026,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
76,1839,5,-0.950,2.619,-0.685,1.085,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
77,1839,6,1.859,1.930,-0.419,1.076,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
78,1839,7,-0.411,2.167,-0.564,1.036,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
79,1839,8,-1.410,2.097,-0.682,1.050,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
80,1839,9,-0.263,2.161,-0.614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
81,1839,10,-0.076,2.015,-0.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
82,1839,11,1.437,1.877,-0.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
83,1839,12,1.327,1.938,-0.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
84,1840,1,-1.967,1.941,-0.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
85,1840,2,-1.097,2.673,-0.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
86,1840,3,-1.759,2.085,-0.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
87,1840,4,-0.283,5.327,-0.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
88,1840,5,-0.179,4.082,-0.960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
89,1840,6,-0.996,2.326,-1.524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.99,0.54
90,1840,7,-1.152,3.473,-1.388,NaN,-0.995,NaN,NaN,NaN,NaN,NaN,4.99,0.54
91,1840,8,-0.945,2.370,-1.576,0.846,-0.906,NaN,NaN,NaN,NaN,NaN,4.99,0.54
92,1840,9,-1.985,4.511,-1.469,0.869,-0.959,NaN,NaN,NaN,NaN,NaN,4.99,0.54
93,1840,10,-2.879,2.488,-1.482,0.839,-0.928,NaN,NaN,NaN,NaN,NaN,4.99,0.54
94,1840,11,0.393,6.259,-1.411,0.810,-0.938,NaN,NaN,NaN,NaN,NaN,4.99,0.54
95,1840,12,-5.435,2.031,-1.336,0.788,-0.964,NaN,NaN,NaN,NaN,NaN,4.99,0.54
96,1841,1,-0.342,8.015,-1.409,0.777,-0.967,NaN,NaN,NaN,NaN,NaN,4.99,0.54
97,1841,2,-3.346,2.781,-1.431,0.765,-0.951,NaN,NaN,NaN,NaN,NaN,4.99,0.54
98,1841,3,-0.476,3.233,-1.198,0.746,-0.956,NaN,NaN,NaN,NaN,NaN,4.99,0.54
99,1841,4,-0.446,4.200,-1.074,0.751,-0.956,NaN,NaN,NaN,NaN,NaN,4.99,0.54
100,1841,5,0.674,2.880,-1.162,0.753,-0.938,NaN,NaN,NaN,NaN,NaN,4.99,0.54
101,1841,6,-0.097,5.442,-0.584,1.471,-0.867,NaN,NaN,NaN,NaN,NaN,4.99,0.54
102,1841,7,-2.026,2.515,-0.677,1.218,-0.881,NaN,NaN,NaN,NaN,NaN,4.99,0.54
103,1841,8,-1.207,2.164,-0.404,1.346,-0.897,NaN,NaN,NaN,NaN,NaN,4.99,0.54
104,1841,9,0.811,2.655,-0.206,1.339,-0.863,NaN,NaN,NaN,NaN,NaN,4.99,0.54
105,1841,10,-1.390,2.301,-0.260,1.322,-0.784,NaN,NaN,NaN,NaN,NaN,4.99,0.54
106,1841,11,-0.667,4.011,-0.426,1.235,-0.775,NaN,NaN,NaN,NaN,NaN,4.99,0.54
107,1841,12,1.504,3.806,-0.568,1.203,-0.828,NaN,NaN,NaN,NaN,NaN,4.99,0.54
108,1842,1,-1.453,2.196,-0.589,1.215,-0.854,NaN,NaN,NaN,NaN,NaN,4.99,0.54
109,1842,2,-0.074,4.631,-0.437,1.219,-0.862,NaN,NaN,NaN,NaN,NaN,4.99,0.54
110,1842,3,1.902,5.223,-0.582,1.177,-0.872,NaN,NaN,NaN,NaN,NaN,4.99,0.54
111,1842,4,-1.092,5.501,-0.697,1.135,-0.908,NaN,NaN,NaN,NaN,NaN,4.99,0.54
112,1842,5,-1.324,4.690,-0.867,1.050,-0.930,NaN,NaN,NaN,NaN,NaN,4.99,0.54
113,1842,6,-1.803,4.396,-1.019,1.107,-1.006,NaN,NaN,NaN,NaN,NaN,4.99,0.54
114,1842,7,-2.276,4.193,-0.707,1.145,-0.949,NaN,NaN,NaN,NaN,NaN,4.99,0.54
115,1842,8,0.613,3.730,-0.773,1.061,-0.987,NaN,NaN,NaN,NaN,NaN,4.99,0.54
116,1842,9,-0.923,2.517,-1.235,1.175,-1.018,NaN,NaN,NaN,NaN,NaN,4.99,0.54
117,1842,10,-2.774,1.925,-1.204,1.150,-1.022,NaN,NaN,NaN,NaN,NaN,4.99,0.54
118,1842,11,-2.707,4.280,-1.232,1.049,-1.058,NaN,NaN,NaN,NaN,NaN,4.99,0.54
119,1842,12,-0.318,4.105,-1.255,0.954,-1.050,NaN,NaN,NaN,NaN,NaN,4.99,0.54
120,1843,1,2.292,5.576,-1.187,NaN,-1.048,NaN,-0.950,NaN,NaN,NaN,4.99,0.54
121,1843,2,-0.865,3.495,-1.276,NaN,-1.056,NaN,-0.878,NaN,NaN,NaN,4.99,0.54
122,1843,3,-3.636,5.348,-1.229,NaN,-1.072,NaN,-0.873,NaN,NaN,NaN,4.99,0.54
123,1843,4,-0.722,2.261,-1.169,NaN,-1.055,NaN,-0.851,NaN,NaN,NaN,4.99,0.54
124,1843,5,-1.660,2.381,-1.016,NaN,-1.059,NaN,-0.849,NaN,NaN,NaN,4.99,0.54
125,1843,6,-2.081,2.248,-0.790,NaN,-0.988,NaN,-0.845,NaN,NaN,NaN,4.99,0.54
126,1843,7,-1.456,NaN,-1.068,NaN,-0.953,NaN,-0.842,NaN,NaN,NaN,4.99,0.54
127,1843,8,-0.462,NaN,-1.051,NaN,-0.890,NaN,-0.835,NaN,NaN,NaN,4.99,0.54
128,1843,9,-0.359,4.411,-0.789,NaN,-0.870,NaN,-0.851,NaN,NaN,NaN,4.99,0.54
129,1843,10,-2.059,2.912,-0.672,NaN,-0.857,NaN,-0.838,NaN,NaN,NaN,4.99,0.54
130,1843,11,-0.864,2.504,-0.572,NaN,-0.868,NaN,-0.824,NaN,NaN,NaN,4.99,0.54
131,1843,12,2.393,3.108,-0.505,NaN,-0.855,NaN,-0.806,NaN,NaN,NaN,4.99,0.54
132,1844,1,-1.051,2.895,-0.552,NaN,-0.818,NaN,-0.809,NaN,NaN,NaN,4.99,0.54
133,1844,2,-0.658,6.667,-0.668,2.288,-0.779,NaN,-0.804,NaN,NaN,NaN,4.99,0.54
134,1844,3,-0.494,6.796,-0.710,1.930,-0.780,NaN,-0.783,NaN,NaN,NaN,4.99,0.54
135,1844,4,0.680,6.303,-0.725,1.582,-0.768,NaN,-0.760,NaN,NaN,NaN,4.99,0.54
136,1844,5,-0.455,3.594,-0.646,1.365,-0.760,NaN,-0.757,NaN,NaN,NaN,4.99,0.54
137,1844,6,-1.276,2.291,-1.113,1.602,-0.832,NaN,-0.778,NaN,NaN,NaN,4.99,0.54
138,1844,7,-2.017,1.961,-0.906,NaN,-0.832,NaN,-0.788,NaN,NaN,NaN,4.99,0.54
139,1844,8,-1.855,2.072,-1.130,NaN,-0.845,NaN,-0.787,NaN,NaN,NaN,4.99,0.54
140,1844,9,-0.871,2.244,-1.391,NaN,-0.909,NaN,-0.794,NaN,NaN,NaN,4.99,0.54
141,1844,10,-2.236,7.117,-1.490,NaN,-0.925,NaN,-0.805,NaN,NaN,NaN,4.99,0.54
142,1844,11,0.083,4.923,-1.650,NaN,-0.902,NaN,-0.821,NaN,NaN,NaN,4.99,0.54
143,1844,12,-3.210,6.049,-1.587,NaN,-0.898,NaN,-0.842,NaN,NaN,NaN,4.99,0.54
144,1845,1,1.437,NaN,-1.504,NaN,-0.860,NaN,-0.843,NaN,NaN,NaN,4.99,0.54
145,1845,2,-3.353,2.811,-1.470,NaN,-0.876,NaN,-0.821,NaN,NaN,NaN,4.99,0.54
146,1845,3,-3.615,2.830,-1.642,NaN,-0.886,NaN,-0.821,NaN,NaN,NaN,4.99,0.54
147,1845,4,-0.516,2.095,-1.610,NaN,-0.874,NaN,-0.822,NaN,NaN,NaN,4.99,0.54
148,1845,5,-2.372,2.383,-1.604,NaN,-0.825,NaN,-0.834,NaN,NaN,NaN,4.99,0.54
149,1845,6,-0.519,4.397,-1.436,NaN,-0.825,NaN,-0.829,NaN,NaN,NaN,4.99,0.54
150,1845,7,-1.019,2.994,-1.408,0.801,-0.905,NaN,-0.824,NaN,NaN,NaN,4.99,0.54
151,1845,8,-1.446,2.263,-1.092,0.955,-0.850,NaN,-0.821,NaN,NaN,NaN,4.99,0.54
152,1845,9,-2.943,3.217,-0.729,1.096,-0.788,NaN,-0.819,NaN,NaN,NaN,4.99,0.54
153,1845,10,-1.848,4.904,-0.657,1.079,-0.775,NaN,-0.814,NaN,NaN,NaN,4.99,0.54
154,1845,11,0.154,2.212,-0.458,1.019,-0.760,NaN,-0.815,NaN,NaN,NaN,4.99,0.54
155,1845,12,-1.190,2.297,-0.361,1.038,-0.725,NaN,-0.776,NaN,NaN,NaN,4.99,0.54
156,1846,1,1.769,3.013,-0.258,1.051,-0.717,NaN,-0.764,NaN,NaN,NaN,4.99,0.54
157,1846,2,0.439,4.636,-0.045,1.112,-0.719,NaN,-0.731,NaN,NaN,NaN,4.99,0.54
158,1846,3,0.744,2.302,0.263,1.237,-0.746,NaN,-0.725,NaN,NaN,NaN,4.99,0.54
159,1846,4,0.347,2.224,0.360,1.236,-0.720,NaN,-0.719,NaN,NaN,NaN,4.99,0.54
160,1846,5,0.016,2.267,0.332,1.265,-0.710,NaN,-0.739,NaN,NaN,NaN,4.99,0.54
161,1846,6,0.639,1.979,0.196,1.031,-0.745,NaN,-0.747,NaN,NaN,NaN,4.99,0.54
162,1846,7,0.226,2.154,-0.071,0.972,-0.737,NaN,-0.736,NaN,NaN,NaN,4.99,0.54
163,1846,8,1.108,2.289,-0.180,1.195,-0.711,NaN,-0.733,NaN,NaN,NaN,4.99,0.54
164,1846,9,0.757,2.787,-0.403,1.095,-0.703,NaN,-0.748,NaN,NaN,NaN,4.99,0.54
165,1846,10,-0.693,2.825,-0.600,1.011,-0.736,NaN,-0.740,NaN,NaN,NaN,4.99,0.54
166,1846,11,-0.177,5.257,-0.596,0.991,-0.739,NaN,-0.751,NaN,NaN,NaN,4.99,0.54
167,1846,12,-2.826,2.756,-0.784,0.966,-0.729,NaN,-0.769,NaN,NaN,NaN,4.99,0.54
168,1847,1,-1.426,2.445,-0.801,0.984,-0.723,NaN,-0.745,NaN,NaN,NaN,4.99,0.54
169,1847,2,-0.871,2.103,-0.922,0.943,-0.711,NaN,-0.737,NaN,NaN,NaN,4.99,0.54
170,1847,3,-1.940,2.595,-1.112,0.903,-0.717,NaN,-0.771,NaN,NaN,NaN,4.99,0.54
171,1847,4,-2.008,2.536,-1.225,0.962,-0.703,NaN,-0.781,NaN,NaN,NaN,4.99,0.54
172,1847,5,0.053,2.503,-1.193,0.990,-0.712,NaN,-0.776,NaN,NaN,NaN,4.99,0.54
173,1847,6,-1.614,2.311,-0.980,1.003,-0.678,NaN,-0.766,NaN,NaN,NaN,4.99,0.54
174,1847,7,0.024,2.034,-1.071,1.119,-0.737,1.079,-0.744,NaN,NaN,NaN,4.99,0.54
175,1847,8,-0.346,2.730,-0.794,1.325,-0.656,1.137,-0.746,NaN,NaN,NaN,4.99,0.54
176,1847,9,-1.521,2.280,-0.627,1.407,-0.624,1.191,-0.739,NaN,NaN,NaN,4.99,0.54
177,1847,10,-2.049,2.471,-0.454,1.486,-0.622,1.205,-0.730,NaN,NaN,NaN,4.99,0.54
178,1847,11,0.205,3.696,-0.526,1.481,-0.610,1.209,-0.696,NaN,NaN,NaN,4.99,0.54
179,1847,12,-0.265,2.957,-0.387,1.494,-0.608,1.209,-0.671,NaN,NaN,NaN,4.99,0.54
180,1848,1,-2.516,6.195,-0.473,1.408,-0.599,1.225,-0.680,NaN,-0.816,NaN,4.99,0.54
181,1848,2,2.447,4.741,-0.491,1.493,-0.585,1.257,-0.688,NaN,-0.799,NaN,4.99,0.54
182,1848,3,0.062,2.808,-0.528,1.469,-0.566,1.270,-0.679,NaN,-0.801,NaN,4.99,0.54
183,1848,4,0.071,2.769,-0.398,1.463,-0.574,1.271,-0.676,NaN,-0.795,NaN,4.99,0.54
