,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1917,3,-1.331,0.830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
1,1917,4,-1.164,0.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
2,1917,5,-1.172,0.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
3,1917,6,-0.774,0.772,-0.932,0.417,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
4,1917,7,0.012,0.701,-0.942,0.416,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
5,1917,8,-0.599,0.873,-0.926,0.411,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
6,1917,9,-0.828,0.718,-0.911,0.404,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
7,1917,10,-0.723,0.812,-0.911,0.395,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
8,1917,11,-0.934,0.735,-0.854,0.400,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
9,1917,12,-1.274,0.856,-0.837,0.390,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
10,1918,1,-1.157,0.747,-0.880,0.385,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
11,1918,2,-1.164,0.691,-0.887,0.378,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
12,1918,3,-1.159,0.863,-0.870,0.386,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
13,1918,4,-1.162,0.736,-0.822,0.382,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
14,1918,5,-0.486,0.881,-0.791,0.379,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
15,1918,6,-0.566,0.835,-0.768,0.359,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
16,1918,7,-0.504,0.811,-0.735,0.360,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
17,1918,8,-0.681,0.769,-0.694,0.371,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
18,1918,9,-0.634,0.770,-0.702,0.383,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
19,1918,10,-0.139,0.848,-0.631,0.387,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
20,1918,11,-0.570,0.736,-0.638,0.407,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
21,1918,12,-0.995,0.786,-0.642,0.407,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
22,1919,1,-0.762,0.799,-0.631,0.415,NaN,NaN,NaN,NaN,NaN,NaN,23.65,0.46
23,1919,2,-0.668,0.860,-0.601,0.425,-0.671,0.275,NaN,NaN,NaN,NaN,23.65,0.46
24,1919,3,-1.256,0.768,-0.563,0.427,-0.655,0.275,NaN,NaN,NaN,NaN,23.65,0.46
25,1919,4,-0.306,0.827,-0.563,0.418,-0.644,0.276,NaN,NaN,NaN,NaN,23.65,0.46
26,1919,5,-0.573,0.771,-0.549,0.425,-0.626,0.275,NaN,NaN,NaN,NaN,23.65,0.46
27,1919,6,-0.617,0.785,-0.515,0.448,-0.609,0.274,NaN,NaN,NaN,NaN,23.65,0.46
28,1919,7,-0.366,0.792,-0.494,0.430,-0.603,0.273,NaN,NaN,NaN,NaN,23.65,0.46
29,1919,8,-0.331,0.820,-0.505,0.432,-0.594,0.276,NaN,NaN,NaN,NaN,23.65,0.46
30,1919,9,-0.177,0.812,-0.450,0.445,-0.576,0.277,NaN,NaN,NaN,NaN,23.65,0.46
31,1919,10,-0.138,0.820,-0.429,0.437,-0.556,0.278,NaN,NaN,NaN,NaN,23.65,0.46
