,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1873,3,-1.540,0.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
1,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
2,1873,5,-1.157,0.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
3,1873,6,-0.311,0.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
4,1873,7,0.069,1.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
5,1873,8,-0.407,0.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
6,1873,9,-0.407,0.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
7,1873,10,-1.610,1.128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
8,1873,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
9,1873,12,-1.436,1.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
10,1874,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
11,1874,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
12,1874,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
13,1874,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
14,1874,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
15,1874,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
16,1874,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.37,0.24
