,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.676,2.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
1,1814,2,-3.866,2.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
2,1814,3,-2.950,1.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
3,1814,4,2.296,1.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
4,1814,5,-1.750,1.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
5,1814,6,-2.109,2.895,-1.123,1.187,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
6,1814,7,0.488,1.719,-1.060,1.171,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
7,1814,8,-0.575,1.917,-0.469,1.129,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
8,1814,9,-1.928,4.202,0.008,1.134,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
9,1814,10,-2.232,1.637,-0.079,1.117,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
10,1814,11,0.263,1.905,0.137,1.112,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
11,1814,12,1.569,1.702,0.270,1.011,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
12,1815,1,-1.927,1.901,0.055,1.051,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
13,1815,2,3.222,1.740,-0.059,1.008,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
14,1815,3,2.782,1.816,-0.005,1.098,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
15,1815,4,1.251,1.869,0.166,1.148,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
16,1815,5,0.839,2.005,0.075,1.125,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
17,1815,6,-0.517,1.787,-0.185,1.113,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
18,1815,7,-2.084,2.070,0.107,1.112,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
19,1815,8,-1.943,1.597,-0.170,1.142,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
20,1815,9,-1.282,1.663,-0.488,1.116,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
21,1815,10,-0.179,2.007,-0.525,1.139,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
22,1815,11,-0.824,1.772,-0.710,1.189,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
23,1815,12,-1.557,1.761,-0.913,1.289,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
24,1816,1,1.581,1.875,-0.889,1.356,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
25,1816,2,-0.102,1.981,-0.956,1.399,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
26,1816,3,-1.036,1.636,-0.998,1.513,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
27,1816,4,0.802,2.086,-1.082,1.603,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
28,1816,5,-1.373,2.539,-1.127,1.737,NaN,NaN,NaN,NaN,NaN,NaN,12.04,0.34
29,1816,6,-2.956,2.846,-0.987,1.747,-0.318,1.505,NaN,NaN,NaN,NaN,12.04,0.34
30,1816,7,-1.796,2.817,-0.853,1.776,-0.238,1.477,NaN,NaN,NaN,NaN,12.04,0.34
31,1816,8,-2.753,1.912,-0.517,1.788,-0.145,1.435,NaN,NaN,NaN,NaN,12.04,0.34
32,1816,9,-1.789,2.592,-0.450,1.895,-0.106,1.459,NaN,NaN,NaN,NaN,12.04,0.34
33,1816,10,-1.185,2.903,-0.844,1.888,-0.126,1.403,NaN,NaN,NaN,NaN,12.04,0.34
34,1816,11,-1.367,2.954,-0.810,1.937,-0.054,NaN,NaN,NaN,NaN,NaN,12.04,0.34
35,1816,12,0.132,1.834,-0.490,1.939,0.012,NaN,NaN,NaN,NaN,NaN,12.04,0.34
36,1817,1,3.182,2.114,-0.464,1.976,0.035,NaN,NaN,NaN,NaN,NaN,12.04,0.34
37,1817,2,3.935,2.103,-0.350,2.132,0.063,NaN,NaN,NaN,NaN,NaN,12.04,0.34
