,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.527,2.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
1,1814,2,-4.486,2.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
2,1814,3,-2.948,2.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
3,1814,4,1.649,1.540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
4,1814,5,-1.325,1.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
5,1814,6,-1.274,1.571,-1.264,1.140,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
6,1814,7,0.174,1.550,-1.152,1.085,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
7,1814,8,-0.325,1.516,-0.497,1.007,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
8,1814,9,-1.999,1.562,-0.061,0.925,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
9,1814,10,-2.776,1.576,-0.164,0.924,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
10,1814,11,0.660,1.982,0.047,0.945,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
11,1814,12,1.009,1.963,0.210,0.933,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
12,1815,1,-2.186,1.936,0.070,0.913,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
13,1815,2,3.380,1.631,0.046,0.920,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
14,1815,3,2.276,1.380,0.101,0.943,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
15,1815,4,0.418,1.537,0.266,0.973,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
16,1815,5,1.205,1.666,0.106,0.911,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
17,1815,6,0.681,1.424,-0.172,0.906,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
18,1815,7,-1.507,1.448,0.159,0.884,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
19,1815,8,-0.608,1.556,-0.156,0.871,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
20,1815,9,-1.337,1.862,-0.355,0.867,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
21,1815,10,-0.796,1.970,-0.423,0.865,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
22,1815,11,-1.264,1.467,-0.562,0.857,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
23,1815,12,-2.331,1.618,-0.692,0.904,NaN,NaN,NaN,NaN,NaN,NaN,5.48,0.29
