,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1864,1,-2.491,2.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
1,1864,2,-0.066,2.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
2,1864,3,2.024,2.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
3,1864,4,-1.599,2.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
4,1864,5,-0.885,2.563,-0.498,0.930,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
5,1864,6,-0.248,2.699,-0.473,0.929,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
6,1864,7,-0.704,2.658,-0.198,0.951,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
7,1864,8,-0.728,2.335,-0.289,0.934,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
8,1864,9,-0.013,2.545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
9,1864,10,0.266,2.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
10,1864,11,-0.177,2.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
11,1864,12,-1.049,2.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
12,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
13,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
14,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
15,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
16,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
17,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
18,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
19,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
20,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
21,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
22,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
23,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
24,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
25,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
26,1866,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
27,1866,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
28,1866,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
29,1866,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.11,1.45
