,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1864,1,-1.983,2.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
1,1864,2,0.191,2.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
2,1864,3,0.837,2.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
3,1864,4,-0.952,2.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
4,1864,5,-0.994,2.102,-0.429,0.857,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
5,1864,6,1.412,2.045,-0.451,0.832,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
6,1864,7,-0.981,1.977,-0.225,0.865,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
7,1864,8,-0.885,2.009,-0.314,0.819,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
8,1864,9,-0.236,2.040,-0.352,0.802,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
9,1864,10,0.061,2.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
10,1864,11,-0.833,2.263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
11,1864,12,-1.048,2.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
12,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
13,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
14,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
15,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
16,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
17,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
18,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
19,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,0.43
