,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.884,2.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
4,1857,7,0.493,3.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
12,1858,3,-1.474,2.801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
13,1858,4,0.548,1.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
14,1858,5,-0.121,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
15,1858,6,1.325,2.249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
17,1858,8,0.373,2.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
18,1858,9,0.809,1.464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
21,1858,12,-1.795,3.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
22,1859,1,-1.297,2.938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
23,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
24,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
25,1859,4,1.495,2.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
26,1859,5,2.057,2.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
27,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
28,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
29,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
30,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
31,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
32,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
33,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
34,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
35,1860,2,-1.512,2.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
36,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
37,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
38,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
39,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
40,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
41,1860,8,-0.327,2.525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
42,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
43,1860,10,-2.007,3.830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
44,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.59,0.38
