,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,1.056,1.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
1,1846,2,0.344,2.514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
2,1846,3,0.490,1.672,-0.078,0.447,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
3,1846,4,0.160,0.806,-0.128,0.438,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
4,1846,5,-0.004,1.216,-0.192,0.434,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
5,1846,6,-0.426,0.994,-0.147,0.433,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
6,1846,7,-0.129,1.554,-0.290,0.445,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
7,1846,8,-0.560,1.399,-0.423,0.469,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
8,1846,9,-0.174,2.071,-0.638,0.455,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
9,1846,10,-0.993,3.219,-0.830,0.465,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
10,1846,11,-0.516,2.628,-0.884,0.537,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
11,1846,12,-1.019,1.147,-1.061,0.625,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
12,1847,1,-0.659,1.908,-1.166,0.603,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
13,1847,2,-1.249,0.904,-1.250,0.681,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
14,1847,3,-2.094,1.781,-1.405,0.857,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
15,1847,4,-2.135,2.053,-1.482,0.752,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
16,1847,5,-0.659,1.855,-1.527,0.836,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
17,1847,6,-2.549,2.345,-1.491,0.905,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
18,1847,7,-1.383,2.116,-1.506,0.675,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
19,1847,8,-1.575,2.294,-1.382,0.749,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
20,1847,9,-2.033,1.989,-1.317,0.731,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
21,1847,10,-1.915,1.476,-1.166,0.852,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
22,1847,11,-1.058,2.585,-1.207,0.868,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
23,1847,12,-0.588,1.082,-1.073,0.842,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
24,1848,1,-0.833,5.472,-1.090,0.863,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
25,1848,2,0.241,2.086,-1.015,0.719,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
26,1848,3,-1.313,2.164,-0.997,0.720,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
27,1848,4,-0.331,1.865,-0.941,0.745,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
28,1848,5,-1.149,2.127,-0.973,0.771,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
29,1848,6,-0.944,1.228,-0.943,0.760,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
30,1848,7,-1.581,2.376,-0.935,1.248,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
31,1848,8,-0.680,0.815,-1.007,1.566,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
32,1848,9,-1.814,2.283,-0.959,1.318,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
33,1848,10,-1.242,2.298,-1.113,1.309,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
34,1848,11,-1.439,2.524,-1.196,1.663,NaN,NaN,NaN,NaN,NaN,NaN,29.48,0.34
