,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.694,1.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
1,1846,2,-1.041,3.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
2,1846,3,0.026,0.922,-0.449,0.497,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
3,1846,4,0.034,0.921,-0.388,0.490,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
4,1846,5,0.162,1.464,-0.388,0.494,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
5,1846,6,0.113,0.871,-0.247,0.544,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
6,1846,7,-0.370,1.229,-0.313,0.510,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
7,1846,8,-0.349,1.042,-0.288,0.808,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
8,1846,9,0.272,1.971,-0.427,0.787,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
9,1846,10,-1.122,2.235,-0.535,0.697,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
10,1846,11,-0.392,4.970,-0.579,0.568,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
11,1846,12,-0.987,2.085,-0.720,0.575,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
12,1847,1,-0.101,1.665,-0.749,0.647,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
13,1847,2,-0.746,1.250,-0.831,0.572,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
14,1847,3,-1.639,0.917,-0.961,0.462,NaN,NaN,NaN,NaN,NaN,NaN,23.40,0.60
15,1847,4,-1.258,1.491,-1.009,0.550,-0.893,NaN,NaN,NaN,NaN,NaN,23.40,0.60
16,1847,5,-0.364,1.297,-1.035,0.457,-0.886,NaN,NaN,NaN,NaN,NaN,23.40,0.60
17,1847,6,-1.581,0.883,-0.972,0.469,-0.872,NaN,NaN,NaN,NaN,NaN,23.40,0.60
18,1847,7,-0.716,0.810,-0.989,0.720,-0.911,0.556,NaN,NaN,NaN,NaN,23.40,0.60
19,1847,8,-1.332,1.817,-0.895,0.888,-0.889,0.586,NaN,NaN,NaN,NaN,23.40,0.60
20,1847,9,-1.297,1.120,-0.828,0.899,-0.886,0.607,NaN,NaN,NaN,NaN,23.40,0.60
21,1847,10,-1.699,1.244,-0.798,0.894,-0.897,0.606,NaN,NaN,NaN,NaN,23.40,0.60
22,1847,11,-0.697,2.622,-0.844,0.943,-0.877,0.611,NaN,NaN,NaN,NaN,23.40,0.60
23,1847,12,-0.230,1.796,-0.771,0.898,-0.866,0.616,NaN,NaN,NaN,NaN,23.40,0.60
24,1848,1,-0.313,6.542,-0.807,0.788,-0.846,0.630,NaN,NaN,NaN,NaN,23.40,0.60
25,1848,2,0.388,3.115,-0.780,0.897,-0.834,0.647,NaN,NaN,NaN,NaN,23.40,0.60
26,1848,3,-0.837,1.446,-0.829,0.820,-0.808,0.652,NaN,NaN,NaN,NaN,23.40,0.60
27,1848,4,-0.898,1.671,-0.746,0.786,-0.799,0.658,NaN,NaN,NaN,NaN,23.40,0.60
28,1848,5,-0.911,1.261,-0.760,0.724,-0.806,0.664,NaN,NaN,NaN,NaN,23.40,0.60
29,1848,6,-0.707,1.551,-0.762,0.964,-0.776,0.586,NaN,NaN,NaN,NaN,23.40,0.60
30,1848,7,-1.156,1.642,-0.790,0.925,-0.782,0.587,-0.874,NaN,NaN,NaN,23.40,0.60
31,1848,8,-1.009,1.152,-0.863,0.964,-0.761,0.631,-0.872,NaN,NaN,NaN,23.40,0.60
32,1848,9,-1.874,2.609,-0.829,0.790,-0.768,0.648,-0.877,NaN,NaN,NaN,23.40,0.60
33,1848,10,-0.713,1.556,-0.896,0.748,-0.779,0.659,-0.866,NaN,NaN,NaN,23.40,0.60
34,1848,11,-0.861,1.516,-0.932,0.851,-0.804,0.653,-0.856,NaN,NaN,NaN,23.40,0.60
35,1848,12,NaN,NaN,-0.934,0.782,-0.826,0.657,-0.873,NaN,NaN,NaN,23.40,0.60
36,1849,1,-0.647,0.877,-0.967,0.801,-0.834,0.656,-0.862,NaN,NaN,NaN,23.40,0.60
37,1849,2,-0.495,1.613,-0.983,0.800,-0.854,0.649,-0.867,NaN,NaN,NaN,23.40,0.60
38,1849,3,-0.422,2.559,-0.914,0.757,-0.875,0.642,-0.866,NaN,NaN,NaN,23.40,0.60
39,1849,4,-1.710,1.081,-0.934,0.796,-0.870,0.662,-0.885,NaN,NaN,NaN,23.40,0.60
40,1849,5,-1.334,1.135,-0.882,0.929,-0.892,0.617,-0.888,NaN,NaN,NaN,23.40,0.60
41,1849,6,-0.737,1.397,-0.929,0.585,-0.895,0.610,-0.882,NaN,NaN,NaN,23.40,0.60
42,1849,7,-1.550,0.846,-0.902,0.768,-0.891,0.612,-0.869,NaN,NaN,NaN,23.40,0.60
43,1849,8,-1.200,1.181,-0.881,0.944,-0.881,0.626,-0.857,NaN,NaN,NaN,23.40,0.60
44,1849,9,-1.047,0.749,-0.946,0.788,-0.880,0.623,-0.854,NaN,NaN,NaN,23.40,0.60
45,1849,10,-0.951,1.227,-0.926,0.733,-0.885,0.610,-0.846,NaN,NaN,NaN,23.40,0.60
46,1849,11,-0.244,3.770,-0.951,0.718,-0.893,0.603,-0.853,NaN,NaN,NaN,23.40,0.60
47,1849,12,-0.813,1.346,-0.936,0.649,-0.885,0.607,-0.846,NaN,NaN,NaN,23.40,0.60
48,1850,1,-0.326,3.782,-0.854,0.697,-0.891,0.606,-0.861,0.601,NaN,NaN,23.40,0.60
49,1850,2,-0.234,1.941,-0.849,0.736,-0.887,0.598,-0.852,0.636,NaN,NaN,23.40,0.60
50,1850,3,-1.205,0.943,-0.886,0.663,-0.881,0.591,-0.844,0.660,NaN,NaN,23.40,0.60
