,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-2.499,3.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
4,1857,7,1.171,4.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
12,1858,3,-1.984,3.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
13,1858,4,0.782,1.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
14,1858,5,-0.081,1.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
15,1858,6,1.661,3.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
17,1858,8,0.660,2.720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
18,1858,9,1.290,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
21,1858,12,-2.076,4.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
22,1859,1,-1.804,3.740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
23,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
24,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
25,1859,4,1.882,2.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
26,1859,5,2.549,3.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
27,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
28,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
29,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
30,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
31,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
32,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
33,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
34,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
35,1860,2,-2.489,3.820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
36,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
37,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
38,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
39,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
40,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
41,1860,8,-0.681,2.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
42,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
43,1860,10,-2.877,5.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
44,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
45,1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
46,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
47,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
48,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
49,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
50,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
51,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
52,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
53,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
54,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
55,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
56,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
57,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
58,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
59,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
60,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
61,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
62,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
63,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
64,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
65,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
66,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
67,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
68,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
69,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
70,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
71,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
72,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
73,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
74,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
75,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
76,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
77,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
78,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
79,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
80,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
81,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
82,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
83,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
84,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
85,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
86,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
87,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
88,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
89,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
90,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
91,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
92,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
93,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
94,1865,1,0.497,1.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
95,1865,2,0.711,2.090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
96,1865,3,0.445,1.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
97,1865,4,0.014,1.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
98,1865,5,0.167,1.836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
99,1865,6,0.025,1.724,0.166,0.661,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
100,1865,7,-0.437,1.545,0.069,0.649,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
101,1865,8,-0.880,1.396,-0.020,0.707,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
102,1865,9,0.218,1.395,-0.123,0.684,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
103,1865,10,1.018,1.931,-0.109,0.672,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
104,1865,11,1.052,1.484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
105,1865,12,-0.836,2.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
106,1866,1,-0.673,2.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
107,1866,2,-0.351,1.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
108,1866,3,-0.795,1.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
109,1866,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
110,1866,5,-0.455,1.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
111,1866,6,-0.011,1.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
112,1866,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
113,1866,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
114,1866,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
115,1866,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
116,1866,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
117,1866,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
118,1867,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
119,1867,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
120,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
121,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
122,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
123,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
124,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
125,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
126,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.05,0.60
