,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,0.149,2.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
1,1849,2,0.378,1.500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
2,1849,3,0.322,1.349,-0.458,0.942,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
3,1849,4,-0.939,2.099,-0.484,0.864,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
4,1849,5,-0.853,1.824,-0.407,0.745,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
5,1849,6,-1.051,1.671,-0.458,0.598,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
6,1849,7,-1.533,0.914,-0.460,0.552,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
7,1849,8,-1.448,1.386,-0.441,0.550,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
8,1849,9,-1.032,0.845,-0.462,0.638,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
9,1849,10,-0.316,0.952,-0.415,0.643,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
10,1849,11,0.270,2.422,-0.407,0.682,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
11,1849,12,0.554,1.943,-0.356,0.730,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
12,1850,1,0.133,2.131,-0.311,0.717,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
13,1850,2,0.601,1.968,-0.304,0.713,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
14,1850,3,0.072,2.245,-0.309,0.860,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
15,1850,4,-0.374,2.095,-0.337,0.955,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
16,1850,5,-0.757,1.946,-0.380,1.192,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
17,1850,6,-0.439,1.173,-0.366,1.352,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
18,1850,7,-0.996,1.568,-0.358,1.346,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
19,1850,8,-1.358,1.904,-0.367,1.322,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
20,1850,9,-1.094,2.682,-0.358,1.256,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
21,1850,10,-0.655,2.086,-0.309,1.176,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
22,1850,11,-0.247,1.758,-0.288,1.100,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
23,1850,12,0.719,4.003,-0.334,1.162,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
24,1851,1,0.234,1.008,-0.338,1.271,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
25,1851,2,0.487,1.669,-0.346,1.296,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
26,1851,3,0.181,1.132,-0.302,1.180,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
27,1851,4,0.221,1.318,-0.282,1.107,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
28,1851,5,-0.506,1.052,-0.302,1.100,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
29,1851,6,-0.997,2.003,-0.309,1.009,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
30,1851,7,-1.039,1.918,-0.363,1.054,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
31,1851,8,-1.452,1.831,-0.396,1.204,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
32,1851,9,-0.569,3.738,-0.462,1.288,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
33,1851,10,-0.410,1.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
34,1851,11,-0.489,1.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.83,1.45
