,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1873,3,-1.610,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
1,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
2,1873,5,-1.176,0.765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
3,1873,6,-0.341,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
4,1873,7,0.096,1.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
5,1873,8,-0.435,0.850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
6,1873,9,-0.438,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
7,1873,10,-1.642,1.220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
8,1873,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
9,1873,12,-1.496,1.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
10,1874,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
11,1874,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
12,1874,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
13,1874,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
14,1874,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
15,1874,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
16,1874,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
17,1874,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
18,1874,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
19,1874,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
20,1874,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
21,1874,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
22,1875,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
23,1875,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
24,1875,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
25,1875,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
26,1875,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
27,1875,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
28,1875,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
29,1875,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
30,1875,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.02,0.28
