,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.638,2.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
1,1846,2,-0.189,1.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
2,1846,3,0.398,1.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
3,1846,4,0.124,1.004,-0.200,0.890,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
4,1846,5,-0.082,1.635,-0.240,0.934,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
5,1846,6,-0.220,1.316,-0.152,0.750,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
6,1846,7,-0.167,1.558,-0.199,0.541,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
7,1846,8,-0.168,1.074,-0.293,0.449,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
8,1846,9,-0.201,1.314,-0.469,0.443,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
9,1846,10,-0.954,1.611,-0.618,0.531,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
10,1846,11,-0.491,1.605,-0.683,0.673,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
11,1846,12,-0.506,1.703,-0.795,0.942,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
12,1847,1,0.063,1.885,-0.871,1.018,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
13,1847,2,-1.314,1.606,-0.938,1.120,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
14,1847,3,-1.715,1.062,-1.008,1.409,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
15,1847,4,-1.664,2.395,-1.034,1.487,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
16,1847,5,-0.863,1.945,-1.040,1.687,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
17,1847,6,-1.558,3.242,-1.021,1.620,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
18,1847,7,-1.077,1.009,-1.084,1.362,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
19,1847,8,-0.980,1.907,-0.981,1.144,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
20,1847,9,-1.035,3.190,-0.927,1.223,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
21,1847,10,-1.266,2.464,-0.833,1.053,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
22,1847,11,-0.572,1.481,-0.850,0.969,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
23,1847,12,-0.269,1.383,-0.788,0.780,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
24,1848,1,-0.690,2.162,-0.811,0.879,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
25,1848,2,-0.084,1.924,-0.782,0.733,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
26,1848,3,-1.067,1.962,-0.798,0.690,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
27,1848,4,-0.534,0.898,-0.770,0.650,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
28,1848,5,-1.069,1.417,-0.794,0.624,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
29,1848,6,-0.819,0.970,-0.767,0.681,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
30,1848,7,-1.348,1.825,-0.739,0.963,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
31,1848,8,-0.629,0.782,-0.769,1.291,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
32,1848,9,-1.234,2.616,-0.727,1.100,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
33,1848,10,-0.925,1.756,-0.840,1.241,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
34,1848,11,-0.864,1.167,-0.883,1.545,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
35,1848,12,0.063,2.140,-0.897,1.608,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
36,1849,1,-0.354,2.523,-0.913,1.365,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
37,1849,2,-0.452,2.948,-0.921,1.489,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
38,1849,3,-0.557,1.105,-0.918,1.385,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
39,1849,4,-1.886,1.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
40,1849,5,-1.595,3.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
41,1849,6,-0.985,1.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
42,1849,7,-1.534,1.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.97,0.30
