,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.518,1.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
1,1846,2,-1.144,3.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
2,1846,3,0.254,1.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
3,1846,4,0.309,0.838,0.037,1.053,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
4,1846,5,0.430,0.877,-0.018,1.026,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
5,1846,6,0.504,0.713,0.099,0.949,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
6,1846,7,-0.036,1.049,0.126,1.166,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
7,1846,8,0.198,1.893,0.131,0.850,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
8,1846,9,0.594,0.727,-0.017,0.807,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
9,1846,10,-0.333,3.473,-0.122,0.951,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
10,1846,11,0.169,1.464,-0.180,0.943,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
11,1846,12,-0.271,1.054,-0.255,1.075,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
12,1847,1,0.836,1.946,-0.271,1.038,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
13,1847,2,-1.086,2.030,-0.339,1.084,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
14,1847,3,-1.522,1.732,-0.394,1.211,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
15,1847,4,-0.951,2.890,-0.421,1.153,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
16,1847,5,-0.269,0.679,-0.421,1.298,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
17,1847,6,-0.393,2.186,-0.366,1.252,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
18,1847,7,-0.223,0.748,-0.453,1.031,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
19,1847,8,-0.615,2.324,-0.331,1.141,NaN,NaN,NaN,NaN,NaN,NaN,24.05,0.23
20,1847,9,-0.069,2.015,-0.247,1.260,-0.402,1.024,NaN,NaN,NaN,NaN,24.05,0.23
21,1847,10,-0.658,2.692,-0.196,1.248,-0.398,1.019,NaN,NaN,NaN,NaN,24.05,0.23
22,1847,11,0.174,2.044,-0.200,1.361,-0.380,1.016,NaN,NaN,NaN,NaN,24.05,0.23
23,1847,12,0.388,1.635,-0.194,1.338,-0.365,0.992,NaN,NaN,NaN,NaN,24.05,0.23
24,1848,1,-0.216,1.664,-0.226,1.431,-0.350,0.970,NaN,NaN,NaN,NaN,24.05,0.23
25,1848,2,0.378,1.786,-0.241,1.332,-0.344,0.976,NaN,NaN,NaN,NaN,24.05,0.23
26,1848,3,-0.505,2.653,-0.301,1.431,-0.332,0.967,NaN,NaN,NaN,NaN,24.05,0.23
27,1848,4,-0.343,2.167,-0.258,1.361,-0.316,0.976,NaN,NaN,NaN,NaN,24.05,0.23
28,1848,5,-0.318,1.339,-0.286,1.128,-0.337,0.986,NaN,NaN,NaN,NaN,24.05,0.23
29,1848,6,-0.323,1.995,-0.236,1.372,-0.308,1.020,NaN,NaN,NaN,NaN,24.05,0.23
30,1848,7,-0.609,2.009,-0.254,1.535,-0.311,1.048,NaN,NaN,NaN,NaN,24.05,0.23
31,1848,8,-0.788,1.089,-0.329,1.633,-0.295,1.005,NaN,NaN,NaN,NaN,24.05,0.23
32,1848,9,-0.796,3.547,-0.342,1.394,-0.311,0.985,NaN,NaN,NaN,NaN,24.05,0.23
33,1848,10,-0.139,1.820,-0.432,1.373,-0.322,0.989,-0.412,0.439,NaN,NaN,24.05,0.23
34,1848,11,-0.155,1.359,-0.470,1.419,-0.342,1.001,-0.406,0.435,NaN,NaN,24.05,0.23
35,1848,12,NaN,NaN,-0.478,1.298,-0.360,1.020,-0.418,0.430,NaN,NaN,24.05,0.23
36,1849,1,-0.431,1.909,-0.509,1.125,-0.367,1.030,-0.408,0.425,NaN,NaN,24.05,0.23
37,1849,2,-0.522,1.047,-0.485,1.122,-0.388,1.018,-0.400,0.985,NaN,NaN,24.05,0.23
