,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1877,1,-2.173,4.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
1,1877,2,-1.840,4.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
2,1877,3,1.538,3.644,-0.030,1.204,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
3,1877,4,0.860,3.801,-0.013,1.171,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
4,1877,5,0.238,3.566,-0.106,1.156,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
5,1877,6,0.858,2.650,-0.252,1.243,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
6,1877,7,0.051,2.807,-0.158,1.181,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
7,1877,8,0.463,2.582,-0.124,1.128,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
8,1877,9,1.339,3.081,-0.101,1.199,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
9,1877,10,-0.556,2.507,-0.115,1.344,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
10,1877,11,-2.330,4.650,-0.254,1.526,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
11,1877,12,-1.475,5.478,-0.288,1.599,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
12,1878,1,-1.044,3.446,-0.294,1.517,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
13,1878,2,-1.434,3.688,-0.329,1.534,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
14,1878,3,1.817,2.655,-0.570,1.818,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
15,1878,4,0.689,2.577,-0.560,1.857,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
16,1878,5,-1.422,2.608,-0.060,1.339,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
17,1878,6,0.449,2.465,0.412,1.130,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
18,1878,7,-0.023,2.469,0.695,1.329,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
19,1878,8,0.040,2.495,0.651,1.378,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
20,1878,9,-1.547,3.771,0.397,1.252,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
21,1878,10,-0.440,2.549,0.388,1.316,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
22,1878,11,3.669,5.627,0.457,1.413,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
23,1878,12,4.191,6.817,0.349,1.330,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
24,1879,1,2.351,4.837,0.310,1.349,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
25,1879,2,-1.963,2.824,0.265,1.425,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
26,1879,3,-1.234,3.138,0.294,1.475,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
27,1879,4,0.591,2.886,0.222,1.442,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
28,1879,5,-0.596,2.633,-0.020,1.268,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
29,1879,6,-0.855,2.984,-0.435,1.091,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
30,1879,7,-0.482,2.559,-0.699,1.164,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
31,1879,8,-0.509,2.701,-0.721,1.177,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
32,1879,9,-1.194,3.386,-0.678,1.191,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
33,1879,10,-1.301,2.867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
34,1879,11,0.762,2.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
35,1879,12,-0.789,2.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
36,1880,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
37,1880,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
38,1880,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
39,1880,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
40,1880,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
41,1880,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
42,1880,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
43,1880,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
44,1880,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
45,1880,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
46,1880,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
47,1880,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
48,1881,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
49,1881,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
50,1881,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
51,1881,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
52,1881,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
53,1881,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
54,1881,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
55,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
56,1881,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
57,1881,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
58,1881,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
59,1881,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
60,1882,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
61,1882,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
62,1882,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
63,1882,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
64,1882,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
65,1882,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
66,1882,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
67,1882,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
68,1882,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
69,1882,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
70,1882,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
71,1882,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
72,1883,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
73,1883,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
74,1883,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
75,1883,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
76,1883,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
77,1883,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
78,1883,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
79,1883,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
80,1883,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.56,1.28
