,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1873,7,0.585,2.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
1,1873,8,-0.543,2.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
2,1873,9,-0.651,2.354,-0.832,1.241,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
3,1873,10,-1.464,2.671,-0.717,1.221,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
4,1873,11,0.034,3.348,-0.450,1.317,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
5,1873,12,-1.528,2.923,-0.415,1.339,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
6,1874,1,-4.313,6.048,-0.540,1.275,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
7,1874,2,0.884,4.668,-0.605,1.219,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
8,1874,3,-0.415,2.670,-0.618,1.191,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
9,1874,4,0.592,3.521,-0.776,1.102,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
10,1874,5,1.795,5.362,-0.806,1.096,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
11,1874,6,0.045,2.518,-0.441,1.186,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
12,1874,7,-0.917,2.388,0.137,1.938,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
13,1874,8,-1.321,2.419,0.117,2.092,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
14,1874,9,-0.806,2.378,-0.108,1.857,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
15,1874,10,-3.360,5.945,-0.067,1.944,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
16,1874,11,-0.323,2.528,-0.510,1.488,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
17,1874,12,2.844,4.963,-0.706,1.354,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
18,1875,1,2.630,8.497,-0.658,1.386,NaN,NaN,NaN,NaN,NaN,NaN,-22.45,0.84
19,1875,2,0.637,6.535,-0.647,1.422,-0.486,0.990,NaN,NaN,NaN,NaN,-22.45,0.84
20,1875,3,-3.107,3.969,-0.633,1.472,-0.477,1.002,NaN,NaN,NaN,NaN,-22.45,0.84
21,1875,4,1.076,4.289,-0.423,1.704,-0.467,1.013,NaN,NaN,NaN,NaN,-22.45,0.84
22,1875,5,-3.518,4.077,-0.415,1.834,-0.476,0.984,NaN,NaN,NaN,NaN,-22.45,0.84
23,1875,6,-2.303,3.812,-0.433,1.933,-0.457,0.951,NaN,NaN,NaN,NaN,-22.45,0.84
24,1875,7,NaN,NaN,-0.755,1.526,-0.450,0.938,NaN,NaN,NaN,NaN,-22.45,0.84
25,1875,8,NaN,NaN,-0.835,1.399,-0.410,0.945,NaN,NaN,NaN,NaN,-22.45,0.84
26,1875,9,-0.637,2.412,-0.526,1.543,-0.361,0.960,NaN,NaN,NaN,NaN,-22.45,0.84
27,1875,10,NaN,NaN,-0.694,1.323,-0.312,0.980,NaN,NaN,NaN,NaN,-22.45,0.84
28,1875,11,-0.226,3.886,-0.496,1.403,-0.303,0.965,NaN,NaN,NaN,NaN,-22.45,0.84
29,1875,12,2.625,6.458,NaN,NaN,-0.301,0.947,NaN,NaN,NaN,NaN,-22.45,0.84
30,1876,1,-1.232,2.447,-0.379,1.517,-0.313,0.924,NaN,NaN,NaN,NaN,-22.45,0.84
31,1876,2,-0.331,3.613,-0.336,1.517,-0.314,0.909,NaN,NaN,NaN,NaN,-22.45,0.84
32,1876,3,0.606,4.317,-0.241,1.591,-0.320,0.888,NaN,NaN,NaN,NaN,-22.45,0.84
33,1876,4,-0.936,2.820,-0.240,1.536,-0.293,0.896,NaN,NaN,NaN,NaN,-22.45,0.84
34,1876,5,-1.142,2.372,-0.243,1.461,-0.239,0.932,NaN,NaN,NaN,NaN,-22.45,0.84
35,1876,6,NaN,NaN,-0.329,1.358,-0.130,1.064,NaN,NaN,NaN,NaN,-22.45,0.84
36,1876,7,-0.635,2.304,-0.243,1.428,-0.010,1.216,NaN,NaN,NaN,NaN,-22.45,0.84
37,1876,8,-0.673,2.269,-0.267,1.302,-0.024,1.196,NaN,NaN,NaN,NaN,-22.45,0.84
38,1876,9,0.509,2.725,-0.260,1.278,-0.029,1.192,NaN,NaN,NaN,NaN,-22.45,0.84
39,1876,10,-0.828,2.544,-0.169,1.369,-0.029,1.172,NaN,NaN,NaN,NaN,-22.45,0.84
40,1876,11,-0.263,2.957,-0.010,1.560,-0.067,1.126,NaN,NaN,NaN,NaN,-22.45,0.84
41,1876,12,1.585,4.834,0.020,1.586,-0.080,1.105,NaN,NaN,NaN,NaN,-22.45,0.84
42,1877,1,-0.197,2.605,0.009,1.515,-0.074,1.110,-0.394,0.844,NaN,NaN,-22.45,0.84
43,1877,2,-0.617,2.382,-0.011,1.478,-0.086,1.099,-0.411,0.815,NaN,NaN,-22.45,0.84
44,1877,3,0.691,3.763,0.003,1.465,-0.100,1.081,-0.419,0.796,NaN,NaN,-22.45,0.84
45,1877,4,NaN,NaN,0.100,1.594,-0.065,1.134,-0.416,0.796,NaN,NaN,-22.45,0.84
