,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,1,-0.332,0.690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
1,1824,2,-0.728,1.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
2,1824,3,-0.205,0.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
3,1824,4,0.039,1.605,-0.653,0.442,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
4,1824,5,-0.400,1.289,-0.538,0.423,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
5,1824,6,NaN,NaN,-0.318,0.423,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
6,1824,7,0.252,1.243,-0.269,0.481,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
7,1824,8,-0.667,1.880,-0.232,0.448,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
8,1824,9,-0.792,1.523,-0.202,0.502,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
9,1824,10,-1.222,0.768,-0.150,0.617,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
10,1824,11,-0.357,1.526,-0.147,0.672,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
11,1824,12,0.734,2.058,-0.118,0.706,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
12,1825,1,0.255,1.879,-0.157,0.824,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
13,1825,2,-0.276,1.246,-0.152,0.817,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
14,1825,3,0.149,1.336,-0.172,0.874,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
15,1825,4,0.662,1.694,-0.172,0.912,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
16,1825,5,-0.365,0.986,-0.149,0.973,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
17,1825,6,0.213,0.720,-0.247,0.914,NaN,NaN,NaN,NaN,NaN,NaN,25.98,0.41
18,1825,7,-0.217,2.283,-0.326,0.915,-0.431,0.393,NaN,NaN,NaN,NaN,25.98,0.41
19,1825,8,-0.611,1.945,-0.435,0.831,-0.430,0.393,NaN,NaN,NaN,NaN,25.98,0.41
20,1825,9,-1.033,1.148,-0.512,0.772,-0.419,0.376,NaN,NaN,NaN,NaN,25.98,0.41
21,1825,10,-1.217,1.223,-0.578,0.695,-0.402,0.364,NaN,NaN,NaN,NaN,25.98,0.41
22,1825,11,-0.079,2.365,-0.521,0.725,-0.388,0.363,NaN,NaN,NaN,NaN,25.98,0.41
