,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.452,2.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
1,1846,2,-0.705,3.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
2,1846,3,-0.080,0.825,-0.457,0.479,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
3,1846,4,-0.003,0.802,-0.401,0.470,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
4,1846,5,0.148,1.588,-0.418,0.474,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
5,1846,6,0.111,0.795,-0.263,0.606,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
6,1846,7,-0.377,1.245,-0.327,0.565,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
7,1846,8,-0.411,0.951,-0.327,0.926,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
8,1846,9,0.251,2.259,-0.434,0.910,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
9,1846,10,-1.038,2.421,-0.522,0.805,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
10,1846,11,-0.557,5.633,-0.578,0.636,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
11,1846,12,-0.943,2.371,-0.696,0.648,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
12,1847,1,-0.314,1.847,-0.717,0.746,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
13,1847,2,-0.709,1.355,-0.781,0.658,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
14,1847,3,-1.365,0.826,-0.885,0.519,NaN,NaN,NaN,NaN,NaN,NaN,21.89,1.11
15,1847,4,-1.057,1.565,-0.924,0.641,-0.869,NaN,NaN,NaN,NaN,NaN,21.89,1.11
16,1847,5,-0.520,1.352,-0.942,0.510,-0.865,NaN,NaN,NaN,NaN,NaN,21.89,1.11
17,1847,6,-1.315,0.905,-0.908,0.499,-0.851,NaN,NaN,NaN,NaN,NaN,21.89,1.11
18,1847,7,-0.619,0.732,-0.925,0.838,-0.891,0.579,NaN,NaN,NaN,NaN,21.89,1.11
19,1847,8,-1.189,1.875,-0.856,1.020,-0.870,0.611,NaN,NaN,NaN,NaN,21.89,1.11
20,1847,9,-0.997,1.053,-0.820,1.014,-0.866,0.631,NaN,NaN,NaN,NaN,21.89,1.11
21,1847,10,-1.502,1.197,-0.809,1.001,-0.876,0.629,NaN,NaN,NaN,NaN,21.89,1.11
22,1847,11,-0.770,2.917,-0.846,1.073,-0.856,0.635,NaN,NaN,NaN,NaN,21.89,1.11
23,1847,12,-0.534,1.880,-0.795,1.008,-0.843,0.641,NaN,NaN,NaN,NaN,21.89,1.11
24,1848,1,-0.522,7.524,-0.825,0.874,-0.824,0.658,NaN,NaN,NaN,NaN,21.89,1.11
25,1848,2,0.114,3.419,-0.816,1.000,-0.814,0.677,NaN,NaN,NaN,NaN,21.89,1.11
26,1848,3,-0.924,1.480,-0.860,0.905,-0.784,0.681,NaN,NaN,NaN,NaN,21.89,1.11
27,1848,4,-0.926,1.777,-0.788,0.859,-0.772,0.688,NaN,NaN,NaN,NaN,21.89,1.11
28,1848,5,-0.963,1.332,-0.780,0.770,-0.780,0.695,NaN,NaN,NaN,NaN,21.89,1.11
29,1848,6,-0.704,1.653,-0.766,1.029,-0.748,0.630,NaN,NaN,NaN,NaN,21.89,1.11
30,1848,7,-0.987,1.727,-0.776,0.979,-0.754,0.630,-0.854,NaN,NaN,NaN,21.89,1.11
31,1848,8,-1.084,1.101,-0.827,1.035,-0.742,0.690,-0.853,NaN,NaN,NaN,21.89,1.11
32,1848,9,-1.521,2.750,-0.793,0.826,-0.749,0.713,-0.859,NaN,NaN,NaN,21.89,1.11
33,1848,10,-0.632,1.599,-0.851,0.781,-0.761,0.727,-0.851,NaN,NaN,NaN,21.89,1.11
34,1848,11,-0.675,1.673,-0.878,0.905,-0.785,0.718,-0.844,NaN,NaN,NaN,21.89,1.11
35,1848,12,NaN,NaN,-0.884,0.821,-0.806,0.722,-0.867,NaN,NaN,NaN,21.89,1.11
36,1849,1,-0.636,0.957,-0.920,0.846,-0.812,0.722,-0.860,NaN,NaN,NaN,21.89,1.11
37,1849,2,-0.504,1.689,-0.914,0.853,-0.828,0.715,-0.868,NaN,NaN,NaN,21.89,1.11
38,1849,3,-0.513,2.870,-0.855,0.806,-0.846,0.704,-0.870,NaN,NaN,NaN,21.89,1.11
39,1849,4,-1.614,1.022,-0.872,0.857,-0.843,0.730,-0.889,NaN,NaN,NaN,21.89,1.11
40,1849,5,-1.289,1.097,-0.851,1.019,-0.861,0.669,-0.895,NaN,NaN,NaN,21.89,1.11
41,1849,6,-0.785,1.522,-0.898,0.633,-0.863,0.650,-0.890,NaN,NaN,NaN,21.89,1.11
42,1849,7,-1.412,0.788,-0.892,0.873,-0.859,0.644,-0.878,NaN,NaN,NaN,21.89,1.11
43,1849,8,-1.007,1.178,-0.874,1.086,-0.850,0.657,-0.870,NaN,NaN,NaN,21.89,1.11
44,1849,9,-0.822,0.604,-0.920,0.897,-0.850,0.651,-0.870,NaN,NaN,NaN,21.89,1.11
45,1849,10,-0.828,1.188,-0.900,0.830,-0.855,0.639,-0.864,NaN,NaN,NaN,21.89,1.11
