,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1910,1,-0.415,0.949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
1,1910,2,-0.914,0.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
2,1910,3,-0.998,0.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
3,1910,4,-0.602,0.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
4,1910,5,-0.380,0.731,-0.605,0.393,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
5,1910,6,-0.334,0.740,-0.596,0.432,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
6,1910,7,-0.369,0.671,-0.588,0.452,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
7,1910,8,-0.687,0.681,-0.560,0.461,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
8,1910,9,-0.382,0.737,-0.534,0.482,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
9,1910,10,-0.624,0.717,-0.522,0.460,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
10,1910,11,-0.936,1.079,-0.536,0.474,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
11,1910,12,-0.510,1.145,-0.546,0.467,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
12,1911,1,-0.314,1.100,-0.537,0.487,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
13,1911,2,-0.587,0.891,-0.506,0.483,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
14,1911,3,-0.682,1.033,-0.520,0.528,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
15,1911,4,-0.464,0.751,-0.509,0.570,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
16,1911,5,-0.542,0.872,-0.446,0.553,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
17,1911,6,-0.451,0.685,-0.417,0.502,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
18,1911,7,NaN,NaN,-0.458,0.456,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
19,1911,8,-0.313,0.665,-0.478,0.399,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
20,1911,9,-0.553,0.813,-0.542,0.366,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
21,1911,10,-0.487,0.733,-0.573,0.360,-0.598,0.193,NaN,NaN,NaN,NaN,24.30,0.26
22,1911,11,-0.175,0.951,-0.575,0.366,-0.580,0.194,NaN,NaN,NaN,NaN,24.30,0.26
23,1911,12,-0.171,0.793,-0.600,0.361,-0.578,0.191,NaN,NaN,NaN,NaN,24.30,0.26
24,1912,1,-0.798,0.686,-0.635,0.364,-0.582,0.187,NaN,NaN,NaN,NaN,24.30,0.26
25,1912,2,-0.828,1.352,-0.684,0.391,-0.581,0.188,NaN,NaN,NaN,NaN,24.30,0.26
26,1912,3,-1.456,1.369,-0.706,0.416,-0.581,0.187,NaN,NaN,NaN,NaN,24.30,0.26
27,1912,4,-0.838,1.223,-0.728,0.423,-0.591,0.183,NaN,NaN,NaN,NaN,24.30,0.26
28,1912,5,-0.566,0.755,-0.775,0.455,-0.594,0.183,NaN,NaN,NaN,NaN,24.30,0.26
29,1912,6,-0.751,0.743,-0.816,0.464,-0.589,0.182,NaN,NaN,NaN,NaN,24.30,0.26
30,1912,7,-0.680,0.718,-0.814,0.451,-0.598,0.175,NaN,NaN,NaN,NaN,24.30,0.26
31,1912,8,-0.902,0.768,-0.814,0.401,-0.591,0.170,NaN,NaN,NaN,NaN,24.30,0.26
32,1912,9,-0.824,0.648,-0.793,0.359,-0.590,0.164,NaN,NaN,NaN,NaN,24.30,0.26
33,1912,10,-0.752,0.709,-0.742,0.345,-0.578,0.162,NaN,NaN,NaN,NaN,24.30,0.26
34,1912,11,-0.738,0.798,-0.761,0.347,-0.572,0.159,NaN,NaN,NaN,NaN,24.30,0.26
35,1912,12,-0.660,0.664,-0.741,0.342,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
36,1913,1,-0.773,0.739,-0.722,0.353,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
37,1913,2,-0.831,0.715,-0.684,0.384,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
38,1913,3,-1.208,0.751,-0.677,0.396,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
39,1913,4,-0.220,0.882,-0.669,0.425,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
40,1913,5,-0.790,0.942,-0.625,0.387,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
41,1913,6,-0.521,0.710,-0.600,0.393,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
42,1913,7,-0.444,1.034,-0.567,0.393,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
43,1913,8,-0.447,1.295,-0.575,0.368,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
44,1913,9,-0.740,0.774,-0.502,0.347,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
45,1913,10,-0.661,0.793,-0.551,0.308,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
46,1913,11,-0.208,0.854,-0.503,0.285,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
47,1913,12,-0.360,0.789,-0.495,0.294,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
48,1914,1,-0.373,0.801,-0.508,0.295,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
49,1914,2,-0.933,0.777,-0.512,0.290,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
50,1914,3,-0.323,0.891,-0.487,0.306,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
51,1914,4,-0.809,0.858,-0.498,0.341,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
52,1914,5,-0.218,0.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
53,1914,6,-0.427,0.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
54,1914,7,-0.597,1.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
55,1914,8,-0.494,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
56,1914,9,-0.445,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.30,0.26
57,1914,10,NaN,NaN,NaN,NaN,NaN,NaN,-0.627,0.133,NaN,NaN,24.30,0.26
58,1914,11,NaN,NaN,NaN,NaN,NaN,NaN,-0.628,0.132,NaN,NaN,24.30,0.26
59,1914,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.625,0.133,NaN,NaN,24.30,0.26
60,1915,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.621,0.132,NaN,NaN,24.30,0.26
61,1915,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.620,0.127,NaN,NaN,24.30,0.26
62,1915,3,NaN,NaN,NaN,NaN,NaN,NaN,-0.614,0.124,NaN,NaN,24.30,0.26
