,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.568,2.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
1,1846,2,-0.009,2.316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
2,1846,3,0.394,1.422,-0.199,1.158,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
3,1846,4,0.111,1.060,-0.216,0.989,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
4,1846,5,0.081,1.808,-0.259,1.048,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
5,1846,6,-0.276,1.467,-0.163,0.845,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
6,1846,7,-0.191,1.771,-0.226,0.594,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
7,1846,8,-0.353,1.303,-0.335,0.476,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
8,1846,9,-0.304,1.448,-0.504,0.442,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
9,1846,10,-0.999,1.679,-0.648,0.522,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
10,1846,11,-0.450,1.770,-0.729,0.692,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
11,1846,12,-0.524,1.835,-0.833,0.982,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
12,1847,1,-0.196,2.073,-0.907,1.063,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
13,1847,2,-1.316,1.727,-0.963,1.172,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
14,1847,3,-1.628,1.100,-1.022,1.490,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
15,1847,4,-1.624,2.563,-1.045,1.577,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
16,1847,5,-0.884,2.218,-1.054,1.801,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
17,1847,6,-1.524,3.508,-1.048,1.731,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
18,1847,7,-1.078,1.075,-1.096,1.440,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
19,1847,8,-1.035,2.036,-1.011,1.204,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
20,1847,9,-1.003,3.440,-0.973,1.302,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
21,1847,10,-1.282,2.635,-0.886,1.122,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
22,1847,11,-0.554,1.591,-0.900,1.026,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
23,1847,12,-0.457,1.466,-0.850,0.833,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
24,1848,1,-0.767,2.415,-0.852,0.920,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
25,1848,2,-0.300,2.173,-0.821,0.755,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
26,1848,3,-1.165,2.129,-0.835,0.706,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
27,1848,4,-0.586,0.989,-0.804,0.662,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
28,1848,5,-1.053,1.592,-0.808,0.615,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
29,1848,6,-0.916,1.090,-0.783,0.681,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
30,1848,7,-1.103,2.004,-0.740,0.991,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
31,1848,8,-0.661,0.786,-0.760,1.353,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
32,1848,9,-1.173,2.805,-0.714,1.139,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
33,1848,10,-0.917,1.841,-0.807,1.298,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
34,1848,11,-0.599,1.264,-0.835,1.639,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
35,1848,12,-0.156,2.339,-0.845,1.709,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
36,1849,1,-0.256,2.799,-0.873,1.437,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
37,1849,2,-0.532,3.165,-0.879,1.570,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
38,1849,3,-0.618,1.201,-0.881,1.452,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
39,1849,4,-1.704,1.945,-0.893,1.440,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
40,1849,5,-1.382,3.826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
41,1849,6,-1.037,1.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
42,1849,7,-1.442,1.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
45,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
46,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
47,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
48,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
49,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
50,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
51,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,0.28
