,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1853,1,-0.248,2.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
1,1853,2,-0.444,1.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
2,1853,3,1.414,4.222,0.357,1.251,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
3,1853,4,1.062,3.522,0.365,1.143,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
4,1853,5,0.690,3.694,0.367,1.083,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
5,1853,6,0.242,1.502,0.132,0.994,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
6,1853,7,-0.818,3.538,0.267,1.193,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
7,1853,8,0.051,2.016,0.316,1.347,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
8,1853,9,0.579,1.594,0.211,1.418,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
9,1853,10,0.082,1.120,0.027,1.319,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
10,1853,11,0.240,1.686,0.006,1.258,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
11,1853,12,-1.270,2.235,0.003,1.222,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
12,1854,1,1.380,2.840,0.142,1.102,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
13,1854,2,0.139,3.150,0.166,1.108,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
14,1854,3,0.153,2.795,0.070,1.054,NaN,NaN,NaN,NaN,NaN,NaN,25.47,0.33
15,1854,4,-1.146,2.479,0.099,1.069,-0.662,0.504,NaN,NaN,NaN,NaN,25.47,0.33
16,1854,5,0.434,3.095,0.075,1.071,-0.639,0.466,NaN,NaN,NaN,NaN,25.47,0.33
17,1854,6,0.209,2.884,0.193,1.137,-0.617,0.437,NaN,NaN,NaN,NaN,25.47,0.33
18,1854,7,0.847,4.406,0.017,0.931,-0.632,1.228,NaN,NaN,NaN,NaN,25.47,0.33
19,1854,8,0.350,3.356,0.046,1.024,-0.606,1.165,NaN,NaN,NaN,NaN,25.47,0.33
20,1854,9,-0.580,2.775,-0.040,0.914,-0.568,1.156,NaN,NaN,NaN,NaN,25.47,0.33
21,1854,10,NaN,NaN,0.017,0.972,-0.532,0.996,NaN,NaN,NaN,NaN,25.47,0.33
22,1854,11,-0.048,1.706,-0.078,0.930,-0.529,0.984,NaN,NaN,NaN,NaN,25.47,0.33
23,1854,12,0.141,2.488,-0.230,0.773,-0.533,0.993,NaN,NaN,NaN,NaN,25.47,0.33
24,1855,1,-0.724,1.637,-0.442,0.824,-0.509,0.977,NaN,NaN,NaN,NaN,25.47,0.33
25,1855,2,0.477,5.017,-0.543,0.860,-0.498,0.968,NaN,NaN,NaN,NaN,25.47,0.33
26,1855,3,-0.876,2.007,-0.585,0.946,-0.484,0.946,NaN,NaN,NaN,NaN,25.47,0.33
27,1855,4,-0.457,1.304,-0.776,0.978,-0.493,0.942,NaN,NaN,NaN,NaN,25.47,0.33
28,1855,5,-0.710,1.782,-0.880,0.917,-0.518,0.912,NaN,NaN,NaN,NaN,25.47,0.33
29,1855,6,-1.620,1.617,-0.946,0.813,-0.539,0.894,NaN,NaN,NaN,NaN,25.47,0.33
30,1855,7,-1.689,2.279,-1.002,1.001,-0.528,0.861,NaN,NaN,NaN,NaN,25.47,0.33
31,1855,8,-0.862,1.231,-1.141,1.006,-0.526,0.901,NaN,NaN,NaN,NaN,25.47,0.33
32,1855,9,-1.091,1.214,-1.146,1.044,-0.573,0.941,NaN,NaN,NaN,NaN,25.47,0.33
33,1855,10,-1.855,3.321,-1.226,1.202,-0.608,0.922,-0.697,0.376,NaN,NaN,25.47,0.33
34,1855,11,-1.293,1.938,-1.297,1.425,-0.644,0.913,-0.699,0.363,NaN,NaN,25.47,0.33
35,1855,12,-0.651,1.329,-1.237,1.399,-0.645,0.934,-0.678,0.375,NaN,NaN,25.47,0.33
36,1856,1,-1.399,3.150,-1.304,1.350,-0.652,0.960,-0.678,0.385,NaN,NaN,25.47,0.33
37,1856,2,-1.194,2.841,-1.354,1.439,-0.664,0.983,-0.696,0.372,NaN,NaN,25.47,0.33
38,1856,3,-0.926,3.104,-1.263,1.491,-0.671,0.991,-0.712,0.374,NaN,NaN,25.47,0.33
39,1856,4,-1.425,3.009,-1.228,1.452,-0.665,1.003,-0.724,0.376,NaN,NaN,25.47,0.33
40,1856,5,-1.556,3.168,-1.325,1.489,-0.681,1.008,-0.722,0.376,NaN,NaN,25.47,0.33
41,1856,6,-0.898,1.336,-1.408,1.747,-0.654,1.016,-0.712,0.378,NaN,NaN,25.47,0.33
