,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,1,-0.600,2.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
1,1863,2,0.010,1.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
2,1863,3,-0.828,1.317,-0.657,0.789,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
3,1863,4,-1.368,2.547,-0.741,0.802,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
4,1863,5,-1.232,2.280,-0.737,0.676,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
5,1863,6,-0.350,2.226,-0.796,0.422,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
6,1863,7,-1.003,3.467,-0.791,0.565,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
7,1863,8,-0.921,3.598,-0.813,0.643,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
8,1863,9,-0.964,1.700,-0.913,0.607,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
9,1863,10,-0.569,1.214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
10,1863,11,-0.610,2.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
11,1863,12,-1.114,4.289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
12,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
13,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
14,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.77,0.29
