,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1861,3,-0.950,2.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
1,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
2,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
3,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
4,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
5,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
6,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
7,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
8,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
9,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
10,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
11,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
12,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
13,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
14,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
15,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
16,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
17,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
18,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
19,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
20,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
21,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
22,1863,1,0.370,1.958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
23,1863,2,1.225,1.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
24,1863,3,0.934,2.315,-0.103,0.618,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
25,1863,4,-0.206,1.451,-0.038,0.608,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
26,1863,5,-0.072,1.643,0.007,0.627,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
27,1863,6,0.299,1.720,-0.008,0.578,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
28,1863,7,-0.160,1.390,-0.027,0.657,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
29,1863,8,-0.166,2.378,0.004,0.732,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
30,1863,9,-0.626,1.409,-0.169,0.732,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
31,1863,10,-0.379,2.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
32,1863,11,-0.532,1.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
33,1863,12,-0.779,1.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
34,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
35,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
36,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
37,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
38,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
39,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
40,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
41,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
42,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
43,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
44,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
45,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
46,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
47,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
48,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
49,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
50,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
51,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
52,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
53,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
54,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
55,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
56,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
57,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
58,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
59,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
60,1866,3,-0.539,1.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
61,1866,4,-0.381,1.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
62,1866,5,0.051,1.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
63,1866,6,NaN,NaN,-0.376,0.719,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
64,1866,7,-0.660,2.168,-0.371,0.677,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
65,1866,8,-0.385,1.687,-0.271,0.621,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
66,1866,9,-0.257,1.816,-0.140,0.603,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
67,1866,10,-1.061,2.273,-0.099,0.582,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
68,1866,11,-1.153,2.406,-0.104,0.566,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
69,1866,12,0.185,2.233,-0.088,0.507,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
70,1867,1,0.326,1.336,-0.036,0.479,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
71,1867,2,0.862,1.317,-0.031,0.463,NaN,NaN,NaN,NaN,NaN,NaN,19.36,0.45
