,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,1,0.269,1.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
1,1824,2,-0.832,2.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
2,1824,3,0.420,1.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
3,1824,4,0.465,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
4,1824,5,0.168,1.253,-0.320,0.458,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
5,1824,6,0.181,2.010,-0.205,0.435,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
6,1824,7,0.261,1.569,-0.231,0.424,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
7,1824,8,-0.998,1.216,-0.165,0.456,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
8,1824,9,-1.025,2.237,-0.214,0.422,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
9,1824,10,-1.178,0.873,-0.244,0.462,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
10,1824,11,-0.221,1.027,-0.263,0.463,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
11,1824,12,0.034,1.925,-0.280,0.477,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
12,1825,1,-0.045,1.798,-0.347,0.478,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
13,1825,2,-0.045,1.305,-0.355,0.514,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
14,1825,3,-0.161,1.299,-0.372,0.459,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
15,1825,4,0.103,1.103,-0.373,0.449,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.35
16,1825,5,-0.067,1.245,-0.402,0.454,-0.426,0.459,NaN,NaN,NaN,NaN,26.57,0.35
17,1825,6,-0.015,1.256,-0.492,0.439,-0.391,0.453,NaN,NaN,NaN,NaN,26.57,0.35
18,1825,7,-0.552,1.862,-0.568,0.513,-0.379,0.444,NaN,NaN,NaN,NaN,26.57,0.35
19,1825,8,-1.094,2.315,-0.553,0.520,-0.350,0.445,NaN,NaN,NaN,NaN,26.57,0.35
20,1825,9,-1.220,2.067,-0.529,0.520,-0.345,0.443,NaN,NaN,NaN,NaN,26.57,0.35
21,1825,10,-1.198,0.964,-0.490,0.526,-0.332,0.457,NaN,NaN,NaN,NaN,26.57,0.35
22,1825,11,-0.564,2.077,-0.473,0.575,-0.323,0.462,NaN,NaN,NaN,NaN,26.57,0.35
23,1825,12,-1.050,1.288,-0.508,0.531,-0.315,0.472,NaN,NaN,NaN,NaN,26.57,0.35
24,1826,1,-0.960,1.463,-0.464,0.551,-0.310,0.472,NaN,NaN,NaN,NaN,26.57,0.35
25,1826,2,0.140,1.679,-0.452,0.554,-0.296,0.475,NaN,NaN,NaN,NaN,26.57,0.35
26,1826,3,0.128,3.050,-0.400,0.606,-0.292,0.464,NaN,NaN,NaN,NaN,26.57,0.35
27,1826,4,0.577,1.546,-0.375,0.634,-0.275,0.461,NaN,NaN,NaN,NaN,26.57,0.35
28,1826,5,0.126,0.996,-0.386,0.708,-0.253,0.459,NaN,NaN,NaN,NaN,26.57,0.35
29,1826,6,-0.432,1.293,-0.274,0.735,-0.227,0.447,NaN,NaN,NaN,NaN,26.57,0.35
30,1826,7,-0.025,1.746,-0.223,0.929,-0.251,0.451,NaN,NaN,NaN,NaN,26.57,0.35
31,1826,8,-0.946,1.516,-0.156,0.907,-0.247,0.475,NaN,NaN,NaN,NaN,26.57,0.35
32,1826,9,-0.591,1.899,-0.128,0.783,-0.274,0.472,NaN,NaN,NaN,NaN,26.57,0.35
33,1826,10,-0.908,1.020,-0.088,0.801,-0.288,0.476,NaN,NaN,NaN,NaN,26.57,0.35
34,1826,11,-0.689,1.553,-0.042,0.845,-0.298,0.495,NaN,NaN,NaN,NaN,26.57,0.35
35,1826,12,0.296,1.356,0.003,0.879,-0.309,0.491,NaN,NaN,NaN,NaN,26.57,0.35
36,1827,1,-0.351,2.181,0.044,0.924,-0.315,0.486,NaN,NaN,NaN,NaN,26.57,0.35
37,1827,2,0.941,2.299,0.098,0.981,-0.307,0.489,NaN,NaN,NaN,NaN,26.57,0.35
38,1827,3,0.467,1.855,0.056,0.949,-0.305,0.484,NaN,NaN,NaN,NaN,26.57,0.35
39,1827,4,1.058,1.840,0.049,1.023,-0.300,0.497,NaN,NaN,NaN,NaN,26.57,0.35
40,1827,5,0.672,1.611,0.071,1.031,-0.319,0.483,NaN,NaN,NaN,NaN,26.57,0.35
41,1827,6,NaN,NaN,0.054,1.005,-0.333,0.482,NaN,NaN,NaN,NaN,26.57,0.35
42,1827,7,0.456,1.438,0.099,0.851,-0.317,0.501,NaN,NaN,NaN,NaN,26.57,0.35
43,1827,8,-0.297,1.789,0.044,0.811,-0.297,0.522,NaN,NaN,NaN,NaN,26.57,0.35
44,1827,9,-1.092,1.490,-0.019,0.822,-0.305,0.537,NaN,NaN,NaN,NaN,26.57,0.35
45,1827,10,-0.988,1.684,-0.118,0.828,-0.310,0.545,NaN,NaN,NaN,NaN,26.57,0.35
46,1827,11,-0.429,1.340,-0.178,0.828,-0.319,0.565,NaN,NaN,NaN,NaN,26.57,0.35
47,1827,12,0.095,1.916,-0.173,0.901,-0.322,0.580,NaN,NaN,NaN,NaN,26.57,0.35
48,1828,1,0.193,1.204,-0.214,0.860,-0.307,0.592,NaN,NaN,NaN,NaN,26.57,0.35
49,1828,2,0.273,1.695,-0.221,0.806,-0.297,0.591,NaN,NaN,NaN,NaN,26.57,0.35
50,1828,3,-0.281,1.554,-0.240,0.788,-0.302,0.601,NaN,NaN,NaN,NaN,26.57,0.35
51,1828,4,-0.133,2.186,-0.230,0.739,-0.302,0.618,NaN,NaN,NaN,NaN,26.57,0.35
