,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,9,-0.804,1.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
1,1852,10,-1.231,3.243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
2,1852,11,-0.960,2.987,-0.814,1.232,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
3,1852,12,-0.138,3.289,-0.820,1.151,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
4,1853,1,-0.425,2.342,-0.813,1.072,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
5,1853,2,-1.310,1.612,-0.820,1.028,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
6,1853,3,-0.593,1.096,-0.818,1.019,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
7,1853,4,-0.671,1.586,-0.757,1.138,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
8,1853,5,-0.885,1.338,-0.724,1.025,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
9,1853,6,-0.879,1.614,-0.773,1.117,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
10,1853,7,-0.821,1.192,-0.700,1.119,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
11,1853,8,-1.123,0.998,-0.608,1.375,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
12,1853,9,-0.781,1.436,-0.559,1.507,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
13,1853,10,-0.493,3.209,-0.550,1.415,NaN,NaN,NaN,NaN,NaN,NaN,22.99,0.60
14,1853,11,-0.575,2.349,-0.480,1.517,-0.434,1.061,NaN,NaN,NaN,NaN,22.99,0.60
15,1853,12,-0.715,1.720,-0.403,1.629,-0.438,1.068,NaN,NaN,NaN,NaN,22.99,0.60
16,1854,1,0.444,2.283,-0.341,1.544,-0.443,1.057,NaN,NaN,NaN,NaN,22.99,0.60
17,1854,2,-0.209,3.224,-0.227,1.615,-0.445,1.081,NaN,NaN,NaN,NaN,22.99,0.60
18,1854,3,-0.004,2.541,-0.141,1.615,-0.459,1.095,NaN,NaN,NaN,NaN,22.99,0.60
19,1854,4,-0.563,1.294,-0.124,1.407,-0.465,1.109,NaN,NaN,NaN,NaN,22.99,0.60
20,1854,5,-0.035,2.419,-0.171,1.242,-0.465,1.089,NaN,NaN,NaN,NaN,22.99,0.60
21,1854,6,0.043,1.634,-0.169,1.185,-0.475,1.051,NaN,NaN,NaN,NaN,22.99,0.60
22,1854,7,-0.078,1.167,-0.193,0.986,-0.480,1.083,NaN,NaN,NaN,NaN,22.99,0.60
23,1854,8,0.240,1.750,-0.190,0.918,-0.473,1.052,NaN,NaN,NaN,NaN,22.99,0.60
24,1854,9,0.253,1.299,-0.227,0.794,-0.479,1.060,NaN,NaN,NaN,NaN,22.99,0.60
25,1854,10,-0.287,0.975,-0.252,0.897,-0.463,1.073,NaN,NaN,NaN,NaN,22.99,0.60
26,1854,11,-1.148,1.135,-0.265,0.796,-0.470,1.074,NaN,NaN,NaN,NaN,22.99,0.60
27,1854,12,-0.686,2.511,-0.273,0.677,-0.464,1.088,NaN,NaN,NaN,NaN,22.99,0.60
28,1855,1,0.155,1.405,-0.294,0.613,-0.468,1.079,NaN,NaN,NaN,NaN,22.99,0.60
29,1855,2,-0.172,2.987,-0.290,0.646,-0.473,1.092,-0.562,0.917,NaN,NaN,22.99,0.60
30,1855,3,-0.442,1.871,-0.338,0.611,-0.474,1.097,-0.566,0.905,NaN,NaN,22.99,0.60
31,1855,4,-0.867,1.193,-0.354,0.737,-0.471,1.072,-0.567,0.904,NaN,NaN,22.99,0.60
32,1855,5,-0.193,1.106,-0.264,0.876,-0.469,1.067,-0.573,0.885,NaN,NaN,22.99,0.60
33,1855,6,-0.053,1.106,-0.171,0.831,-0.482,1.087,-0.577,0.877,NaN,NaN,22.99,0.60
34,1855,7,-0.327,1.124,-0.105,1.008,-0.484,1.075,-0.580,0.883,NaN,NaN,22.99,0.60
35,1855,8,0.288,2.134,-0.072,1.101,-0.463,1.063,-0.585,0.877,NaN,NaN,22.99,0.60
