,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-0.433,2.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
1,1814,2,-5.092,2.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
2,1814,3,-0.973,2.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
3,1814,4,2.286,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
4,1814,5,-0.830,1.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
5,1814,6,0.049,1.792,-0.023,1.192,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
6,1814,7,1.658,1.757,-0.018,1.156,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
7,1814,8,0.944,1.665,0.693,1.050,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
8,1814,9,-1.633,1.722,0.992,0.957,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
9,1814,10,-0.586,1.707,0.892,0.945,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
10,1814,11,1.646,2.463,1.184,0.968,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
11,1814,12,2.692,1.654,1.323,0.945,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
12,1815,1,-0.372,2.091,1.174,0.915,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
13,1815,2,3.435,1.780,1.125,0.925,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
14,1815,3,2.617,1.616,1.278,0.962,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
15,1815,4,1.088,1.728,1.482,1.018,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
16,1815,5,2.669,1.847,1.254,0.922,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
17,1815,6,1.717,1.629,0.825,0.934,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
18,1815,7,-0.126,1.626,1.124,0.918,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
19,1815,8,0.351,1.725,0.718,0.889,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
20,1815,9,0.206,1.957,0.556,0.867,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
21,1815,10,1.859,2.201,0.492,0.865,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
22,1815,11,-1.092,1.648,0.353,0.859,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
23,1815,12,-2.450,1.738,0.287,0.896,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
24,1816,1,3.217,2.014,0.359,0.977,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
25,1816,2,-1.436,1.701,0.292,0.980,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
26,1816,3,0.674,1.615,0.283,0.970,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
27,1816,4,0.319,1.706,0.187,0.920,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
28,1816,5,0.998,1.796,0.210,0.937,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
29,1816,6,0.923,1.879,0.274,0.879,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
30,1816,7,0.743,2.232,0.311,0.857,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
31,1816,8,-0.452,1.756,0.710,0.814,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
32,1816,9,0.087,1.845,0.757,0.813,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
33,1816,10,0.712,1.688,0.468,0.782,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
34,1816,11,-0.811,1.740,0.475,0.781,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
35,1816,12,-1.687,1.986,0.638,0.796,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
36,1817,1,3.660,1.809,0.729,0.807,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
37,1817,2,3.349,1.724,0.896,0.875,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
38,1817,3,1.237,1.594,1.020,0.875,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
39,1817,4,-3.149,1.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
40,1817,5,1.081,1.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
41,1817,6,2.889,2.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
42,1817,7,1.832,2.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
43,1817,8,1.550,2.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13,0.45
