,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,3,1.032,0.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
1,1878,4,0.725,0.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
2,1878,5,-0.221,1.022,0.469,0.493,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
3,1878,6,0.373,0.748,0.435,0.474,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
4,1878,7,0.340,0.900,0.410,0.461,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
5,1878,8,0.375,0.932,0.340,0.450,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
6,1878,9,0.411,0.938,0.202,0.469,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
7,1878,10,0.774,0.822,0.097,0.457,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
8,1878,11,0.467,0.754,0.054,0.455,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
9,1878,12,-0.009,0.705,-0.007,0.452,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
10,1879,1,-0.022,0.886,-0.065,0.442,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
11,1879,2,-0.170,0.863,-0.133,0.421,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
12,1879,3,-0.621,0.979,-0.178,0.403,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
13,1879,4,-0.529,0.903,-0.293,0.415,NaN,NaN,NaN,NaN,NaN,NaN,30.07,0.13
14,1879,5,-0.748,0.877,-0.370,0.424,-0.108,0.363,NaN,NaN,NaN,NaN,30.07,0.13
15,1879,6,-0.356,0.976,-0.424,0.429,-0.101,0.372,NaN,NaN,NaN,NaN,30.07,0.13
16,1879,7,-0.348,0.962,-0.452,0.405,-0.085,0.378,NaN,NaN,NaN,NaN,30.07,0.13
17,1879,8,-0.445,0.807,-0.453,0.398,-0.084,0.374,NaN,NaN,NaN,NaN,30.07,0.13
18,1879,9,-0.133,0.764,-0.395,0.363,-0.082,0.381,NaN,NaN,NaN,NaN,30.07,0.13
19,1879,10,-0.599,0.776,-0.372,0.373,-0.073,0.376,NaN,NaN,NaN,NaN,30.07,0.13
20,1879,11,-0.464,0.830,-0.338,0.394,-0.072,0.381,NaN,NaN,NaN,NaN,30.07,0.13
21,1879,12,-0.658,0.960,-0.332,0.426,-0.077,0.381,NaN,NaN,NaN,NaN,30.07,0.13
22,1880,1,-0.356,0.857,-0.340,0.442,-0.086,0.380,NaN,NaN,NaN,NaN,30.07,0.13
23,1880,2,-0.180,0.981,-0.315,0.482,-0.100,0.374,NaN,NaN,NaN,NaN,30.07,0.13
24,1880,3,0.074,1.164,-0.341,0.542,-0.112,0.376,NaN,NaN,NaN,NaN,30.07,0.13
25,1880,4,-0.252,0.853,-0.356,0.582,-0.125,0.372,NaN,NaN,NaN,NaN,30.07,0.13
26,1880,5,-0.336,1.167,-0.396,0.616,-0.151,0.381,NaN,NaN,NaN,NaN,30.07,0.13
27,1880,6,-0.291,1.268,-0.455,0.643,-0.168,0.371,NaN,NaN,NaN,NaN,30.07,0.13
28,1880,7,-0.437,1.223,-0.467,0.648,-0.172,0.362,NaN,NaN,NaN,NaN,30.07,0.13
29,1880,8,-0.145,1.122,-0.472,0.635,-0.201,0.362,-0.294,0.267,NaN,NaN,30.07,0.13
30,1880,9,-0.452,1.037,-0.491,0.670,-0.217,0.361,-0.298,0.264,NaN,NaN,30.07,0.13
31,1880,10,-0.773,1.135,-0.452,0.697,-0.234,0.359,-0.293,0.261,NaN,NaN,30.07,0.13
32,1880,11,-0.949,1.094,-0.423,0.682,-0.235,0.359,-0.288,0.253,NaN,NaN,30.07,0.13
33,1880,12,-1.360,1.038,-0.408,0.637,-0.232,0.357,-0.280,0.252,NaN,NaN,30.07,0.13
34,1881,1,-0.505,0.762,-0.364,0.578,-0.235,0.351,-0.274,0.249,NaN,NaN,30.07,0.13
35,1881,2,-0.242,0.898,-0.298,0.549,-0.241,0.344,-0.277,0.250,NaN,NaN,30.07,0.13
36,1881,3,-0.152,0.865,-0.258,0.533,-0.254,0.339,-0.274,0.248,NaN,NaN,30.07,0.13
37,1881,4,0.214,1.328,-0.202,0.530,-0.277,0.336,-0.272,0.249,NaN,NaN,30.07,0.13
38,1881,5,0.010,1.160,-0.176,0.540,-0.301,0.334,-0.267,0.247,NaN,NaN,30.07,0.13
39,1881,6,-0.103,1.160,-0.084,0.531,-0.315,0.334,-0.264,0.241,NaN,NaN,30.07,0.13
40,1881,7,0.088,0.945,-0.000,0.577,-0.328,0.324,-0.258,0.236,NaN,NaN,30.07,0.13
41,1881,8,0.648,0.699,0.016,0.554,-0.336,0.318,-0.257,0.232,NaN,NaN,30.07,0.13
42,1881,9,0.033,0.793,-0.006,0.610,-0.335,0.308,-0.258,0.233,NaN,NaN,30.07,0.13
43,1881,10,-0.101,1.087,-0.027,0.568,-0.335,0.304,-0.253,0.231,NaN,NaN,30.07,0.13
44,1881,11,-0.642,1.101,-0.069,0.531,-0.334,0.300,-0.246,0.229,NaN,NaN,30.07,0.13
45,1881,12,-0.257,1.076,-0.103,0.540,-0.334,0.300,-0.241,0.230,NaN,NaN,30.07,0.13
46,1882,1,0.503,1.280,-0.144,0.580,-0.334,0.297,-0.242,0.231,NaN,NaN,30.07,0.13
47,1882,2,-0.045,0.728,-0.229,0.618,-0.337,0.293,-0.249,0.227,NaN,NaN,30.07,0.13
48,1882,3,-0.426,1.062,-0.241,0.613,-0.345,0.287,-0.250,0.225,NaN,NaN,30.07,0.13
49,1882,4,-0.030,0.792,-0.280,0.592,-0.347,0.282,-0.253,0.221,NaN,NaN,30.07,0.13
50,1882,5,-0.496,0.879,-0.282,0.592,-0.353,0.280,-0.255,0.223,NaN,NaN,30.07,0.13
51,1882,6,-0.514,0.981,-0.310,0.526,-0.360,0.286,-0.262,0.220,NaN,NaN,30.07,0.13
52,1882,7,-0.396,1.076,-0.352,0.409,-0.369,0.292,-0.268,0.216,NaN,NaN,30.07,0.13
53,1882,8,-0.382,0.958,-0.433,0.402,-0.379,0.292,-0.278,0.209,NaN,NaN,30.07,0.13
54,1882,9,-0.101,0.747,-0.395,0.382,-0.383,0.295,-0.290,0.213,NaN,NaN,30.07,0.13
55,1882,10,-0.573,1.101,-0.418,0.394,-0.384,0.294,-0.295,0.211,NaN,NaN,30.07,0.13
56,1882,11,-0.668,1.213,-0.398,0.410,-0.389,0.293,-0.310,0.215,NaN,NaN,30.07,0.13
57,1882,12,-0.592,0.970,-0.309,0.398,-0.392,0.276,-0.319,0.215,NaN,NaN,30.07,0.13
58,1883,1,-0.000,1.186,-0.261,0.371,-0.387,0.263,-0.333,0.219,NaN,NaN,30.07,0.13
59,1883,2,-1.019,1.090,-0.228,0.343,-0.381,0.246,-0.344,0.223,-0.315,0.203,30.07,0.13
60,1883,3,0.037,0.880,-0.253,0.358,-0.382,0.235,-0.353,0.222,-0.317,0.200,30.07,0.13
61,1883,4,-0.313,0.803,-0.256,0.336,-0.369,0.225,-0.360,0.224,-0.317,0.200,30.07,0.13
62,1883,5,-0.250,0.916,-0.278,0.402,-0.363,0.214,-0.362,0.224,-0.317,0.203,30.07,0.13
63,1883,6,0.550,0.728,-0.300,0.396,-0.345,0.219,-0.365,0.223,-0.320,0.204,30.07,0.13
64,1883,7,0.177,0.699,-0.368,0.372,-0.345,0.224,-0.368,0.218,-0.320,0.207,30.07,0.13
65,1883,8,0.022,0.748,-0.337,0.332,-0.354,0.226,-0.373,0.217,-0.322,0.207,30.07,0.13
66,1883,9,-0.400,0.947,-0.390,0.321,-0.355,0.227,-0.377,0.216,-0.322,0.210,30.07,0.13
