,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1833,1,-3.374,1.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
1,1833,2,3.018,2.200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
2,1833,3,-1.824,1.779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
3,1833,4,-0.975,1.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
4,1833,5,4.582,1.871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
5,1833,6,2.314,2.060,0.073,1.025,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
6,1833,7,-0.966,1.999,0.760,1.154,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
7,1833,8,-2.970,1.556,0.651,1.104,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
8,1833,9,-1.759,1.826,0.844,1.178,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
9,1833,10,-0.338,2.129,0.808,1.171,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
10,1833,11,-0.350,1.860,0.702,1.091,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
11,1833,12,3.516,1.926,0.715,0.995,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
12,1834,1,4.866,1.966,1.142,0.952,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
13,1834,2,1.709,1.727,1.583,0.972,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
14,1834,3,0.496,1.528,1.985,0.912,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
15,1834,4,-1.400,1.521,2.095,0.864,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
16,1834,5,3.303,1.565,2.154,0.857,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
17,1834,6,2.475,1.670,1.953,0.832,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
18,1834,7,4.160,1.727,1.699,0.803,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
19,1834,8,2.314,1.731,1.762,0.791,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
20,1834,9,3.065,1.575,1.679,0.804,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
21,1834,10,0.990,1.548,1.718,0.805,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
22,1834,11,0.348,1.699,1.433,0.785,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
23,1834,12,1.115,1.647,1.264,0.807,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
24,1835,1,1.819,1.668,1.113,0.809,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
25,1835,2,2.462,1.708,0.944,0.820,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
26,1835,3,-0.506,1.596,0.710,0.919,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
27,1835,4,-0.922,1.562,0.481,0.949,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
28,1835,5,-0.125,1.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
29,1835,6,0.452,1.714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
30,1835,7,2.343,1.714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
31,1835,8,0.289,1.790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
32,1835,9,0.253,2.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
33,1835,10,-1.758,1.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
34,1835,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
35,1835,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
36,1836,1,-0.280,2.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
37,1836,2,0.461,1.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
38,1836,3,3.631,1.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
39,1836,4,-1.225,1.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
40,1836,5,-2.459,1.826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
41,1836,6,0.607,1.581,0.057,0.894,NaN,NaN,NaN,NaN,NaN,NaN,11.72,1.15
