,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1833,1,-4.382,2.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
1,1833,2,2.782,2.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
2,1833,3,-1.451,2.283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
3,1833,4,-0.731,1.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
4,1833,5,2.415,2.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
5,1833,6,0.944,2.380,-0.430,1.572,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
6,1833,7,-0.859,2.463,0.271,1.646,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
7,1833,8,-2.545,2.287,0.042,1.498,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
8,1833,9,-0.990,3.674,0.182,1.388,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
9,1833,10,-1.757,2.061,0.145,1.449,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
10,1833,11,-0.674,2.514,0.158,1.452,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
11,1833,12,2.086,4.234,0.201,1.520,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
12,1834,1,4.028,2.794,0.473,1.444,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
13,1834,2,0.043,1.479,0.901,1.406,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
14,1834,3,0.228,1.749,1.103,1.157,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
15,1834,4,-1.180,2.056,1.236,1.219,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
16,1834,5,2.572,2.045,1.254,1.260,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
17,1834,6,1.456,1.736,1.091,1.157,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
18,1834,7,2.411,1.829,0.820,1.082,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
19,1834,8,2.595,1.658,0.973,1.199,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
20,1834,9,1.433,1.590,0.902,1.337,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
21,1834,10,-0.161,1.389,0.949,1.276,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
22,1834,11,-0.465,2.926,0.768,1.266,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
23,1834,12,0.132,2.931,0.654,1.187,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
24,1835,1,0.774,1.800,0.468,1.201,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
25,1835,2,1.877,2.313,0.275,1.169,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
26,1835,3,-0.624,2.569,0.155,1.231,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
27,1835,4,-0.606,1.776,0.058,1.297,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
28,1835,5,0.398,2.147,-0.190,0.976,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
29,1835,6,0.086,1.988,-0.491,0.994,-0.180,1.028,NaN,NaN,NaN,NaN,7.41,0.88
30,1835,7,0.175,2.216,-0.706,1.064,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
31,1835,8,0.287,1.616,-0.859,1.053,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
32,1835,9,-0.010,1.635,-0.548,1.042,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
33,1835,10,-1.321,1.669,-0.517,1.056,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
34,1835,11,-3.443,4.891,-0.757,0.994,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
35,1835,12,-3.487,3.299,-0.699,1.001,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
36,1836,1,-1.808,3.134,-0.720,0.863,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
37,1836,2,0.042,2.201,-0.771,0.854,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
38,1836,3,3.110,2.370,-0.838,0.866,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
39,1836,4,-0.236,1.911,-0.648,0.888,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
40,1836,5,-2.476,1.809,-0.427,1.009,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
41,1836,6,0.783,1.694,-0.126,0.999,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
42,1836,7,-0.074,2.773,0.015,1.034,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
43,1836,8,-0.335,1.805,0.001,0.958,NaN,NaN,NaN,NaN,NaN,NaN,7.41,0.88
