,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,-1.762,1.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
1,1875,2,-1.362,1.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
2,1875,3,-0.424,1.643,-1.029,0.758,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
3,1875,4,-0.411,1.102,-1.142,0.744,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
4,1875,5,-1.267,1.074,-1.184,0.755,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
5,1875,6,-1.116,1.120,-1.176,0.846,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
6,1875,7,-0.894,0.594,-1.117,0.847,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
7,1875,8,-1.040,0.665,-1.163,0.906,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
8,1875,9,-0.869,0.909,-1.182,0.805,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
9,1875,10,-1.873,0.822,-1.277,0.784,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
10,1875,11,-2.162,1.263,-1.190,0.798,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
11,1875,12,-0.929,2.037,-1.121,0.751,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
12,1876,1,-1.061,1.595,-1.086,0.741,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
13,1876,2,-1.915,1.627,-1.048,0.723,NaN,NaN,NaN,NaN,NaN,NaN,18.16,0.16
14,1876,3,-0.653,0.730,-1.071,0.758,-0.898,0.481,NaN,NaN,NaN,NaN,18.16,0.16
15,1876,4,-1.545,1.343,-1.079,0.785,-0.873,0.481,NaN,NaN,NaN,NaN,18.16,0.16
16,1876,5,-0.222,1.038,-1.053,0.729,-0.854,0.476,NaN,NaN,NaN,NaN,18.16,0.16
17,1876,6,-0.291,0.623,-1.134,0.647,-0.860,0.462,NaN,NaN,NaN,NaN,18.16,0.16
18,1876,7,-0.471,0.842,-1.032,0.619,-0.867,0.443,NaN,NaN,NaN,NaN,18.16,0.16
19,1876,8,-0.588,0.761,-1.001,0.515,-0.862,0.431,NaN,NaN,NaN,NaN,18.16,0.16
20,1876,9,-1.144,1.309,-1.033,0.576,-0.854,0.424,NaN,NaN,NaN,NaN,18.16,0.16
21,1876,10,-1.962,1.098,-1.093,0.549,-0.838,0.420,NaN,NaN,NaN,NaN,18.16,0.16
22,1876,11,-1.849,0.807,-1.214,0.488,-0.830,0.419,NaN,NaN,NaN,NaN,18.16,0.16
23,1876,12,-1.906,1.375,-1.248,0.481,-0.836,0.425,NaN,NaN,NaN,NaN,18.16,0.16
24,1877,1,0.158,0.714,-1.224,0.447,-0.831,0.417,NaN,NaN,NaN,NaN,18.16,0.16
