,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.411,2.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
1,1814,2,-3.948,1.981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
2,1814,3,-2.978,1.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
3,1814,4,2.263,1.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
4,1814,5,-1.748,1.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
5,1814,6,-2.000,2.740,-1.112,1.090,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
6,1814,7,0.475,1.681,-1.049,1.075,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
7,1814,8,-0.534,1.862,-0.436,1.039,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
8,1814,9,-2.303,3.904,0.046,1.046,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
9,1814,10,-2.185,1.613,-0.042,1.031,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
10,1814,11,0.300,1.832,0.180,1.030,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
11,1814,12,1.726,1.675,0.313,0.940,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
12,1815,1,-1.658,1.857,0.095,0.975,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
13,1815,2,3.405,1.700,-0.038,0.936,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
14,1815,3,2.814,1.767,0.030,1.024,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
15,1815,4,1.200,1.816,0.204,1.069,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
16,1815,5,0.922,1.962,0.114,1.048,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
17,1815,6,-0.404,1.757,-0.158,1.033,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
18,1815,7,-2.147,1.981,0.138,1.030,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
19,1815,8,-2.121,1.582,-0.140,1.056,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
20,1815,9,-1.495,1.634,-0.456,1.032,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
21,1815,10,-0.096,1.929,-0.485,1.053,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
22,1815,11,-0.780,1.720,-0.663,1.098,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
23,1815,12,-1.534,1.714,-0.856,1.191,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
24,1816,1,1.889,1.802,-0.809,1.254,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
25,1816,2,0.067,1.906,-0.861,1.296,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
26,1816,3,-0.977,1.613,-0.876,1.404,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
27,1816,4,0.855,2.000,-0.956,1.486,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
28,1816,5,-1.208,2.452,-0.989,1.611,NaN,NaN,NaN,NaN,NaN,NaN,12.63,0.36
29,1816,6,-2.725,2.731,-0.845,1.621,-0.252,1.374,NaN,NaN,NaN,NaN,12.63,0.36
30,1816,7,-1.581,2.680,-0.720,1.647,-0.177,1.348,NaN,NaN,NaN,NaN,12.63,0.36
31,1816,8,-2.750,1.873,-0.384,1.660,-0.087,1.314,NaN,NaN,NaN,NaN,12.63,0.36
