,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-0.808,1.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
1,1876,5,0.140,1.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
2,1876,6,-0.982,1.179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
3,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
4,1876,8,-1.248,1.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
5,1876,9,-1.252,1.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
6,1876,10,-0.718,1.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
7,1876,11,-0.538,1.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
8,1876,12,-1.042,1.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
9,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
10,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
11,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
12,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
13,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
14,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
19,1877,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
20,1877,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
21,1878,1,-1.646,1.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
22,1878,2,-1.330,2.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
23,1878,3,0.313,1.618,0.155,0.887,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
24,1878,4,-1.014,2.108,0.240,0.926,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
25,1878,5,0.466,1.755,-0.085,0.846,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
26,1878,6,0.444,1.512,-0.395,0.787,NaN,NaN,NaN,NaN,NaN,NaN,10.72,0.39
27,1878,7,0.504,1.426,-0.349,0.673,-0.810,0.373,NaN,NaN,NaN,NaN,10.72,0.39
28,1878,8,1.258,1.784,-0.292,0.543,-0.768,0.370,NaN,NaN,NaN,NaN,10.72,0.39
29,1878,9,0.950,1.295,-0.448,0.525,-0.742,0.358,NaN,NaN,NaN,NaN,10.72,0.39
30,1878,10,0.248,1.371,-0.431,0.533,-0.724,0.360,NaN,NaN,NaN,NaN,10.72,0.39
31,1878,11,-2.053,1.840,-0.563,0.546,-0.713,0.358,NaN,NaN,NaN,NaN,10.72,0.39
32,1878,12,-2.882,2.018,-0.634,0.503,-0.712,0.367,NaN,NaN,NaN,NaN,10.72,0.39
33,1879,1,-1.094,1.506,-0.746,0.511,-0.705,0.370,NaN,NaN,NaN,NaN,10.72,0.39
34,1879,2,-0.643,1.241,-0.873,0.465,-0.682,0.373,NaN,NaN,NaN,NaN,10.72,0.39
35,1879,3,-1.560,1.195,-1.044,0.480,-0.668,0.371,NaN,NaN,NaN,NaN,10.72,0.39
36,1879,4,-0.806,1.521,-1.196,0.537,-0.660,0.367,NaN,NaN,NaN,NaN,10.72,0.39
37,1879,5,-1.120,1.465,-1.166,0.546,-0.666,0.343,NaN,NaN,NaN,NaN,10.72,0.39
38,1879,6,-0.411,1.322,-1.122,0.555,-0.685,0.335,NaN,NaN,NaN,NaN,10.72,0.39
39,1879,7,-0.844,1.051,-1.163,0.475,-0.680,0.323,NaN,NaN,NaN,NaN,10.72,0.39
40,1879,8,-0.259,1.486,-1.395,0.497,-0.718,0.327,NaN,NaN,NaN,NaN,10.72,0.39
41,1879,9,-1.103,1.233,-1.261,0.518,-0.737,0.318,NaN,NaN,NaN,NaN,10.72,0.39
42,1879,10,-1.572,1.118,-1.306,0.517,-0.750,0.314,-0.817,0.325,NaN,NaN,10.72,0.39
43,1879,11,-1.693,1.940,-1.234,0.499,-0.740,0.312,-0.822,0.319,NaN,NaN,10.72,0.39
