,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-2.128,2.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
1,1864,1,-2.432,2.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
2,1864,2,-1.118,2.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
3,1864,3,1.365,2.759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
4,1864,4,-0.837,2.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
5,1864,5,0.358,2.247,-0.317,0.940,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
6,1864,6,-0.703,2.602,-0.177,0.967,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
7,1864,7,-0.967,2.414,0.077,0.997,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
8,1864,8,-0.231,2.024,0.134,1.038,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
9,1864,9,-0.151,2.224,0.150,1.034,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
10,1864,10,1.414,2.802,0.170,1.055,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
11,1864,11,1.624,2.862,0.053,1.030,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
12,1864,12,-0.442,2.334,0.156,1.086,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
13,1865,1,0.615,2.543,0.140,1.105,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
14,1865,2,-0.440,2.492,0.121,1.076,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
15,1865,3,1.565,2.380,0.028,1.030,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
16,1865,4,-0.602,2.109,0.084,1.003,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
17,1865,5,-1.046,2.162,-0.025,0.956,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
18,1865,6,0.532,2.135,-0.102,0.947,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
19,1865,7,-1.162,2.323,-0.247,0.937,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
20,1865,8,-0.458,2.420,-0.279,0.955,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
21,1865,9,-1.265,2.378,-0.469,0.989,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
22,1865,10,2.085,2.447,-0.425,1.016,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
23,1865,11,0.318,2.339,-0.277,0.959,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
24,1865,12,-1.372,2.127,-0.414,1.000,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
25,1866,1,-1.124,2.407,-0.265,0.973,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
26,1866,2,-0.823,2.297,-0.257,0.971,NaN,NaN,NaN,NaN,NaN,NaN,28.70,0.24
