,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1869,11,-1.187,2.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
1,1869,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
2,1870,1,0.131,2.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
3,1870,2,0.580,2.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
4,1870,3,-0.770,2.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
5,1870,4,-0.007,2.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
6,1870,5,-1.208,2.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
7,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
8,1870,7,0.245,2.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
9,1870,8,2.157,2.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
10,1870,9,-0.761,2.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
11,1870,10,-1.078,2.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
12,1870,11,-0.026,2.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
13,1870,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
14,1871,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
15,1871,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
16,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
17,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
18,1871,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
19,1871,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
20,1871,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
21,1871,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
22,1871,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
23,1871,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
24,1871,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
25,1871,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
26,1872,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
27,1872,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
28,1872,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
29,1872,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
30,1872,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
31,1872,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
32,1872,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
33,1872,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
34,1872,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
35,1872,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
36,1872,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
37,1872,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
38,1873,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
39,1873,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
40,1873,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
41,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
42,1873,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
43,1873,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
44,1873,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
45,1873,8,-0.310,1.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
46,1873,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
47,1873,10,-2.269,1.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
48,1873,11,-1.162,1.876,-0.419,0.845,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
49,1873,12,0.479,2.049,-0.500,0.837,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
50,1874,1,-0.511,1.919,-0.589,0.875,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
51,1874,2,-0.519,1.901,-0.576,0.885,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
52,1874,3,-0.745,2.187,-0.580,0.908,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
53,1874,4,-0.314,2.359,-0.440,0.891,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
54,1874,5,-0.029,1.868,-0.387,0.864,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
55,1874,6,0.073,2.274,-0.571,0.822,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
56,1874,7,-0.386,2.623,-0.521,0.841,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
57,1874,8,-0.149,2.067,-0.520,0.810,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
58,1874,9,-1.430,1.879,-0.415,0.825,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
59,1874,10,-0.585,2.118,-0.338,0.838,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
60,1874,11,-0.523,2.039,-0.303,0.937,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
61,1874,12,-1.738,2.259,-0.286,0.959,NaN,NaN,NaN,NaN,NaN,NaN,4.63,0.71
62,1875,1,0.095,2.265,-0.142,1.025,-0.287,0.563,NaN,NaN,NaN,NaN,4.63,0.71
63,1875,2,-0.510,1.905,-0.131,1.032,-0.292,0.557,NaN,NaN,NaN,NaN,4.63,0.71
64,1875,3,0.513,2.222,0.016,1.078,-0.273,0.557,NaN,NaN,NaN,NaN,4.63,0.71
