,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1869,11,-1.523,3.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
1,1869,12,-2.295,3.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
2,1870,1,-0.383,2.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
3,1870,2,-1.685,2.621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
4,1870,3,-1.144,2.204,-0.715,1.104,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
5,1870,4,-0.246,2.406,-0.728,1.086,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
6,1870,5,-0.211,2.330,-0.592,1.041,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
7,1870,6,0.166,2.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
8,1870,7,0.238,2.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
9,1870,8,0.648,2.301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
10,1870,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
11,1870,10,-1.946,2.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
12,1870,11,0.108,2.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
13,1870,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
14,1871,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
15,1871,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
16,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
17,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
18,1871,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
19,1871,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
20,1871,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
21,1871,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
22,1871,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
23,1871,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
24,1871,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
25,1871,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
26,1872,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
27,1872,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
28,1872,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
29,1872,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
30,1872,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
31,1872,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
32,1872,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
33,1872,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
34,1872,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
35,1872,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
36,1872,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
37,1872,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
38,1873,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
39,1873,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
40,1873,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
41,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
42,1873,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
43,1873,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
44,1873,7,0.411,1.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
45,1873,8,-0.158,1.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
46,1873,9,-1.441,1.820,-0.613,0.854,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
47,1873,10,-2.755,1.681,-0.519,0.827,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
48,1873,11,0.520,1.691,-0.256,0.824,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
49,1873,12,-0.484,1.565,-0.226,0.801,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
50,1874,1,-2.425,1.986,-0.317,0.777,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
51,1874,2,1.224,1.756,-0.371,0.769,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
52,1874,3,-0.391,2.400,-0.353,0.789,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
53,1874,4,0.707,1.627,-0.392,0.780,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
54,1874,5,2.120,1.651,-0.467,0.835,NaN,NaN,NaN,NaN,NaN,NaN,-0.94,0.28
