,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-1.292,1.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
1,1864,1,-2.617,1.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
2,1864,2,-0.828,1.553,-0.659,0.684,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
3,1864,3,1.571,2.021,-0.746,0.745,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
4,1864,4,-0.985,1.171,-0.601,0.650,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
5,1864,5,-0.487,1.352,-0.350,0.584,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
6,1864,6,1.238,1.163,-0.215,0.605,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
7,1864,7,-2.331,2.458,0.128,0.765,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
8,1864,8,-1.472,1.485,0.228,0.799,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
9,1864,9,-1.031,2.099,0.243,0.756,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
10,1864,10,1.641,2.414,0.196,0.676,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
11,1864,11,2.390,3.955,0.126,0.621,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
12,1864,12,0.333,2.689,0.018,0.590,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
13,1865,1,1.502,2.186,0.107,0.654,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
14,1865,2,0.370,1.700,0.161,0.683,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
15,1865,3,1.741,1.850,0.077,0.625,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
16,1865,4,-1.542,1.349,-0.008,0.509,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
17,1865,5,-1.331,1.371,-0.174,0.440,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
18,1865,6,-0.050,1.291,-0.317,0.421,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
19,1865,7,-1.269,2.294,-0.524,0.480,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
20,1865,8,-0.823,0.998,-0.595,0.479,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
21,1865,9,-2.038,2.928,-0.700,0.458,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
22,1865,10,0.615,0.925,-0.612,0.459,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
23,1865,11,0.407,2.125,-0.509,0.529,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
24,1865,12,-1.388,1.515,-0.643,0.490,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
25,1866,1,-0.984,1.894,-0.576,0.480,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
26,1866,2,-0.479,2.172,-0.606,0.472,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
27,1866,3,0.483,2.204,-0.480,0.531,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
28,1866,4,-0.483,1.340,-0.562,0.560,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
29,1866,5,-0.100,1.386,-0.709,0.542,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
30,1866,6,-1.659,2.511,-0.629,0.618,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
31,1866,7,-0.457,1.332,-0.577,0.566,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
32,1866,8,-1.193,1.072,-0.666,0.513,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
33,1866,9,-0.520,1.457,-0.857,0.594,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
34,1866,10,-0.367,1.096,-0.845,0.652,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
35,1866,11,-1.360,1.787,-0.901,0.701,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
36,1866,12,-0.431,3.503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
37,1867,1,-0.364,1.433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
38,1867,2,-1.547,1.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
39,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
40,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
41,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
42,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
43,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
44,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
45,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
46,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
47,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
48,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
49,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
50,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
51,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
52,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
53,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
54,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
55,1868,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
56,1868,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
57,1868,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
58,1868,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
59,1868,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
60,1868,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
61,1869,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
62,1869,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
63,1869,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
64,1869,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
65,1869,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
66,1869,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
67,1869,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
68,1869,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
69,1869,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
70,1869,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
71,1869,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
72,1869,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
73,1870,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
74,1870,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
75,1870,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
76,1870,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
77,1870,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
78,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
79,1870,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
80,1870,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
81,1870,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
82,1870,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
83,1870,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.07,0.56
