,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,-2.081,1.550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
1,1750,2,-1.230,1.859,-0.700,0.732,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
2,1750,3,NaN,NaN,-0.661,0.753,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
3,1750,4,0.312,1.342,-0.574,0.753,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
4,1750,5,-1.522,1.363,-0.728,0.757,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
5,1750,6,0.219,1.441,-0.691,0.772,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
6,1750,7,0.367,1.480,-0.693,0.776,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
7,1750,8,0.567,1.339,-0.843,0.738,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
8,1750,9,NaN,NaN,-0.913,0.704,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
9,1750,10,-0.561,1.314,-1.082,0.693,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
10,1750,11,-3.103,1.374,-1.043,0.663,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
11,1750,12,-2.622,1.554,-1.107,0.666,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
12,1751,1,-2.101,1.612,-1.052,0.628,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
13,1751,2,-3.038,1.508,-1.006,0.625,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
14,1751,3,0.787,1.354,-1.008,0.612,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
15,1751,4,-1.717,1.327,-1.059,0.619,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
16,1751,5,-1.054,1.408,-1.080,0.639,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
17,1751,6,-0.553,1.457,-1.088,0.667,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
18,1751,7,1.028,1.448,-1.045,0.679,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
19,1751,8,1.121,1.299,-0.689,0.675,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
20,1751,9,-0.284,1.264,-0.753,0.683,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
21,1751,10,-1.169,1.416,-0.715,0.658,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
22,1751,11,-3.359,1.467,-0.691,0.634,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
23,1751,12,-2.714,1.849,-0.490,0.611,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
24,1752,1,-1.583,1.718,-0.542,0.622,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
25,1752,2,1.235,1.540,-0.737,0.640,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
26,1752,3,0.017,1.307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
27,1752,4,-1.260,1.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
28,1752,5,-0.774,1.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
29,1752,6,1.867,1.287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
30,1752,7,0.400,1.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
31,1752,8,-1.220,1.547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
33,1752,10,-0.413,1.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
34,1752,11,-0.494,1.436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
35,1752,12,-1.567,1.685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
36,1753,1,-2.357,1.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
37,1753,2,-1.561,1.605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
38,1753,3,0.600,1.265,-0.325,0.709,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
39,1753,4,0.121,1.376,-0.323,0.709,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
40,1753,5,0.195,1.145,-0.433,0.707,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
41,1753,6,1.856,1.442,-0.416,0.733,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
42,1753,7,0.867,1.397,-0.366,0.782,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
43,1753,8,-0.688,1.306,-0.508,0.773,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
44,1753,9,-0.461,1.166,-0.845,0.749,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
45,1753,10,-0.385,1.226,-0.809,0.789,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
46,1753,11,-1.813,1.333,-0.761,0.804,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
47,1753,12,-1.365,2.549,-0.822,0.796,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
48,1754,1,-1.752,1.664,-0.905,0.796,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
49,1754,2,-3.272,1.591,-0.812,0.834,NaN,NaN,NaN,NaN,NaN,NaN,12.79,0.22
