,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-0.414,2.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
1,1814,2,-4.728,2.576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
2,1814,3,-0.643,2.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
3,1814,4,2.563,1.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
4,1814,5,-0.682,1.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
5,1814,6,0.611,1.444,0.140,1.270,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
6,1814,7,1.645,1.371,0.076,1.219,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
7,1814,8,0.717,1.237,0.642,1.104,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
8,1814,9,-1.716,1.311,0.880,0.990,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
9,1814,10,-0.228,1.317,0.809,0.980,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
10,1814,11,1.887,2.230,1.131,1.012,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
11,1814,12,2.671,1.290,1.203,0.984,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
12,1815,1,-1.190,1.912,1.074,0.951,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
13,1815,2,2.071,1.365,1.025,0.961,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
14,1815,3,2.209,1.089,1.259,1.010,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
15,1815,4,1.707,1.293,1.479,1.072,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
16,1815,5,3.188,1.523,1.253,0.963,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
17,1815,6,1.477,1.139,0.863,0.968,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
18,1815,7,0.092,1.148,1.046,0.942,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
19,1815,8,0.132,1.322,0.678,0.907,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
20,1815,9,1.098,1.720,0.447,0.886,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
21,1815,10,2.407,2.021,0.344,0.883,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
22,1815,11,-0.831,1.176,0.161,0.873,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
23,1815,12,-2.005,1.359,0.081,0.920,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
24,1816,1,1.010,1.749,0.100,1.007,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
25,1816,2,-2.347,1.289,0.034,1.014,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
26,1816,3,-0.559,1.144,-0.052,1.003,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
27,1816,4,0.464,1.245,-0.168,0.953,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
28,1816,5,0.996,1.423,-0.112,0.976,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
29,1816,6,0.510,1.557,-0.111,0.909,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
30,1816,7,0.327,1.979,-0.009,0.884,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
31,1816,8,-0.661,1.401,0.359,0.837,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
32,1816,9,0.059,1.534,0.441,0.834,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
33,1816,10,1.021,1.303,0.132,0.798,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
34,1816,11,-0.158,1.355,0.112,0.798,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
35,1816,12,-1.995,1.722,0.293,0.811,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
36,1817,1,2.237,1.487,0.408,0.827,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
37,1817,2,2.062,1.311,0.609,0.906,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
38,1817,3,0.434,1.076,0.770,0.907,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
39,1817,4,-3.255,1.346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
40,1817,5,0.757,1.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
41,1817,6,2.691,1.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
42,1817,7,1.704,2.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
43,1817,8,1.755,2.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
44,1817,9,1.980,1.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
45,1817,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
46,1817,11,0.890,1.207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
47,1817,12,0.421,1.339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
48,1818,1,0.881,1.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
49,1818,2,1.884,2.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
50,1818,3,1.906,1.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
51,1818,4,1.729,1.870,1.549,1.024,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
52,1818,5,2.639,1.624,1.569,1.039,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
53,1818,6,2.226,1.629,1.493,0.990,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
54,1818,7,2.334,1.878,1.316,0.966,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
55,1818,8,1.000,1.641,1.269,0.940,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
56,1818,9,1.400,1.707,1.296,0.936,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
57,1818,10,1.275,1.176,1.387,0.913,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
58,1818,11,1.137,1.286,1.306,0.929,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
59,1818,12,-0.494,2.586,1.269,0.961,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
60,1819,1,-1.246,8.514,1.276,0.935,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
61,1819,2,1.325,7.394,1.338,0.906,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
62,1819,3,2.234,7.581,1.311,0.889,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
63,1819,4,2.817,3.577,1.388,0.933,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
64,1819,5,1.669,4.296,1.487,0.984,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
65,1819,6,1.779,1.927,1.578,1.033,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
66,1819,7,2.414,3.875,1.625,1.059,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
67,1819,8,1.742,6.955,1.618,1.046,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
68,1819,9,1.075,6.793,1.370,1.036,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
69,1819,10,2.209,1.361,1.336,1.031,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
70,1819,11,2.324,4.657,1.432,1.046,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
71,1819,12,0.592,3.596,1.430,1.003,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
72,1820,1,-0.685,1.435,1.406,1.004,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
73,1820,2,1.247,7.927,1.582,1.060,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
74,1820,3,-0.746,6.166,1.609,1.118,NaN,NaN,NaN,NaN,NaN,NaN,8.97,0.46
75,1820,4,2.414,3.505,1.473,1.108,1.489,0.986,NaN,NaN,NaN,NaN,8.97,0.46
76,1820,5,2.815,4.535,1.229,1.067,1.511,0.986,NaN,NaN,NaN,NaN,8.97,0.46
77,1820,6,1.757,4.390,1.195,1.058,1.503,1.008,NaN,NaN,NaN,NaN,8.97,0.46
78,1820,7,2.128,4.882,1.358,1.049,1.422,1.025,NaN,NaN,NaN,NaN,8.97,0.46
79,1820,8,3.853,1.731,1.091,1.043,1.411,1.028,NaN,NaN,NaN,NaN,8.97,0.46
80,1820,9,1.397,2.938,1.199,1.050,1.381,1.018,NaN,NaN,NaN,NaN,8.97,0.46
81,1820,10,0.579,5.678,1.217,1.055,1.368,1.007,NaN,NaN,NaN,NaN,8.97,0.46
82,1820,11,-0.603,4.531,1.178,1.054,1.371,1.004,NaN,NaN,NaN,NaN,8.97,0.46
83,1820,12,0.187,4.220,1.045,1.077,1.356,1.015,NaN,NaN,NaN,NaN,8.97,0.46
84,1821,1,1.267,9.011,0.956,1.083,1.345,1.012,NaN,NaN,NaN,NaN,8.97,0.46
85,1821,2,-1.961,5.846,0.786,1.045,1.370,1.011,NaN,NaN,NaN,NaN,8.97,0.46
86,1821,3,0.555,4.291,0.878,0.965,1.379,1.026,NaN,NaN,NaN,NaN,8.97,0.46
87,1821,4,2.633,5.868,0.858,0.962,1.394,1.046,NaN,NaN,NaN,NaN,8.97,0.46
88,1821,5,2.350,5.205,0.921,0.966,1.358,1.042,NaN,NaN,NaN,NaN,8.97,0.46
89,1821,6,0.151,5.395,1.008,0.968,1.380,1.045,NaN,NaN,NaN,NaN,8.97,0.46
90,1821,7,1.068,5.479,1.033,0.944,1.412,1.044,NaN,NaN,NaN,NaN,8.97,0.46
91,1821,8,1.811,1.295,1.335,0.899,1.430,1.057,NaN,NaN,NaN,NaN,8.97,0.46
92,1821,9,2.505,9.173,1.580,0.901,1.392,1.064,NaN,NaN,NaN,NaN,8.97,0.46
93,1821,10,0.331,6.223,1.504,0.886,1.343,1.061,NaN,NaN,NaN,NaN,8.97,0.46
94,1821,11,0.161,4.050,1.533,0.853,1.344,1.072,NaN,NaN,NaN,NaN,8.97,0.46
95,1821,12,1.228,7.150,1.904,0.898,1.319,1.066,NaN,NaN,NaN,NaN,8.97,0.46
96,1822,1,1.559,1.375,2.059,0.999,1.314,1.058,NaN,NaN,NaN,NaN,8.97,0.46
97,1822,2,1.674,1.392,2.056,0.967,1.323,1.055,NaN,NaN,NaN,NaN,8.97,0.46
98,1822,3,3.488,1.657,2.019,1.064,1.343,1.075,NaN,NaN,NaN,NaN,8.97,0.46
99,1822,4,1.721,1.305,2.177,1.112,1.344,1.080,NaN,NaN,NaN,NaN,8.97,0.46
