,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,9,-0.857,1.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
1,1852,10,-1.373,3.391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
2,1852,11,-1.014,3.074,-0.831,1.288,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
3,1852,12,-0.022,3.237,-0.832,1.211,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
4,1853,1,-0.393,2.548,-0.828,1.135,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
5,1853,2,-1.389,1.823,-0.830,1.088,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
6,1853,3,-0.688,1.201,-0.831,1.066,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
7,1853,4,-0.614,1.682,-0.753,1.188,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
8,1853,5,-0.950,1.336,-0.732,1.045,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
9,1853,6,-0.765,1.768,-0.801,1.122,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
10,1853,7,-0.810,1.330,-0.743,1.145,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
11,1853,8,-1.089,1.054,-0.654,1.371,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
12,1853,9,-0.864,1.508,-0.595,1.497,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
13,1853,10,-0.440,3.173,-0.565,1.396,NaN,NaN,NaN,NaN,NaN,NaN,22.33,0.51
14,1853,11,-0.754,2.571,-0.489,1.523,-0.430,1.073,NaN,NaN,NaN,NaN,22.33,0.51
15,1853,12,-0.855,1.675,-0.421,1.661,-0.433,1.079,NaN,NaN,NaN,NaN,22.33,0.51
16,1854,1,0.308,2.305,-0.360,1.573,-0.439,1.067,NaN,NaN,NaN,NaN,22.33,0.51
17,1854,2,-0.323,3.227,-0.240,1.641,-0.441,1.086,NaN,NaN,NaN,NaN,22.33,0.51
18,1854,3,0.012,2.534,-0.147,1.636,-0.459,1.099,NaN,NaN,NaN,NaN,22.33,0.51
19,1854,4,-0.247,1.689,-0.136,1.440,-0.470,1.109,NaN,NaN,NaN,NaN,22.33,0.51
20,1854,5,-0.042,2.511,-0.178,1.262,-0.471,1.088,NaN,NaN,NaN,NaN,22.33,0.51
21,1854,6,0.058,1.682,-0.151,1.198,-0.482,1.048,NaN,NaN,NaN,NaN,22.33,0.51
22,1854,7,-0.081,1.252,-0.166,1.005,-0.489,1.075,NaN,NaN,NaN,NaN,22.33,0.51
23,1854,8,0.350,1.811,-0.158,0.927,-0.476,1.050,NaN,NaN,NaN,NaN,22.33,0.51
24,1854,9,0.249,1.324,-0.205,0.792,-0.485,1.053,NaN,NaN,NaN,NaN,22.33,0.51
25,1854,10,-0.310,1.085,-0.251,0.900,-0.464,1.062,NaN,NaN,NaN,NaN,22.33,0.51
26,1854,11,-1.257,1.114,-0.261,0.793,-0.472,1.060,NaN,NaN,NaN,NaN,22.33,0.51
27,1854,12,-0.527,2.660,-0.254,0.689,-0.466,1.072,NaN,NaN,NaN,NaN,22.33,0.51
28,1855,1,0.127,1.410,-0.264,0.643,-0.472,1.064,NaN,NaN,NaN,NaN,22.33,0.51
29,1855,2,-0.233,3.047,-0.257,0.694,-0.477,1.076,-0.538,0.925,NaN,NaN,22.33,0.51
30,1855,3,-0.550,1.703,-0.308,0.655,-0.476,1.078,-0.542,0.914,NaN,NaN,22.33,0.51
31,1855,4,-0.794,1.216,-0.332,0.772,-0.467,1.055,-0.543,0.914,NaN,NaN,22.33,0.51
32,1855,5,-0.167,1.115,-0.245,0.897,-0.465,1.048,-0.550,0.899,NaN,NaN,22.33,0.51
33,1855,6,0.149,1.276,-0.167,0.837,-0.481,1.064,-0.552,0.894,NaN,NaN,22.33,0.51
34,1855,7,-0.202,1.081,-0.099,0.979,-0.479,1.057,-0.556,0.900,NaN,NaN,22.33,0.51
35,1855,8,0.426,2.132,-0.066,1.041,-0.456,1.037,-0.562,0.895,NaN,NaN,22.33,0.51
36,1855,9,-0.359,1.684,-0.010,1.220,-0.468,1.025,-0.564,0.883,NaN,NaN,22.33,0.51
37,1855,10,-0.593,1.868,-0.015,1.213,-0.482,1.004,-0.567,0.863,NaN,NaN,22.33,0.51
38,1855,11,-0.221,2.255,-0.011,1.240,-0.480,0.992,-0.577,0.843,NaN,NaN,22.33,0.51
39,1855,12,0.414,1.229,-0.071,1.372,-0.472,1.000,-0.594,0.809,NaN,NaN,22.33,0.51
40,1856,1,0.936,2.084,-0.131,1.488,-0.470,0.988,-0.605,0.806,NaN,NaN,22.33,0.51
41,1856,2,0.169,3.063,-0.252,1.557,-0.465,0.981,-0.615,0.803,NaN,NaN,22.33,0.51
42,1856,3,0.116,3.228,-0.334,1.671,-0.459,0.960,-0.622,0.798,NaN,NaN,22.33,0.51
43,1856,4,-0.846,1.120,-0.352,1.645,-0.468,0.925,-0.634,0.794,NaN,NaN,22.33,0.51
44,1856,5,-0.118,1.267,-0.413,1.558,-0.483,0.896,-0.638,0.792,NaN,NaN,22.33,0.51
45,1856,6,-0.576,2.278,-0.492,1.524,-0.481,0.888,-0.643,0.784,NaN,NaN,22.33,0.51
46,1856,7,-0.915,1.147,-0.689,1.634,-0.494,0.863,-0.647,0.776,NaN,NaN,22.33,0.51
47,1856,8,-1.036,2.854,-0.598,1.397,-0.492,0.835,-0.652,0.766,NaN,NaN,22.33,0.51
48,1856,9,-1.337,2.591,-0.668,1.384,-0.511,0.803,-0.662,0.759,NaN,NaN,22.33,0.51
49,1856,10,-0.806,1.607,-0.708,1.425,-0.527,0.800,-0.666,0.753,NaN,NaN,22.33,0.51
50,1856,11,-0.962,2.204,-0.767,1.401,-0.536,0.754,-0.669,0.749,NaN,NaN,22.33,0.51
51,1856,12,-0.525,2.920,-0.752,1.388,-0.549,0.754,-0.676,0.733,NaN,NaN,22.33,0.51
52,1857,1,-1.430,3.734,-0.778,1.441,-0.565,0.763,-0.680,0.738,NaN,NaN,22.33,0.51
53,1857,2,1.259,1.787,-0.807,1.375,-0.590,0.749,-0.693,0.726,NaN,NaN,22.33,0.51
54,1857,3,-0.729,2.767,-0.758,1.270,-0.607,0.755,-0.706,0.713,NaN,NaN,22.33,0.51
55,1857,4,-1.319,1.453,-0.760,1.179,-0.606,0.769,-0.696,0.703,NaN,NaN,22.33,0.51
56,1857,5,-0.824,1.136,-0.755,1.089,-0.605,0.774,-0.699,0.694,NaN,NaN,22.33,0.51
57,1857,6,-0.395,2.603,-0.792,1.118,-0.615,0.793,-0.704,0.686,NaN,NaN,22.33,0.51
58,1857,7,-1.229,2.304,-0.697,1.026,-0.617,0.797,-0.701,0.679,NaN,NaN,22.33,0.51
59,1857,8,-1.385,1.635,-0.804,0.901,-0.620,0.781,-0.704,0.673,NaN,NaN,22.33,0.51
60,1857,9,-0.750,2.281,-0.861,0.909,-0.633,0.781,-0.705,0.664,NaN,NaN,22.33,0.51
61,1857,10,-0.837,1.467,-0.874,0.927,-0.634,0.800,-0.703,0.646,NaN,NaN,22.33,0.51
62,1857,11,-0.899,2.942,-0.874,0.999,-0.656,0.795,-0.705,0.639,NaN,NaN,22.33,0.51
63,1857,12,-0.971,3.444,-0.865,0.939,-0.671,0.806,-0.715,0.632,NaN,NaN,22.33,0.51
64,1858,1,-0.288,2.531,-0.816,1.063,-0.677,0.827,-0.716,0.616,NaN,NaN,22.33,0.51
65,1858,2,-0.021,2.738,-0.766,1.095,-0.703,0.821,-0.700,0.610,NaN,NaN,22.33,0.51
66,1858,3,-1.412,1.726,-0.749,1.174,-0.711,0.811,-0.695,0.608,NaN,NaN,22.33,0.51
67,1858,4,-1.472,2.522,-0.762,1.238,-0.722,0.774,-0.696,0.605,NaN,NaN,22.33,0.51
68,1858,5,-0.825,2.201,-0.820,1.017,-0.747,0.732,-0.690,0.608,-0.498,0.694,22.33,0.51
69,1858,6,-0.294,0.998,-0.805,0.994,-0.772,0.718,-0.681,0.624,-0.499,0.693,22.33,0.51
70,1858,7,-0.635,1.137,-0.817,1.034,-0.799,0.724,-0.675,0.621,-0.496,0.691,22.33,0.51
71,1858,8,-0.793,1.471,-0.835,1.151,-0.804,0.705,-0.666,0.626,-0.495,0.696,22.33,0.51
