,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1881,4,0.631,3.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
1,1881,5,0.285,2.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
2,1881,6,-0.201,2.693,-0.146,1.095,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
3,1881,7,0.402,2.785,-0.192,1.095,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
4,1881,8,1.458,2.706,-0.307,1.081,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
5,1881,9,-0.918,2.874,-0.425,1.112,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
6,1881,10,-0.363,2.801,-0.685,1.206,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
7,1881,11,-1.057,2.701,-0.746,1.234,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
8,1881,12,-3.763,4.781,-0.680,1.258,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
9,1882,1,0.144,3.295,-0.757,1.239,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
10,1882,2,-1.051,2.765,-0.726,1.272,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
11,1882,3,-0.663,3.368,-0.686,1.263,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
12,1882,4,-2.496,2.723,-0.846,1.341,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
13,1882,5,-0.441,2.601,-0.575,1.202,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
14,1882,6,0.585,2.625,-0.272,1.085,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
15,1882,7,-0.523,2.816,-0.420,1.058,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
16,1882,8,1.828,2.621,-0.598,1.143,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
17,1882,9,NaN,NaN,-0.454,1.046,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
18,1882,10,-2.283,3.386,-0.360,1.052,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
19,1882,11,2.200,3.471,-0.217,1.039,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
20,1882,12,NaN,NaN,-0.147,1.037,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
21,1883,1,NaN,NaN,-0.053,1.053,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
22,1883,2,-3.186,4.743,-0.130,1.065,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
23,1883,3,1.059,2.825,-0.109,1.048,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
24,1883,4,-1.359,2.735,0.080,1.036,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
25,1883,5,1.267,2.674,-0.168,1.045,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
26,1883,6,1.432,2.611,-0.098,0.975,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
27,1883,7,0.599,2.692,0.032,0.975,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
28,1883,8,0.912,2.593,0.300,1.065,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
29,1883,9,-0.182,2.673,0.120,1.002,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
30,1883,10,-0.013,2.652,0.090,1.015,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
31,1883,11,-0.780,2.545,-0.123,1.003,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
32,1883,12,0.715,3.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
33,1884,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
34,1884,2,0.033,2.803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
35,1884,3,-1.110,2.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
36,1884,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
37,1884,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
38,1884,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
39,1884,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
40,1884,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
41,1884,9,-2.257,2.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
42,1884,10,-0.715,2.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
43,1884,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
44,1884,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
45,1885,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
46,1885,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
47,1885,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
48,1885,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
49,1885,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
50,1885,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
51,1885,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
52,1885,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
53,1885,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
54,1885,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
55,1885,11,-0.791,2.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
56,1885,12,0.755,2.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
57,1886,1,-0.049,3.178,-0.717,0.951,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
58,1886,2,-2.218,2.560,-0.799,0.960,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
59,1886,3,-0.445,2.378,-0.807,0.975,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
60,1886,4,-1.819,2.428,-0.953,1.062,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
61,1886,5,-1.766,2.980,-0.934,1.059,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
62,1886,6,-0.999,2.653,-0.865,1.005,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
63,1886,7,-0.901,2.590,-0.970,1.118,NaN,NaN,NaN,NaN,NaN,NaN,11.41,0.22
