,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1881,1,-0.717,2.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
1,1881,2,-0.016,2.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
2,1881,3,0.397,2.731,-0.567,1.088,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
3,1881,4,0.817,2.651,-0.507,1.053,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
4,1881,5,0.630,2.051,-0.458,0.987,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
5,1881,6,-1.000,2.305,-0.802,0.884,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
6,1881,7,-1.167,2.294,-0.826,0.838,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
7,1881,8,0.759,2.280,-0.994,0.826,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
8,1881,9,-1.307,2.095,-1.180,0.847,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
9,1881,10,-1.133,1.994,-1.426,0.859,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
10,1881,11,-1.062,2.145,-1.386,0.876,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
11,1881,12,-5.822,2.823,-1.239,0.880,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
12,1882,1,-1.007,4.201,-1.214,0.877,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
13,1882,2,-2.033,2.082,-1.252,0.890,NaN,NaN,NaN,NaN,NaN,NaN,-0.42,0.15
14,1882,3,-1.829,2.617,-1.220,0.893,-0.977,0.484,NaN,NaN,NaN,NaN,-0.42,0.15
15,1882,4,-2.141,2.010,-1.366,0.946,-0.955,0.473,NaN,NaN,NaN,NaN,-0.42,0.15
16,1882,5,1.114,3.080,-1.195,0.934,-0.936,0.460,NaN,NaN,NaN,NaN,-0.42,0.15
17,1882,6,0.760,2.192,-0.817,0.969,-0.861,0.466,NaN,NaN,NaN,NaN,-0.42,0.15
18,1882,7,-0.872,2.578,-0.983,0.915,-0.895,0.458,NaN,NaN,NaN,NaN,-0.42,0.15
19,1882,8,0.302,1.989,-1.078,0.947,-0.921,0.443,NaN,NaN,NaN,NaN,-0.42,0.15
20,1882,9,-0.923,2.135,-0.930,0.939,-0.924,0.447,NaN,NaN,NaN,NaN,-0.42,0.15
21,1882,10,-2.878,2.737,-0.799,0.955,-0.944,0.446,NaN,NaN,NaN,NaN,-0.42,0.15
22,1882,11,0.989,3.229,-0.803,0.971,-0.976,0.444,NaN,NaN,NaN,NaN,-0.42,0.15
23,1882,12,-1.291,2.652,-0.828,0.952,-0.991,0.446,NaN,NaN,NaN,NaN,-0.42,0.15
24,1883,1,-2.990,2.796,-0.810,0.937,-1.000,0.442,NaN,NaN,NaN,NaN,-0.42,0.15
25,1883,2,-3.179,3.706,-0.844,0.956,-1.006,0.440,NaN,NaN,NaN,NaN,-0.42,0.15
26,1883,3,-0.054,2.959,-0.860,0.961,-1.009,0.433,NaN,NaN,NaN,NaN,-0.42,0.15
27,1883,4,-0.560,2.639,-0.690,0.987,-0.989,0.429,NaN,NaN,NaN,NaN,-0.42,0.15
28,1883,5,1.065,2.445,-0.797,0.924,-0.999,0.425,NaN,NaN,NaN,NaN,-0.42,0.15
29,1883,6,0.456,2.588,-0.684,0.961,-0.961,0.416,-0.888,0.366,NaN,NaN,-0.42,0.15
30,1883,7,-0.657,2.821,-0.424,0.973,-0.929,0.418,-0.875,0.367,NaN,NaN,-0.42,0.15
31,1883,8,-0.105,2.402,-0.168,1.094,-0.961,0.420,-0.875,0.369,NaN,NaN,-0.42,0.15
32,1883,9,-1.120,2.417,-0.416,1.026,-0.990,0.420,-0.880,0.364,NaN,NaN,-0.42,0.15
33,1883,10,-0.829,2.656,-0.558,1.007,-1.055,0.411,-0.876,0.362,NaN,NaN,-0.42,0.15
34,1883,11,-0.293,2.571,-0.715,1.007,-1.088,0.411,-0.882,0.359,NaN,NaN,-0.42,0.15
35,1883,12,0.056,3.098,-0.831,1.015,-1.095,0.406,-0.905,0.357,NaN,NaN,-0.42,0.15
36,1884,1,0.134,2.160,-0.852,0.943,-1.084,0.400,-0.931,0.342,NaN,NaN,-0.42,0.15
37,1884,2,-0.106,2.195,-0.939,0.925,-1.104,0.399,-0.928,0.340,NaN,NaN,-0.42,0.15
38,1884,3,-3.027,2.292,-1.064,0.933,-1.092,0.394,-0.931,0.348,NaN,NaN,-0.42,0.15
39,1884,4,-2.265,1.887,-1.022,0.886,-1.122,0.394,-0.921,0.349,NaN,NaN,-0.42,0.15
40,1884,5,-0.823,1.995,-1.082,0.806,-1.137,0.400,-0.929,0.348,NaN,NaN,-0.42,0.15
41,1884,6,-0.937,2.376,-0.960,0.756,-0.997,0.402,-0.928,0.347,NaN,NaN,-0.42,0.15
42,1884,7,-0.912,1.486,-1.263,0.742,-1.026,0.424,-0.920,0.345,NaN,NaN,-0.42,0.15
43,1884,8,-1.147,1.559,-1.463,0.808,-0.993,0.425,-0.915,0.340,NaN,NaN,-0.42,0.15
44,1884,9,-2.623,1.679,-1.237,0.732,-0.972,0.425,-0.910,0.340,NaN,NaN,-0.42,0.15
45,1884,10,-0.316,1.888,-1.292,0.812,-0.957,0.426,-0.920,0.337,NaN,NaN,-0.42,0.15
