,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1850,1,-0.673,1.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
1,1850,2,0.080,2.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
2,1850,3,-1.024,1.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
3,1850,4,-0.716,1.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
4,1850,5,-1.113,1.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
5,1850,6,-0.677,1.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
6,1850,7,-0.809,1.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
7,1850,8,-0.868,1.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
8,1850,9,-1.634,1.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
9,1850,10,-1.251,1.705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
10,1850,11,-1.399,1.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
11,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
12,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
13,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
14,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
15,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
16,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
17,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
18,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
19,1851,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
20,1851,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
21,1851,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
22,1851,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
23,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
24,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
25,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
26,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
27,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
28,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
29,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
30,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
31,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
32,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
33,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
34,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
35,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
36,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
37,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
38,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
39,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
40,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
41,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
42,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
43,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
44,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
45,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
46,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
47,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
48,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
49,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
50,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.27,0.62
