,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-0.987,2.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
1,1876,5,-0.199,2.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
2,1876,6,-0.300,2.585,-0.720,0.881,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
3,1876,7,-1.013,2.402,-0.736,0.860,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
4,1876,8,-0.660,2.370,-0.872,0.825,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
5,1876,9,-0.400,2.350,-0.842,0.782,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
6,1876,10,-2.544,2.479,-1.021,0.773,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
7,1876,11,-1.598,2.347,-1.150,0.793,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
8,1876,12,-0.226,2.314,-1.198,0.774,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
9,1877,1,-0.844,2.383,-1.060,0.759,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
10,1877,2,-1.137,2.571,-0.809,0.723,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
11,1877,3,-0.199,2.324,-0.709,0.718,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
12,1877,4,-3.134,2.337,-0.670,0.726,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
13,1877,5,-1.739,2.456,-0.620,0.731,NaN,NaN,NaN,NaN,NaN,NaN,9.63,0.78
14,1877,6,-0.878,2.480,-0.767,0.738,-0.292,0.386,NaN,NaN,NaN,NaN,9.63,0.78
15,1877,7,0.639,2.392,-0.799,0.740,-0.269,0.380,NaN,NaN,NaN,NaN,9.63,0.78
16,1877,8,2.354,2.811,-0.810,0.725,-0.280,0.380,NaN,NaN,NaN,NaN,9.63,0.78
17,1877,9,0.805,2.440,-0.698,0.735,-0.260,0.391,NaN,NaN,NaN,NaN,9.63,0.78
18,1877,10,-2.086,2.621,-0.564,0.741,-0.245,0.406,NaN,NaN,NaN,NaN,9.63,0.78
19,1877,11,-0.989,2.392,-0.651,0.749,-0.242,0.433,NaN,NaN,NaN,NaN,9.63,0.78
20,1877,12,-1.998,2.389,-0.612,0.795,-0.229,0.440,NaN,NaN,NaN,NaN,9.63,0.78
21,1878,1,-1.225,2.394,-0.729,0.822,-0.265,0.454,NaN,NaN,NaN,NaN,9.63,0.78
22,1878,2,-1.266,2.631,-0.988,0.912,-0.266,0.467,NaN,NaN,NaN,NaN,9.63,0.78
23,1878,3,1.141,2.325,-1.069,1.011,-0.275,0.474,NaN,NaN,NaN,NaN,9.63,0.78
24,1878,4,-1.526,2.337,-0.918,0.998,-0.259,0.475,NaN,NaN,NaN,NaN,9.63,0.78
25,1878,5,-2.778,2.644,-0.741,0.935,-0.252,0.476,NaN,NaN,NaN,NaN,9.63,0.78
26,1878,6,-0.419,2.988,-0.512,0.918,-0.260,0.468,NaN,NaN,NaN,NaN,9.63,0.78
27,1878,7,-0.757,2.459,-0.247,0.926,-0.225,0.466,NaN,NaN,NaN,NaN,9.63,0.78
28,1878,8,-0.758,2.521,0.010,0.874,-0.202,0.463,NaN,NaN,NaN,NaN,9.63,0.78
29,1878,9,-0.169,2.700,-0.125,0.870,-0.196,0.463,-0.080,0.431,NaN,NaN,9.63,0.78
30,1878,10,-0.275,2.606,0.085,0.854,-0.173,0.477,-0.077,0.432,NaN,NaN,9.63,0.78
31,1878,11,1.142,2.321,0.386,0.840,-0.154,0.488,-0.081,0.431,NaN,NaN,9.63,0.78
32,1878,12,0.747,2.440,0.417,0.822,-0.143,0.492,-0.067,0.424,NaN,NaN,9.63,0.78
33,1879,1,1.958,2.429,0.406,0.832,-0.107,0.503,-0.052,0.423,NaN,NaN,9.63,0.78
34,1879,2,1.814,2.665,0.397,0.830,-0.074,0.514,-0.047,0.420,NaN,NaN,9.63,0.78
35,1879,3,-0.479,2.716,0.405,0.891,-0.059,0.522,-0.043,0.418,NaN,NaN,9.63,0.78
36,1879,4,0.995,2.510,0.378,0.965,-0.025,0.533,-0.038,0.420,NaN,NaN,9.63,0.78
37,1879,5,0.836,2.321,0.250,0.998,0.004,0.539,-0.038,0.421,NaN,NaN,9.63,0.78
38,1879,6,-0.044,2.487,0.121,0.979,-0.027,0.536,-0.041,0.420,NaN,NaN,9.63,0.78
39,1879,7,-0.895,2.501,0.040,0.947,-0.017,0.542,-0.038,0.422,NaN,NaN,9.63,0.78
40,1879,8,-0.865,2.396,-0.217,0.903,-0.013,0.548,-0.043,0.422,NaN,NaN,9.63,0.78
41,1879,9,-0.072,2.532,0.132,0.917,-0.017,0.561,-0.050,0.422,NaN,NaN,9.63,0.78
42,1879,10,-0.604,2.361,0.208,0.966,0.018,0.566,-0.074,0.420,NaN,NaN,9.63,0.78
43,1879,11,-0.390,2.521,0.234,1.011,0.042,0.574,-0.078,0.419,NaN,NaN,9.63,0.78
44,1879,12,-0.806,2.533,0.377,1.059,0.076,0.579,-0.074,0.418,NaN,NaN,9.63,0.78
45,1880,1,0.996,2.515,0.401,1.075,0.046,0.567,-0.094,0.414,NaN,NaN,9.63,0.78
46,1880,2,-1.275,2.406,0.549,1.165,0.032,0.561,-0.100,0.408,NaN,NaN,9.63,0.78
47,1880,3,3.710,2.920,0.532,1.139,0.010,0.557,-0.115,0.411,NaN,NaN,9.63,0.78
48,1880,4,1.903,2.919,0.579,1.182,0.016,0.585,-0.148,0.410,NaN,NaN,9.63,0.78
49,1880,5,1.144,2.656,0.610,1.220,0.077,0.586,-0.178,0.419,NaN,NaN,9.63,0.78
50,1880,6,1.679,2.790,0.577,1.274,0.130,0.592,-0.195,0.409,NaN,NaN,9.63,0.78
51,1880,7,-0.612,2.553,0.615,1.300,0.137,0.591,-0.213,0.412,NaN,NaN,9.63,0.78
52,1880,8,0.917,2.594,0.877,1.300,0.097,0.633,-0.218,0.412,NaN,NaN,9.63,0.78
53,1880,9,-0.282,2.317,0.552,1.262,0.095,0.634,-0.224,0.413,NaN,NaN,9.63,0.78
54,1880,10,-0.042,2.584,0.428,1.163,0.125,0.646,-0.222,0.409,NaN,NaN,9.63,0.78
55,1880,11,-0.010,2.606,0.409,1.153,0.191,0.668,-0.212,0.406,NaN,NaN,9.63,0.78
56,1880,12,-1.209,2.669,0.302,1.090,0.231,0.688,-0.206,0.401,NaN,NaN,9.63,0.78
57,1881,1,1.454,2.328,0.445,1.074,0.247,0.692,-0.208,0.401,NaN,NaN,9.63,0.78
58,1881,2,1.870,2.273,0.483,1.061,0.288,0.705,-0.228,0.398,NaN,NaN,9.63,0.78
59,1881,3,-0.193,2.532,0.545,1.069,0.295,0.727,-0.230,0.398,-0.187,0.348,9.63,0.78
60,1881,4,0.422,3.292,0.508,1.016,0.291,0.749,-0.232,0.396,-0.191,0.344,9.63,0.78
61,1881,5,0.918,2.122,0.522,0.984,0.255,0.748,-0.243,0.393,-0.201,0.340,9.63,0.78
62,1881,6,0.391,2.054,0.445,0.857,0.268,0.724,-0.243,0.392,-0.205,0.336,9.63,0.78
63,1881,7,1.105,2.119,0.307,0.842,0.252,0.718,-0.240,0.399,-0.201,0.335,9.63,0.78
64,1881,8,1.368,2.062,0.074,0.819,0.225,0.700,-0.235,0.402,-0.202,0.333,9.63,0.78
65,1881,9,0.462,1.705,0.053,0.835,0.220,0.688,-0.230,0.405,-0.198,0.332,9.63,0.78
66,1881,10,-0.484,2.030,-0.069,0.954,0.194,0.682,-0.216,0.410,-0.204,0.331,9.63,0.78
67,1881,11,0.162,1.897,-0.168,1.020,0.180,0.678,-0.201,0.417,-0.198,0.330,9.63,0.78
68,1881,12,-2.139,4.873,-0.106,1.065,0.170,0.670,-0.195,0.418,-0.185,0.328,9.63,0.78
69,1882,1,-0.203,2.718,-0.293,1.048,0.182,0.665,-0.207,0.422,-0.180,0.327,9.63,0.78
70,1882,2,-0.924,1.957,-0.279,1.119,0.191,0.680,-0.193,0.425,-0.178,0.327,9.63,0.78
71,1882,3,-0.444,3.118,-0.362,1.131,0.173,0.675,-0.178,0.428,-0.173,0.329,9.63,0.78
72,1882,4,-1.034,1.594,-0.467,1.235,0.143,0.669,-0.146,0.435,-0.161,0.331,9.63,0.78
73,1882,5,-0.278,1.785,-0.256,1.041,0.128,0.658,-0.111,0.443,-0.156,0.333,9.63,0.78
74,1882,6,1.141,1.654,0.020,0.862,0.144,0.659,-0.106,0.452,-0.161,0.334,9.63,0.78
75,1882,7,-1.138,2.026,-0.029,0.780,0.082,0.651,-0.113,0.451,-0.160,0.334,9.63,0.78
76,1882,8,1.530,2.167,-0.257,0.975,0.080,0.638,-0.136,0.438,-0.165,0.328,9.63,0.78
77,1882,9,-0.527,2.379,-0.136,0.791,0.030,0.616,-0.147,0.430,-0.165,0.328,9.63,0.78
78,1882,10,-1.754,3.123,-0.029,0.828,-0.052,0.585,-0.132,0.434,-0.165,0.325,9.63,0.78
79,1882,11,2.698,3.127,0.095,0.858,-0.115,0.578,-0.118,0.439,-0.168,0.324,9.63,0.78
80,1882,12,1.174,2.494,0.163,0.858,-0.160,0.543,-0.099,0.435,-0.166,0.327,9.63,0.78
81,1883,1,-0.788,2.204,0.278,0.875,-0.160,0.531,-0.097,0.432,-0.184,0.329,9.63,0.78
82,1883,2,-3.664,5.270,0.289,0.828,-0.170,0.517,-0.092,0.443,-0.198,0.331,9.63,0.78
83,1883,3,1.012,2.194,0.354,0.853,-0.174,0.516,-0.085,0.449,-0.199,0.327,9.63,0.78
84,1883,4,0.249,1.807,0.458,0.806,-0.185,0.499,-0.068,0.460,-0.196,0.328,9.63,0.78
85,1883,5,1.206,2.378,0.151,0.834,-0.172,0.486,-0.041,0.474,-0.195,0.331,9.63,0.78
86,1883,6,1.964,1.826,0.178,0.723,-0.151,0.474,-0.033,0.485,-0.191,0.329,9.63,0.78
87,1883,7,0.236,1.845,0.326,0.726,-0.190,0.470,-0.023,0.490,-0.194,0.327,9.63,0.78
88,1883,8,1.657,1.807,0.647,0.931,-0.255,0.459,-0.011,0.491,-0.196,0.326,9.63,0.78
89,1883,9,0.258,1.984,0.501,0.793,-0.265,0.447,-0.009,0.500,-0.188,0.326,9.63,0.78
90,1883,10,-0.502,1.768,0.432,0.771,-0.291,0.442,-0.015,0.511,-0.190,0.326,9.63,0.78
91,1883,11,-0.995,1.663,0.331,0.682,-0.331,0.431,-0.030,0.510,-0.181,0.324,9.63,0.78
92,1883,12,1.497,3.641,0.115,0.661,-0.344,0.428,-0.036,0.501,-0.176,0.323,9.63,0.78
93,1884,1,0.993,2.195,0.079,0.654,-0.373,0.439,-0.064,0.496,-0.186,0.320,9.63,0.78
94,1884,2,0.194,2.297,-0.084,0.662,-0.396,0.445,-0.081,0.489,-0.177,0.319,9.63,0.78
95,1884,3,-0.746,2.046,-0.202,0.660,-0.400,0.444,-0.065,0.484,-0.170,0.318,9.63,0.78
96,1884,4,-0.579,2.217,-0.361,0.649,-0.408,0.433,-0.074,0.482,-0.172,0.318,9.63,0.78
97,1884,5,-0.008,2.154,-0.386,0.649,-0.407,0.437,-0.089,0.477,-0.171,0.318,9.63,0.78
98,1884,6,-0.626,2.183,-0.500,0.718,-0.364,0.404,-0.082,0.477,-0.167,0.320,9.63,0.78
99,1884,7,-0.197,2.260,-0.809,0.716,-0.397,0.398,-0.080,0.471,-0.167,0.322,9.63,0.78
100,1884,8,-0.302,2.328,-0.940,0.797,-0.374,0.393,-0.072,0.480,-0.169,0.320,9.63,0.78
101,1884,9,-1.159,1.930,-0.818,0.760,-0.339,0.388,-0.069,0.484,-0.166,0.320,9.63,0.78
102,1884,10,-2.407,1.675,-1.021,0.740,-0.310,0.397,-0.067,0.490,-0.172,0.318,9.63,0.78
103,1884,11,-1.290,2.252,-1.239,0.746,-0.265,0.405,-0.065,0.491,-0.174,0.316,9.63,0.78
104,1884,12,0.127,2.275,-1.275,0.741,-0.288,0.416,-0.049,0.493,-0.181,0.316,9.63,0.78
105,1885,1,-2.718,2.264,-1.311,0.732,-0.271,0.423,-0.049,0.498,-0.190,0.317,9.63,0.78
106,1885,2,-1.380,2.310,-1.260,0.727,-0.304,0.406,-0.029,0.502,-0.179,0.316,9.63,0.78
107,1885,3,0.722,2.216,-1.203,0.708,-0.303,0.397,-0.056,0.496,-0.179,0.318,9.63,0.78
108,1885,4,-3.015,2.273,-1.060,0.725,-0.280,0.379,-0.077,0.484,-0.180,0.317,9.63,0.78
109,1885,5,-2.629,3.293,-0.893,0.727,-0.313,0.381,-0.085,0.478,-0.180,0.317,9.63,0.78
110,1885,6,-1.055,2.391,-0.896,0.699,-0.328,0.366,-0.095,0.472,-0.184,0.314,9.63,0.78
111,1885,7,-0.628,2.203,-0.745,0.693,-0.332,0.361,-0.098,0.463,-0.192,0.317,9.63,0.78
112,1885,8,0.313,2.352,-0.797,0.681,-0.282,0.358,-0.117,0.446,-0.199,0.316,9.63,0.78
113,1885,9,-0.476,2.202,-0.923,0.679,-0.265,0.359,-0.114,0.453,-0.201,0.317,9.63,0.78
114,1885,10,-0.693,2.214,-0.767,0.653,-0.261,0.366,-0.119,0.448,-0.203,0.314,9.63,0.78
115,1885,11,0.719,1.964,-0.673,0.606,-0.272,0.367,-0.125,0.439,-0.203,0.313,9.63,0.78
116,1885,12,0.086,2.084,-0.619,0.583,-0.297,0.367,-0.133,0.434,-0.195,0.313,9.63,0.78
117,1886,1,-0.908,2.014,-0.619,0.574,-0.293,0.373,-0.160,0.429,-0.182,0.318,9.63,0.78
118,1886,2,-1.996,1.937,-0.643,0.572,-0.310,0.365,-0.198,0.420,-0.177,0.321,9.63,0.78
119,1886,3,-0.791,1.941,-0.587,0.582,-0.313,0.362,-0.214,0.411,-0.172,0.325,9.63,0.78
120,1886,4,-1.147,2.190,-0.607,0.600,-0.322,0.364,-0.229,0.410,-0.175,0.324,9.63,0.78
121,1886,5,-1.497,2.032,-0.649,0.605,-0.315,0.365,-0.253,0.401,-0.170,0.322,9.63,0.78
122,1886,6,-0.409,2.019,-0.619,0.600,-0.340,0.374,-0.263,0.391,-0.168,0.319,9.63,0.78
123,1886,7,-0.631,2.125,-0.729,0.619,-0.381,0.371,-0.264,0.389,-0.163,0.319,9.63,0.78
124,1886,8,0.027,2.112,-0.522,0.623,-0.386,0.380,-0.274,0.383,-0.159,0.317,9.63,0.78
125,1886,9,0.201,1.992,-0.317,0.629,-0.350,0.376,-0.273,0.381,-0.158,0.317,9.63,0.78
126,1886,10,-0.941,2.038,-0.163,0.704,-0.342,0.377,-0.283,0.372,-0.150,0.316,9.63,0.78
127,1886,11,0.219,2.083,0.163,0.771,-0.357,0.372,-0.285,0.373,-0.149,0.318,9.63,0.78
128,1886,12,0.442,2.101,0.176,0.840,-0.335,0.378,-0.253,0.361,-0.151,0.319,9.63,0.78
129,1887,1,-2.229,2.327,0.216,0.832,-0.343,0.374,-0.241,0.358,-0.157,0.318,9.63,0.78
130,1887,2,0.491,2.152,0.179,0.786,-0.335,0.374,-0.225,0.354,-0.153,0.320,9.63,0.78
131,1887,3,1.670,2.176,0.121,0.758,-0.312,0.379,-0.209,0.359,-0.159,0.321,9.63,0.78
132,1887,4,0.707,2.342,0.168,0.731,-0.278,0.394,-0.181,0.363,-0.155,0.322,9.63,0.78
133,1887,5,2.407,2.448,0.214,0.728,-0.258,0.405,-0.165,0.367,-0.151,0.322,9.63,0.78
134,1887,6,-0.246,2.419,0.200,0.721,-0.241,0.409,-0.182,0.371,-0.150,0.321,9.63,0.78
135,1887,7,-0.153,2.156,0.298,0.692,-0.180,0.425,-0.173,0.372,-0.152,0.320,9.63,0.78
136,1887,8,-0.421,1.956,0.203,0.717,-0.137,0.442,-0.197,0.352,-0.161,0.316,9.63,0.78
137,1887,9,-0.496,2.049,0.233,0.722,-0.143,0.454,-0.196,0.351,-0.162,0.314,9.63,0.78
138,1887,10,-0.373,2.054,0.213,0.734,-0.103,0.460,-0.183,0.341,-0.155,0.318,9.63,0.78
139,1887,11,0.773,2.205,0.058,0.740,-0.055,0.461,-0.211,0.342,-0.142,0.320,9.63,0.78
140,1887,12,0.267,2.290,0.119,0.721,-0.030,0.483,-0.224,0.341,-0.135,0.321,9.63,0.78
141,1888,1,-1.044,2.025,0.169,0.728,-0.035,0.480,-0.257,0.343,-0.132,0.317,9.63,0.78
142,1888,2,-0.660,1.956,0.260,0.724,-0.064,0.459,-0.253,0.338,-0.132,0.316,9.63,0.78
143,1888,3,2.030,1.953,0.306,0.751,-0.054,0.475,-0.260,0.334,-0.145,0.315,9.63,0.78
144,1888,4,0.470,2.257,0.252,0.792,-0.054,0.484,-0.263,0.327,-0.134,0.316,9.63,0.78
145,1888,5,0.546,2.099,0.140,0.772,-0.078,0.477,-0.269,0.324,-0.123,0.321,9.63,0.78
146,1888,6,0.493,1.949,0.117,0.763,-0.116,0.478,-0.276,0.319,-0.115,0.326,9.63,0.78
147,1888,7,0.444,2.116,0.082,0.758,-0.130,0.472,-0.285,0.313,-0.114,0.327,9.63,0.78
148,1888,8,0.664,1.863,0.127,0.745,-0.141,0.467,-0.303,0.310,-0.111,0.325,9.63,0.78
149,1888,9,0.062,2.210,0.076,0.741,-0.163,0.463,-0.296,0.308,-0.114,0.325,9.63,0.78
150,1888,10,-1.023,2.173,0.027,0.708,-0.167,0.469,-0.303,0.306,-0.111,0.330,9.63,0.78
151,1888,11,-0.567,2.061,-0.094,0.650,-0.175,0.462,-0.281,0.307,-0.120,0.326,9.63,0.78
152,1888,12,-0.009,2.228,-0.078,0.663,-0.182,0.451,-0.284,0.319,-0.116,0.325,9.63,0.78
153,1889,1,-1.469,1.811,-0.169,0.647,-0.155,0.442,-0.320,0.311,-0.121,0.325,9.63,0.78
154,1889,2,-0.122,1.975,-0.213,0.690,-0.152,0.429,-0.307,0.322,-0.119,0.326,9.63,0.78
155,1889,3,1.425,1.841,-0.196,0.706,-0.146,0.427,-0.297,0.326,-0.107,0.326,9.63,0.78
156,1889,4,-0.118,1.951,-0.143,0.725,-0.159,0.422,-0.307,0.321,-0.110,0.323,9.63,0.78
157,1889,5,-0.908,1.804,-0.101,0.758,-0.163,0.422,-0.304,0.320,-0.106,0.324,9.63,0.78
158,1889,6,0.678,2.043,-0.008,0.808,-0.142,0.424,-0.294,0.325,-0.099,0.324,9.63,0.78
159,1889,7,-0.641,2.013,0.192,0.868,-0.085,0.420,-0.296,0.331,-0.097,0.320,9.63,0.78
160,1889,8,0.140,2.094,0.303,0.926,-0.076,0.418,-0.296,0.323,-0.088,0.324,9.63,0.78
161,1889,9,0.265,2.173,0.217,0.957,-0.080,0.430,-0.282,0.320,-0.084,0.321,9.63,0.78
162,1889,10,-0.391,2.197,0.176,0.927,-0.053,0.429,-0.270,0.315,-0.074,0.321,9.63,0.78
163,1889,11,-0.067,1.948,0.270,0.974,-0.064,0.427,-0.271,0.310,-0.074,0.316,9.63,0.78
164,1889,12,1.114,1.939,0.250,0.965,-0.076,0.428,-0.288,0.312,-0.081,0.314,9.63,0.78
165,1890,1,0.931,2.201,0.227,0.938,-0.074,0.421,-0.286,0.312,-0.108,0.311,9.63,0.78
166,1890,2,1.206,2.325,0.099,0.803,-0.090,0.400,-0.258,0.319,-0.113,0.306,9.63,0.78
167,1890,3,0.396,2.271,0.087,0.804,-0.088,0.403,-0.243,0.332,-0.120,0.299,9.63,0.78
168,1890,4,-0.613,2.112,0.060,0.765,-0.085,0.395,-0.211,0.338,-0.140,0.294,9.63,0.78
169,1890,5,0.222,2.020,0.005,0.710,-0.110,0.396,-0.181,0.329,-0.137,0.295,9.63,0.78
170,1890,6,0.436,2.195,-0.269,0.699,-0.121,0.407,-0.173,0.333,-0.142,0.289,9.63,0.78
171,1890,7,-0.914,1.899,-0.496,0.668,-0.182,0.416,-0.170,0.342,-0.140,0.287,9.63,0.78
172,1890,8,-1.390,2.259,-0.814,0.622,-0.225,0.414,-0.180,0.335,-0.144,0.284,9.63,0.78
173,1890,9,0.112,2.328,-1.025,0.612,-0.255,0.400,-0.178,0.337,-0.143,0.283,9.63,0.78
174,1890,10,-0.706,1.921,-1.090,0.601,-0.265,0.382,-0.185,0.332,-0.143,0.280,9.63,0.78
175,1890,11,-0.733,2.045,-1.272,0.609,-0.267,0.372,-0.194,0.328,-0.143,0.277,9.63,0.78
176,1890,12,-2.172,2.066,-1.379,0.650,-0.255,0.360,-0.183,0.335,-0.135,0.279,9.63,0.78
177,1891,1,-1.790,2.199,-1.219,0.659,-0.278,0.343,-0.156,0.358,-0.147,0.279,9.63,0.78
178,1891,2,-2.614,2.139,-1.088,0.649,-0.297,0.345,-0.126,0.376,-0.150,0.278,9.63,0.78
179,1891,3,-2.141,2.147,-1.047,0.687,-0.279,0.351,-0.114,0.384,-0.140,0.275,9.63,0.78
180,1891,4,-1.395,2.235,-1.134,0.706,-0.285,0.341,-0.118,0.378,-0.141,0.273,9.63,0.78
181,1891,5,-1.962,2.271,-1.072,0.715,-0.247,0.347,-0.097,0.375,-0.146,0.270,9.63,0.78
182,1891,6,-0.848,2.291,-0.749,0.719,-0.228,0.359,-0.092,0.358,-0.154,0.266,9.63,0.78
183,1891,7,1.010,1.996,-0.504,0.718,-0.259,0.344,-0.086,0.348,-0.158,0.267,9.63,0.78
184,1891,8,0.189,2.054,-0.196,0.680,-0.228,0.369,-0.083,0.335,-0.165,0.266,9.63,0.78
185,1891,9,0.601,2.175,0.097,0.718,-0.244,0.389,-0.085,0.331,-0.168,0.266,9.63,0.78
186,1891,10,-1.750,1.947,0.409,0.705,-0.272,0.379,-0.084,0.324,-0.180,0.257,9.63,0.78
187,1891,11,0.014,2.252,0.717,0.717,-0.250,0.380,-0.096,0.320,-0.173,0.256,9.63,0.78
188,1891,12,1.692,2.047,0.707,0.767,-0.253,0.388,-0.107,0.325,-0.157,0.254,9.63,0.78
189,1892,1,1.156,1.822,0.621,0.759,-0.248,0.409,-0.107,0.319,-0.138,0.248,9.63,0.78
190,1892,2,1.081,1.606,0.493,0.686,-0.256,0.395,-0.113,0.325,-0.124,0.243,9.63,0.78
191,1892,3,1.379,2.291,0.410,0.660,-0.252,0.400,-0.141,0.324,-0.118,0.238,9.63,0.78
192,1892,4,2.347,2.000,0.538,0.635,-0.263,0.376,-0.165,0.322,-0.120,0.232,9.63,0.78
193,1892,5,1.733,1.866,0.477,0.629,-0.285,0.357,-0.190,0.316,-0.116,0.232,9.63,0.78
194,1892,6,-0.973,2.075,0.304,0.625,-0.335,0.362,-0.195,0.305,-0.116,0.234,9.63,0.78
195,1892,7,-0.022,1.756,-0.182,0.657,-0.392,0.347,-0.191,0.307,-0.113,0.232,9.63,0.78
196,1892,8,-1.347,2.210,-0.543,0.652,-0.379,0.373,-0.187,0.312,-0.114,0.230,9.63,0.78
197,1892,9,-0.387,1.718,-0.641,0.546,-0.343,0.428,-0.178,0.320,-0.109,0.227,9.63,0.78
198,1892,10,-0.222,1.653,-0.847,0.523,-0.320,0.449,-0.178,0.320,-0.106,0.223,9.63,0.78
199,1892,11,-0.712,1.834,-0.954,0.484,-0.307,0.429,-0.167,0.327,-0.119,0.222,9.63,0.78
200,1892,12,-0.384,1.933,-0.775,0.488,-0.316,0.443,-0.171,0.331,-0.119,0.219,9.63,0.78
201,1893,1,-4.677,2.217,-0.848,0.565,-0.306,0.466,-0.167,0.321,-0.114,0.217,9.63,0.78
202,1893,2,-3.253,1.414,-0.778,0.569,-0.297,0.453,-0.172,0.306,-0.088,0.211,9.63,0.78
203,1893,3,0.204,1.687,-0.652,0.728,-0.302,0.468,-0.205,0.300,-0.112,0.205,9.63,0.78
204,1893,4,-0.124,1.403,-0.744,0.655,-0.316,0.445,-0.199,0.295,-0.128,0.206,9.63,0.78
205,1893,5,0.450,1.625,-0.546,0.778,-0.310,0.437,-0.206,0.295,-0.142,0.206,9.63,0.78
206,1893,6,1.173,3.440,-0.419,0.861,-0.251,0.458,-0.196,0.293,-0.155,0.206,9.63,0.78
207,1893,7,-0.896,2.480,-0.306,0.848,-0.181,0.541,-0.205,0.294,-0.159,0.201,9.63,0.78
208,1893,8,-0.503,1.226,0.111,1.121,-0.112,0.587,-0.212,0.278,-0.168,0.201,9.63,0.78
209,1893,9,1.121,2.720,0.130,1.245,-0.065,0.604,-0.218,0.268,-0.172,0.200,9.63,0.78
210,1893,10,-1.328,1.728,-0.009,1.202,-0.069,0.576,-0.207,0.279,-0.171,0.202,9.63,0.78
211,1893,11,1.669,2.338,-0.010,1.190,-0.019,0.559,-0.210,0.263,-0.169,0.206,9.63,0.78
212,1893,12,1.139,1.982,-0.066,1.080,-0.001,0.520,-0.196,0.270,-0.180,0.212,9.63,0.78
213,1894,1,-3.323,2.404,-0.022,1.119,-0.017,0.503,-0.177,0.273,-0.199,0.213,9.63,0.78
214,1894,2,1.752,3.966,-0.008,1.052,-0.014,0.479,-0.157,0.302,-0.191,0.219,9.63,0.78
215,1894,3,0.435,2.849,-0.057,0.949,-0.025,0.470,-0.149,0.314,-0.189,0.221,9.63,0.78
216,1894,4,-1.799,1.564,-0.034,0.907,-0.009,0.453,-0.147,0.319,-0.195,0.221,9.63,0.78
217,1894,5,0.437,1.436,-0.291,0.686,-0.029,0.441,-0.123,0.324,-0.192,0.225,9.63,0.78
218,1894,6,0.505,2.252,-0.543,0.594,-0.073,0.442,-0.116,0.330,-0.186,0.226,9.63,0.78
219,1894,7,-0.369,2.768,-0.470,0.660,-0.128,0.431,-0.114,0.328,-0.183,0.223,9.63,0.78
220,1894,8,-0.334,1.496,-0.454,0.595,-0.150,0.447,-0.104,0.336,-0.182,0.222,9.63,0.78
221,1894,9,0.526,1.716,-0.278,0.701,-0.201,0.443,-0.099,0.330,-0.182,0.218,9.63,0.78
222,1894,10,-1.052,2.100,-0.060,0.889,-0.276,0.450,-0.081,0.337,-0.182,0.217,9.63,0.78
223,1894,11,-1.405,1.878,-0.016,0.831,-0.316,0.437,-0.083,0.318,-0.171,0.224,9.63,0.78
224,1894,12,-1.888,1.468,-0.066,0.777,-0.313,0.423,-0.113,0.307,-0.165,0.224,9.63,0.78
225,1895,1,-2.452,1.802,-0.060,0.706,-0.307,0.443,-0.168,0.288,-0.160,0.224,9.63,0.78
226,1895,2,1.942,2.862,-0.106,0.683,-0.284,0.467,-0.197,0.276,-0.172,0.222,9.63,0.78
227,1895,3,2.548,4.744,-0.166,0.644,-0.268,0.491,-0.183,0.271,-0.199,0.221,9.63,0.78
228,1895,4,0.817,2.656,-0.203,0.646,-0.271,0.487,-0.202,0.273,-0.199,0.227,9.63,0.78
229,1895,5,0.967,1.553,-0.119,0.711,-0.224,0.508,-0.190,0.291,-0.191,0.224,9.63,0.78
230,1895,6,-0.095,1.757,0.152,0.810,-0.221,0.520,-0.189,0.280,-0.188,0.225,9.63,0.78
231,1895,7,-0.298,2.059,0.557,1.276,-0.152,0.518,-0.181,0.286,-0.186,0.223,9.63,0.78
232,1895,8,-0.879,1.639,0.523,1.341,-0.120,0.490,-0.171,0.286,-0.188,0.220,9.63,0.78
233,1895,9,-0.203,1.377,0.369,1.102,-0.154,0.485,-0.173,0.287,-0.186,0.224,9.63,0.78
