,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-2.158,2.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
1,1876,5,-1.081,2.100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
2,1876,6,-1.345,2.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
3,1876,7,-0.485,2.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
4,1876,8,-0.288,2.015,-1.226,0.867,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
5,1876,9,-1.431,2.371,-1.181,0.897,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
6,1876,10,-1.349,2.166,-1.125,0.884,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
7,1876,11,-0.896,2.068,-1.142,0.892,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
8,1876,12,-1.797,2.269,-1.179,0.900,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
9,1877,1,-0.186,2.049,-1.215,0.924,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
10,1877,2,-1.854,2.168,-1.263,0.964,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
11,1877,3,-1.305,2.109,-1.236,0.932,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
12,1877,4,-1.488,2.184,-1.241,0.902,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
13,1877,5,-1.276,2.196,-1.045,0.896,NaN,NaN,NaN,NaN,NaN,NaN,-2.46,0.65
14,1877,6,-1.791,2.550,-0.829,0.873,-1.326,0.686,NaN,NaN,NaN,NaN,-2.46,0.65
15,1877,7,-0.919,2.285,-0.926,0.911,-1.304,0.685,NaN,NaN,NaN,NaN,-2.46,0.65
16,1877,8,-0.868,2.155,-0.784,0.967,-1.298,0.691,NaN,NaN,NaN,NaN,-2.46,0.65
17,1877,9,-1.104,2.129,-0.696,0.992,-1.261,0.679,NaN,NaN,NaN,NaN,-2.46,0.65
18,1877,10,-1.404,2.048,-0.632,1.032,-1.240,0.680,NaN,NaN,NaN,NaN,-2.46,0.65
19,1877,11,1.446,2.053,-0.684,1.065,-1.208,0.678,NaN,NaN,NaN,NaN,-2.46,0.65
20,1877,12,0.800,2.111,-0.657,1.069,-1.181,0.676,NaN,NaN,NaN,NaN,-2.46,0.65
21,1878,1,-1.353,2.246,-0.656,1.078,-1.185,0.680,NaN,NaN,NaN,NaN,-2.46,0.65
22,1878,2,-0.141,2.628,-0.622,1.035,-1.163,0.683,NaN,NaN,NaN,NaN,-2.46,0.65
23,1878,3,-0.257,2.376,-0.602,1.081,-1.157,0.703,NaN,NaN,NaN,NaN,-2.46,0.65
24,1878,4,-0.722,2.313,-0.581,1.132,-1.139,0.704,NaN,NaN,NaN,NaN,-2.46,0.65
25,1878,5,-1.894,2.280,-0.915,1.196,-1.125,0.712,NaN,NaN,NaN,NaN,-2.46,0.65
26,1878,6,-1.464,2.560,-1.269,1.288,-1.113,0.721,NaN,NaN,NaN,NaN,-2.46,0.65
27,1878,7,-0.910,2.336,-1.294,1.287,-1.121,0.714,NaN,NaN,NaN,NaN,-2.46,0.65
28,1878,8,-0.457,2.041,-1.337,1.185,-1.103,0.708,NaN,NaN,NaN,NaN,-2.46,0.65
29,1878,9,-0.867,2.687,-1.374,1.102,-1.077,0.712,-1.152,0.451,NaN,NaN,-2.46,0.65
30,1878,10,-1.154,2.293,-1.361,1.049,-1.024,0.716,-1.157,0.450,NaN,NaN,-2.46,0.65
31,1878,11,-2.557,2.391,-1.272,1.041,-1.012,0.712,-1.155,0.455,NaN,NaN,-2.46,0.65
32,1878,12,-3.457,2.419,-1.170,0.948,-1.003,0.703,-1.149,0.466,NaN,NaN,-2.46,0.65
33,1879,1,-1.650,2.077,-1.171,0.918,-1.007,0.706,-1.135,0.466,NaN,NaN,-2.46,0.65
34,1879,2,-0.659,1.989,-1.170,0.929,-1.003,0.711,-1.133,0.474,NaN,NaN,-2.46,0.65
35,1879,3,-0.691,2.052,-1.219,0.896,-0.984,0.710,-1.132,0.477,NaN,NaN,-2.46,0.65
36,1879,4,-0.570,2.013,-1.295,0.917,-0.977,0.717,-1.122,0.482,NaN,NaN,-2.46,0.65
37,1879,5,-0.827,2.273,-1.349,0.920,-0.977,0.719,-1.120,0.488,NaN,NaN,-2.46,0.65
38,1879,6,-0.239,2.071,-1.350,0.859,-1.043,0.694,-1.122,0.498,NaN,NaN,-2.46,0.65
39,1879,7,-0.918,2.092,-1.324,0.839,-1.081,0.623,-1.116,0.503,NaN,NaN,-2.46,0.65
40,1879,8,-0.445,2.100,-1.410,0.881,-1.126,0.589,-1.115,0.506,NaN,NaN,-2.46,0.65
41,1879,9,-1.455,2.321,-1.296,0.860,-1.159,0.566,-1.123,0.511,NaN,NaN,-2.46,0.65
42,1879,10,-2.077,2.386,-1.277,0.863,-1.144,0.566,-1.132,0.508,NaN,NaN,-2.46,0.65
43,1879,11,-3.205,2.380,-1.223,0.827,-1.111,0.578,-1.145,0.501,NaN,NaN,-2.46,0.65
44,1879,12,-3.465,2.058,-1.159,0.806,-1.071,0.572,-1.145,0.506,NaN,NaN,-2.46,0.65
45,1880,1,-1.340,2.189,-1.174,0.809,-1.066,0.565,-1.134,0.502,NaN,NaN,-2.46,0.65
46,1880,2,-1.689,2.186,-1.185,0.799,-1.046,0.569,-1.146,0.501,NaN,NaN,-2.46,0.65
47,1880,3,0.678,2.218,-1.168,0.821,-1.043,0.570,-1.138,0.499,NaN,NaN,-2.46,0.65
48,1880,4,-0.346,2.046,-1.158,0.777,-1.056,0.561,-1.143,0.504,NaN,NaN,-2.46,0.65
49,1880,5,-0.180,2.087,-1.027,0.765,-1.097,0.550,-1.154,0.507,NaN,NaN,-2.46,0.65
50,1880,6,0.530,2.113,-0.878,0.802,-1.115,0.562,-1.162,0.512,NaN,NaN,-2.46,0.65
51,1880,7,-1.089,2.140,-0.875,0.766,-1.113,0.537,-1.169,0.514,NaN,NaN,-2.46,0.65
52,1880,8,-0.588,2.220,-0.760,0.753,-1.195,0.487,-1.159,0.517,NaN,NaN,-2.46,0.65
53,1880,9,-1.240,2.480,-0.838,0.804,-1.202,0.485,-1.157,0.525,NaN,NaN,-2.46,0.65
54,1880,10,-1.966,2.013,-0.723,0.853,-1.181,0.485,-1.144,0.524,NaN,NaN,-2.46,0.65
55,1880,11,-1.630,2.077,-0.738,0.843,-1.143,0.473,-1.133,0.524,NaN,NaN,-2.46,0.65
56,1880,12,-1.678,2.224,-0.849,0.850,-1.106,0.461,-1.114,0.522,NaN,NaN,-2.46,0.65
57,1881,1,-1.306,1.783,-0.819,0.830,-1.095,0.453,-1.098,0.521,NaN,NaN,-2.46,0.65
58,1881,2,-0.306,1.795,-0.777,0.805,-1.084,0.458,-1.105,0.518,NaN,NaN,-2.46,0.65
59,1881,3,-0.254,1.862,-0.698,0.763,-1.088,0.441,-1.097,0.516,-1.124,0.318,-2.46,0.65
60,1881,4,1.025,2.201,-0.610,0.794,-1.104,0.425,-1.100,0.512,-1.128,0.320,-2.46,0.65
61,1881,5,-0.354,1.583,-0.550,0.773,-1.083,0.419,-1.103,0.508,-1.130,0.323,-2.46,0.65
62,1881,6,-0.802,1.681,-0.890,0.604,-1.039,0.425,-1.102,0.501,-1.131,0.325,-2.46,0.65
63,1881,7,-0.734,1.551,-0.987,0.561,-0.998,0.419,-1.098,0.496,-1.136,0.326,-2.46,0.65
64,1881,8,-0.075,1.517,-1.341,0.699,-0.994,0.435,-1.099,0.499,-1.136,0.329,-2.46,0.65
65,1881,9,-0.298,1.811,-1.594,0.808,-1.009,0.438,-1.091,0.491,-1.133,0.330,-2.46,0.65
66,1881,10,-0.904,1.598,-1.726,0.812,-1.005,0.448,-1.098,0.489,-1.136,0.330,-2.46,0.65
67,1881,11,-0.911,1.656,-1.637,0.679,-0.998,0.448,-1.107,0.489,-1.127,0.329,-2.46,0.65
68,1881,12,-5.760,2.265,-1.522,0.654,-1.009,0.467,-1.089,0.490,-1.121,0.326,-2.46,0.65
69,1882,1,-2.474,6.586,-1.509,0.584,-0.998,0.468,-1.104,0.493,-1.128,0.320,-2.46,0.65
70,1882,2,-4.556,3.210,-1.479,0.538,-1.002,0.468,-1.098,0.489,-1.126,0.319,-2.46,0.65
71,1882,3,-3.281,2.266,-1.527,0.548,-1.006,0.467,-1.092,0.479,-1.128,0.317,-2.46,0.65
72,1882,4,-0.566,1.298,-1.634,0.646,-1.005,0.446,-1.084,0.473,-1.124,0.317,-2.46,0.65
73,1882,5,0.719,2.904,-1.643,0.758,-1.004,0.416,-1.071,0.467,-1.121,0.317,-2.46,0.65
74,1882,6,0.579,1.922,-1.185,0.647,-0.964,0.424,-1.063,0.465,-1.125,0.317,-2.46,0.65
75,1882,7,-0.578,2.030,-1.085,0.476,-0.964,0.417,-1.051,0.458,-1.123,0.319,-2.46,0.65
76,1882,8,0.283,2.044,-1.126,0.467,-0.995,0.415,-1.048,0.455,-1.121,0.321,-2.46,0.65
77,1882,9,-0.877,1.496,-0.910,0.528,-1.016,0.421,-1.057,0.464,-1.124,0.322,-2.46,0.65
78,1882,10,-2.180,1.606,-0.818,0.559,-1.046,0.426,-1.056,0.460,-1.125,0.322,-2.46,0.65
79,1882,11,-1.020,2.686,-0.844,0.492,-1.101,0.429,-1.085,0.460,-1.130,0.320,-2.46,0.65
80,1882,12,-0.272,1.886,-0.828,0.509,-1.144,0.436,-1.102,0.454,-1.131,0.319,-2.46,0.65
81,1883,1,-1.270,1.731,-0.801,0.505,-1.154,0.432,-1.085,0.455,-1.142,0.315,-2.46,0.65
82,1883,2,-5.049,4.489,-0.810,0.490,-1.155,0.430,-1.085,0.449,-1.159,0.309,-2.46,0.65
83,1883,3,-0.693,2.094,-0.827,0.485,-1.157,0.423,-1.075,0.447,-1.159,0.311,-2.46,0.65
84,1883,4,0.544,2.005,-0.823,0.485,-1.149,0.418,-1.071,0.439,-1.151,0.310,-2.46,0.65
85,1883,5,0.401,1.533,-0.847,0.581,-1.142,0.408,-1.051,0.434,-1.151,0.311,-2.46,0.65
86,1883,6,0.772,1.819,-0.891,0.700,-1.114,0.394,-1.042,0.427,-1.147,0.313,-2.46,0.65
87,1883,7,-0.247,2.686,-0.720,0.766,-1.075,0.399,-1.026,0.430,-1.144,0.313,-2.46,0.65
88,1883,8,0.177,1.537,-0.331,1.194,-1.106,0.399,-1.022,0.437,-1.144,0.314,-2.46,0.65
89,1883,9,-1.086,1.389,-0.405,1.090,-1.117,0.393,-1.028,0.426,-1.138,0.314,-2.46,0.65
90,1883,10,-2.127,1.406,-0.481,1.038,-1.177,0.383,-1.025,0.426,-1.143,0.312,-2.46,0.65
91,1883,11,-1.308,1.707,-0.549,1.054,-1.195,0.378,-1.006,0.425,-1.139,0.313,-2.46,0.65
92,1883,12,-0.802,3.118,-0.688,1.157,-1.202,0.374,-0.988,0.430,-1.125,0.314,-2.46,0.65
93,1884,1,0.779,1.343,-0.687,1.035,-1.188,0.363,-1.006,0.392,-1.134,0.309,-2.46,0.65
94,1884,2,-0.387,1.908,-0.759,1.016,-1.195,0.364,-1.008,0.382,-1.130,0.310,-2.46,0.65
95,1884,3,-1.574,1.270,-0.810,1.079,-1.198,0.354,-0.997,0.392,-1.125,0.315,-2.46,0.65
96,1884,4,-0.366,1.609,-0.802,1.023,-1.219,0.345,-0.986,0.397,-1.126,0.315,-2.46,0.65
97,1884,5,-0.416,1.547,-0.955,0.840,-1.236,0.351,-0.997,0.391,-1.131,0.316,-2.46,0.65
98,1884,6,-0.903,3.181,-0.975,0.724,-1.134,0.372,-0.987,0.389,-1.126,0.317,-2.46,0.65
99,1884,7,-0.227,1.206,-1.151,0.718,-1.127,0.455,-0.977,0.389,-1.119,0.319,-2.46,0.65
100,1884,8,-0.694,1.183,-1.416,0.711,-1.069,0.494,-0.975,0.382,-1.118,0.319,-2.46,0.65
101,1884,9,-1.689,1.514,-1.334,0.698,-1.024,0.511,-0.972,0.383,-1.116,0.319,-2.46,0.65
102,1884,10,-2.032,1.637,-1.482,0.750,-1.024,0.499,-0.986,0.376,-1.120,0.319,-2.46,0.65
