,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,-0.133,1.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
1,1840,2,-0.665,0.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
2,1840,3,-0.975,2.237,-0.788,0.651,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
3,1840,4,-1.163,1.306,-0.819,0.608,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
4,1840,5,-0.347,1.282,-0.730,0.606,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
5,1840,6,-0.516,1.168,-0.705,0.566,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
6,1840,7,-0.040,1.293,-0.743,0.588,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
7,1840,8,-0.583,1.438,-0.723,0.643,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
8,1840,9,-0.554,1.163,-0.712,0.635,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
9,1840,10,-1.278,1.071,-0.669,0.763,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
10,1840,11,-0.785,1.939,-0.675,0.783,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
11,1840,12,-1.420,1.218,-0.638,0.877,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
12,1841,1,-0.589,1.654,-0.601,0.951,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
13,1841,2,-0.428,1.822,-0.513,0.986,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
14,1841,3,-0.846,2.679,-0.509,1.012,-0.572,0.440,NaN,NaN,NaN,NaN,26.91,0.13
15,1841,4,-0.647,2.539,-0.391,1.053,-0.576,0.435,NaN,NaN,NaN,NaN,26.91,0.13
16,1841,5,-0.410,1.011,-0.365,1.141,-0.577,0.445,NaN,NaN,NaN,NaN,26.91,0.13
17,1841,6,-0.073,1.156,-0.247,1.276,-0.575,0.434,NaN,NaN,NaN,NaN,26.91,0.13
18,1841,7,0.400,1.101,-0.190,1.295,-0.591,0.423,NaN,NaN,NaN,NaN,26.91,0.13
19,1841,8,0.471,1.749,-0.121,1.367,-0.614,0.429,NaN,NaN,NaN,NaN,26.91,0.13
20,1841,9,-0.501,1.305,-0.062,1.129,-0.572,0.425,NaN,NaN,NaN,NaN,26.91,0.13
21,1841,10,0.131,1.536,-0.065,0.951,-0.576,0.428,NaN,NaN,NaN,NaN,26.91,0.13
22,1841,11,-0.469,2.184,-0.101,0.896,-0.574,0.432,NaN,NaN,NaN,NaN,26.91,0.13
23,1841,12,-0.008,2.414,-0.145,0.907,-0.576,0.431,NaN,NaN,NaN,NaN,26.91,0.13
24,1842,1,0.096,2.137,-0.246,0.874,-0.588,0.425,NaN,NaN,NaN,NaN,26.91,0.13
25,1842,2,0.408,1.735,-0.330,0.808,-0.607,0.414,NaN,NaN,NaN,NaN,26.91,0.13
26,1842,3,-0.148,1.185,-0.356,0.780,-0.613,0.409,NaN,NaN,NaN,NaN,26.91,0.13
27,1842,4,-0.681,1.301,-0.467,0.691,-0.619,0.402,NaN,NaN,NaN,NaN,26.91,0.13
28,1842,5,-0.835,0.998,-0.538,0.583,-0.623,0.396,NaN,NaN,NaN,NaN,26.91,0.13
29,1842,6,-0.604,1.599,-0.559,0.502,-0.616,0.404,NaN,NaN,NaN,NaN,26.91,0.13
30,1842,7,-0.812,1.172,-0.546,0.524,-0.631,0.392,NaN,NaN,NaN,NaN,26.91,0.13
31,1842,8,-0.539,1.049,-0.581,0.624,-0.631,0.424,-0.790,0.338,NaN,NaN,26.91,0.13
32,1842,9,-0.816,1.068,-0.620,0.626,-0.635,0.406,-0.790,0.339,NaN,NaN,26.91,0.13
33,1842,10,-1.194,0.977,-0.621,0.587,-0.650,0.391,-0.791,0.341,NaN,NaN,26.91,0.13
34,1842,11,-1.328,1.201,-0.610,0.563,-0.666,0.379,-0.785,0.340,NaN,NaN,26.91,0.13
35,1842,12,-0.252,1.381,-0.584,0.499,-0.674,0.378,-0.789,0.341,NaN,NaN,26.91,0.13
36,1843,1,0.244,1.168,-0.555,0.464,-0.678,0.384,-0.783,0.342,NaN,NaN,26.91,0.13
37,1843,2,-0.001,1.968,-0.544,0.451,-0.686,0.365,-0.768,0.344,NaN,NaN,26.91,0.13
38,1843,3,-0.616,1.147,-0.540,0.451,-0.691,0.362,-0.760,0.340,NaN,NaN,26.91,0.13
39,1843,4,-0.703,1.138,-0.508,0.445,-0.705,0.338,-0.760,0.335,NaN,NaN,26.91,0.13
40,1843,5,-0.694,1.715,-0.465,0.438,-0.724,0.329,-0.755,0.332,NaN,NaN,26.91,0.13
41,1843,6,-0.293,1.538,-0.503,0.419,-0.726,0.337,-0.754,0.332,NaN,NaN,26.91,0.13
42,1843,7,-0.470,0.887,-0.616,0.429,-0.712,0.344,-0.754,0.333,NaN,NaN,26.91,0.13
43,1843,8,-0.411,1.078,-0.704,0.450,-0.716,0.326,-0.758,0.331,NaN,NaN,26.91,0.13
44,1843,9,-0.758,0.942,-0.656,0.489,-0.702,0.319,-0.760,0.327,NaN,NaN,26.91,0.13
45,1843,10,-0.813,1.100,-0.680,0.526,-0.705,0.313,-0.762,0.327,NaN,NaN,26.91,0.13
46,1843,11,-0.807,1.376,-0.684,0.528,-0.707,0.316,-0.765,0.328,NaN,NaN,26.91,0.13
47,1843,12,-0.718,2.386,-0.718,0.494,-0.712,0.320,-0.771,0.330,NaN,NaN,26.91,0.13
48,1844,1,-1.108,1.882,-0.748,0.482,-0.723,0.328,-0.777,0.327,NaN,NaN,26.91,0.13
49,1844,2,-1.055,1.132,-0.821,0.475,-0.737,0.337,-0.788,0.327,NaN,NaN,26.91,0.13
50,1844,3,-0.046,1.678,-0.874,0.486,-0.744,0.344,-0.768,0.326,NaN,NaN,26.91,0.13
51,1844,4,-0.982,1.197,-0.910,0.519,-0.767,0.367,-0.773,0.325,NaN,NaN,26.91,0.13
52,1844,5,-0.750,1.467,-1.017,0.540,-0.789,0.400,-0.776,0.324,NaN,NaN,26.91,0.13
53,1844,6,-0.702,0.884,-1.065,0.435,-0.803,0.413,-0.776,0.325,NaN,NaN,26.91,0.13
54,1844,7,-0.827,0.987,-1.060,0.451,-0.817,0.443,-0.776,0.326,NaN,NaN,26.91,0.13
55,1844,8,-1.281,1.101,-1.029,0.478,-0.834,0.468,-0.779,0.325,NaN,NaN,26.91,0.13
56,1844,9,-1.397,1.094,-1.124,0.492,-0.855,0.458,-0.778,0.324,NaN,NaN,26.91,0.13
57,1844,10,-1.243,1.361,-1.214,0.597,-0.866,0.467,-0.775,0.319,NaN,NaN,26.91,0.13
58,1844,11,-2.093,1.137,-1.260,0.675,-0.874,0.471,-0.763,0.322,NaN,NaN,26.91,0.13
59,1844,12,-1.291,1.619,-1.287,0.700,-0.878,0.478,-0.765,0.318,NaN,NaN,26.91,0.13
60,1845,1,-1.052,2.342,-1.239,0.676,-0.871,0.481,-0.776,0.312,NaN,NaN,26.91,0.13
61,1845,2,-0.680,2.405,-1.223,0.728,-0.878,0.491,-0.775,0.317,NaN,NaN,26.91,0.13
62,1845,3,-1.196,1.031,-1.177,0.710,-0.882,0.511,-0.773,0.321,NaN,NaN,26.91,0.13
63,1845,4,-2.059,2.404,-1.249,0.693,-0.888,0.530,-0.772,0.318,NaN,NaN,26.91,0.13
64,1845,5,-1.294,1.199,-1.235,0.761,-0.882,0.532,NaN,NaN,NaN,NaN,26.91,0.13
65,1845,6,-1.031,1.149,-1.255,0.783,-0.901,0.507,NaN,NaN,NaN,NaN,26.91,0.13
66,1845,7,NaN,NaN,-1.147,0.807,-0.938,0.508,NaN,NaN,NaN,NaN,26.91,0.13
67,1845,8,-1.091,1.517,-1.148,0.964,-0.935,0.492,NaN,NaN,NaN,NaN,26.91,0.13
68,1845,9,NaN,NaN,-1.046,1.030,-0.937,0.493,NaN,NaN,NaN,NaN,26.91,0.13
69,1845,10,-2.108,1.722,-0.943,0.920,-0.940,0.503,NaN,NaN,NaN,NaN,26.91,0.13
70,1845,11,-1.923,1.954,-0.879,0.899,-0.941,0.519,NaN,NaN,NaN,NaN,26.91,0.13
71,1845,12,-1.528,1.683,-0.825,0.924,-0.943,0.537,NaN,NaN,NaN,NaN,26.91,0.13
72,1846,1,0.237,3.602,-0.825,1.001,-0.937,0.537,NaN,NaN,NaN,NaN,26.91,0.13
73,1846,2,-0.684,2.053,-0.769,0.965,-0.943,0.547,NaN,NaN,NaN,NaN,26.91,0.13
74,1846,3,0.018,1.746,-0.774,0.960,-0.948,0.554,NaN,NaN,NaN,NaN,26.91,0.13
75,1846,4,-0.812,1.710,-0.702,0.976,-0.948,0.555,NaN,NaN,NaN,NaN,26.91,0.13
76,1846,5,-0.532,0.953,-0.689,1.021,-0.953,0.567,NaN,NaN,NaN,NaN,26.91,0.13
77,1846,6,-0.386,1.392,-0.632,1.083,-0.967,0.548,NaN,NaN,NaN,NaN,26.91,0.13
78,1846,7,-0.250,1.622,-0.715,1.007,-0.963,0.530,NaN,NaN,NaN,NaN,26.91,0.13
79,1846,8,-0.415,1.218,-0.708,0.978,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
80,1846,9,-0.907,1.311,-0.829,0.924,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
81,1846,10,-1.244,1.750,-0.874,1.015,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
82,1846,11,-1.766,1.922,-0.939,1.056,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
83,1846,12,-0.840,1.645,-0.974,1.034,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
84,1847,1,-0.766,2.255,-0.985,0.956,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
85,1847,2,-0.598,1.687,-1.031,0.929,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
86,1847,3,-1.437,1.791,-1.043,0.925,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
87,1847,4,-1.348,1.859,-1.070,1.033,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
88,1847,5,-1.313,1.235,-1.007,0.959,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
89,1847,6,-0.803,0.989,-1.048,0.779,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
90,1847,7,-0.388,1.207,-1.153,0.701,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
91,1847,8,-0.965,1.064,-1.086,0.670,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
92,1847,9,-1.052,1.326,-1.030,0.712,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
93,1847,10,-1.569,1.799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
94,1847,11,-1.005,1.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
95,1847,12,-1.338,1.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
96,1848,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
97,1848,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
98,1848,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
99,1848,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
100,1848,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
101,1848,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
102,1848,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
103,1848,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
104,1848,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
105,1848,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
106,1848,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
107,1848,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
108,1849,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
109,1849,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
110,1849,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
111,1849,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
112,1849,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
113,1849,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
114,1849,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
115,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
116,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
117,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
118,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
119,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
120,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
121,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
122,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
123,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
124,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
125,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
126,1850,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
127,1850,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
128,1850,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
129,1850,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
130,1850,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
131,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
132,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
133,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
134,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
135,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
136,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
137,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
138,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
139,1851,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
140,1851,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
141,1851,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
142,1851,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
143,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
144,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
145,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
146,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
147,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
148,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
149,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
150,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
151,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
152,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
153,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
154,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
155,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91,0.13
