,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1910,1,-1.238,0.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
1,1910,2,-1.548,0.787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
2,1910,3,-1.343,0.589,-0.924,0.344,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
3,1910,4,-1.133,0.382,-0.973,0.356,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
4,1910,5,-0.981,0.417,-0.997,0.352,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
5,1910,6,-0.688,0.781,-1.010,0.338,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
6,1910,7,-1.098,0.680,-0.998,0.317,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
7,1910,8,-0.799,0.564,-0.933,0.285,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
8,1910,9,-0.464,0.774,-0.900,0.264,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
9,1910,10,-1.112,0.593,-0.855,0.264,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
10,1910,11,-0.801,0.782,-0.848,0.280,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
11,1910,12,-0.918,0.421,-0.831,0.245,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
12,1911,1,-1.092,0.592,-0.789,0.243,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
13,1911,2,-0.762,0.604,-0.741,0.247,NaN,NaN,NaN,NaN,NaN,NaN,24.48,2.70
14,1911,3,-0.955,0.510,-0.702,0.276,-0.772,0.181,NaN,NaN,NaN,NaN,24.48,2.70
15,1911,4,-0.586,0.486,-0.646,0.289,-0.770,0.180,NaN,NaN,NaN,NaN,24.48,2.70
16,1911,5,-0.905,0.626,-0.623,0.226,-0.755,0.177,NaN,NaN,NaN,NaN,24.48,2.70
17,1911,6,-0.480,0.344,-0.620,0.205,-0.739,0.174,NaN,NaN,NaN,NaN,24.48,2.70
18,1911,7,-0.598,0.473,-0.568,0.203,-0.716,0.165,NaN,NaN,NaN,NaN,24.48,2.70
