,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.602,1.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
1,1852,6,-0.677,1.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
2,1852,7,-0.818,1.443,-0.626,1.158,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
3,1852,8,-0.839,1.291,-0.683,1.113,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
4,1852,9,-0.693,1.367,-0.656,1.033,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
5,1852,10,-0.542,2.576,-0.523,1.001,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
6,1852,11,-0.729,2.514,-0.502,0.932,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
7,1852,12,-0.476,3.061,-0.477,0.834,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
8,1853,1,0.566,1.842,-0.457,0.791,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
9,1853,2,-0.668,1.349,-0.474,0.762,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
10,1853,3,-0.318,1.194,-0.470,0.790,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
11,1853,4,-0.484,1.348,-0.473,0.931,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
12,1853,5,-0.342,1.375,-0.434,0.938,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
13,1853,6,-0.377,1.576,-0.395,1.077,NaN,NaN,NaN,NaN,NaN,NaN,24.15,3.21
14,1853,7,-0.584,1.196,-0.420,1.106,-0.413,0.905,NaN,NaN,NaN,NaN,24.15,3.21
15,1853,8,-1.038,0.867,-0.417,1.380,-0.418,0.948,NaN,NaN,NaN,NaN,24.15,3.21
16,1853,9,-0.643,1.221,-0.427,1.496,-0.419,0.973,NaN,NaN,NaN,NaN,24.15,3.21
17,1853,10,-0.578,3.004,-0.480,1.416,-0.428,0.972,NaN,NaN,NaN,NaN,24.15,3.21
18,1853,11,-0.264,1.922,-0.479,1.459,-0.425,0.980,NaN,NaN,NaN,NaN,24.15,3.21
19,1853,12,-0.006,1.833,-0.460,1.503,-0.430,0.985,NaN,NaN,NaN,NaN,24.15,3.21
20,1854,1,0.266,1.851,-0.424,1.415,-0.436,0.976,NaN,NaN,NaN,NaN,24.15,3.21
21,1854,2,-0.637,3.077,-0.358,1.469,-0.435,1.002,NaN,NaN,NaN,NaN,24.15,3.21
22,1854,3,-0.442,2.434,-0.324,1.465,-0.447,1.018,NaN,NaN,NaN,NaN,24.15,3.21
23,1854,4,-1.114,0.643,-0.294,1.262,-0.448,1.035,NaN,NaN,NaN,NaN,24.15,3.21
24,1854,5,-0.332,2.060,-0.349,1.112,-0.454,1.024,NaN,NaN,NaN,NaN,24.15,3.21
25,1854,6,-0.151,1.399,-0.382,1.081,-0.471,0.993,NaN,NaN,NaN,NaN,24.15,3.21
26,1854,7,-0.147,0.815,-0.366,0.929,-0.483,1.028,NaN,NaN,NaN,NaN,24.15,3.21
27,1854,8,-0.246,1.603,-0.331,0.899,-0.483,0.996,NaN,NaN,NaN,NaN,24.15,3.21
28,1854,9,-0.240,1.233,-0.317,0.808,-0.481,1.008,NaN,NaN,NaN,NaN,24.15,3.21
29,1854,10,-0.213,1.004,-0.296,0.882,-0.467,1.025,-0.544,0.844,NaN,NaN,24.15,3.21
30,1854,11,-0.927,1.124,-0.292,0.824,-0.473,1.030,-0.558,0.854,NaN,NaN,24.15,3.21
31,1854,12,-0.395,1.844,-0.313,0.732,-0.478,1.045,-0.562,0.860,NaN,NaN,24.15,3.21
32,1855,1,0.455,1.336,-0.341,0.662,-0.481,1.036,-0.558,0.857,NaN,NaN,24.15,3.21
33,1855,2,-0.216,3.152,-0.342,0.671,-0.487,1.050,-0.559,0.856,NaN,NaN,24.15,3.21
34,1855,3,-0.271,2.164,-0.374,0.639,-0.491,1.059,-0.558,0.845,NaN,NaN,24.15,3.21
35,1855,4,-0.866,1.118,-0.398,0.731,-0.496,1.040,-0.557,0.842,NaN,NaN,24.15,3.21
36,1855,5,-0.287,1.095,-0.339,0.847,-0.502,1.044,-0.557,0.823,NaN,NaN,24.15,3.21
37,1855,6,-0.404,0.929,-0.315,0.801,-0.503,1.059,-0.561,0.812,NaN,NaN,24.15,3.21
38,1855,7,-0.478,1.206,-0.297,0.964,-0.522,1.037,-0.563,0.816,NaN,NaN,24.15,3.21
39,1855,8,-0.256,2.010,-0.288,1.059,-0.519,1.035,-0.564,0.810,NaN,NaN,24.15,3.21
40,1855,9,-0.633,0.765,-0.313,1.232,-0.531,1.028,-0.566,0.798,NaN,NaN,24.15,3.21
41,1855,10,-0.495,1.854,-0.296,1.231,-0.543,1.014,-0.568,0.781,NaN,NaN,24.15,3.21
42,1855,11,-0.218,2.040,-0.314,1.241,-0.548,1.014,-0.572,0.765,NaN,NaN,24.15,3.21
43,1855,12,-0.107,1.387,-0.355,1.369,-0.558,1.014,-0.578,0.738,NaN,NaN,24.15,3.21
44,1856,1,0.668,2.006,-0.388,1.491,-0.561,1.006,-0.588,0.736,NaN,NaN,24.15,3.21
45,1856,2,-0.109,3.204,-0.451,1.560,-0.558,1.001,-0.595,0.736,NaN,NaN,24.15,3.21
46,1856,3,-0.571,2.870,-0.459,1.709,-0.559,0.986,-0.600,0.737,NaN,NaN,24.15,3.21
47,1856,4,-0.663,1.015,-0.442,1.700,-0.559,0.954,-0.606,0.735,NaN,NaN,24.15,3.21
48,1856,5,-0.504,1.067,-0.507,1.601,-0.571,0.932,-0.609,0.737,NaN,NaN,24.15,3.21
49,1856,6,-0.898,2.096,-0.569,1.544,-0.589,0.915,-0.608,0.726,NaN,NaN,24.15,3.21
50,1856,7,-0.865,1.218,-0.705,1.626,-0.604,0.891,-0.607,0.719,NaN,NaN,24.15,3.21
51,1856,8,-1.011,2.760,-0.696,1.356,-0.604,0.864,-0.604,0.714,NaN,NaN,24.15,3.21
52,1856,9,-0.738,2.643,-0.694,1.324,-0.622,0.828,-0.610,0.710,NaN,NaN,24.15,3.21
