,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1819,7,-0.650,2.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
1,1819,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
2,1819,9,0.304,2.130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
3,1819,10,-0.985,2.200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
4,1819,11,-2.289,2.367,-0.926,0.831,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
5,1819,12,-0.916,2.315,-0.886,0.843,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
6,1820,1,-3.435,3.142,-0.819,0.897,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
7,1820,2,-0.509,2.904,-0.779,0.919,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
8,1820,3,-0.469,2.142,-0.838,0.980,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
9,1820,4,0.478,2.233,-0.874,0.956,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
10,1820,5,0.053,1.646,-0.874,0.911,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
11,1820,6,-0.267,1.636,-1.025,0.769,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
12,1820,7,0.161,2.262,-0.757,0.636,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
13,1820,8,-1.473,2.117,-0.714,0.576,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
14,1820,9,-0.409,2.033,-0.698,0.604,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
15,1820,10,-1.413,2.002,-0.724,0.552,NaN,NaN,NaN,NaN,NaN,NaN,12.18,0.21
16,1820,11,-2.288,1.617,-0.717,0.536,-1.030,0.306,NaN,NaN,NaN,NaN,12.18,0.21
17,1820,12,-2.734,2.152,-0.737,0.582,-1.042,0.298,NaN,NaN,NaN,NaN,12.18,0.21
18,1821,1,-0.208,2.046,-0.784,0.633,-1.016,0.286,NaN,NaN,NaN,NaN,12.18,0.21
19,1821,2,-0.003,2.485,-0.714,0.610,-1.015,0.283,NaN,NaN,NaN,NaN,12.18,0.21
20,1821,3,-0.272,2.479,-0.840,0.650,-1.001,0.277,NaN,NaN,NaN,NaN,12.18,0.21
21,1821,4,0.168,1.987,-0.913,0.654,-0.977,0.260,NaN,NaN,NaN,NaN,12.18,0.21
22,1821,5,0.134,2.572,-0.917,0.694,-0.997,0.263,NaN,NaN,NaN,NaN,12.18,0.21
23,1821,6,-0.506,2.582,-0.796,0.673,-1.007,0.262,NaN,NaN,NaN,NaN,12.18,0.21
24,1821,7,-0.408,2.627,-0.877,0.755,-0.980,0.256,NaN,NaN,NaN,NaN,12.18,0.21
25,1821,8,-0.636,2.065,-0.896,0.819,-0.970,0.262,NaN,NaN,NaN,NaN,12.18,0.21
26,1821,9,NaN,NaN,-0.731,0.885,-0.925,0.248,NaN,NaN,NaN,NaN,12.18,0.21
27,1821,10,-2.281,2.348,-0.858,0.926,-0.895,0.252,NaN,NaN,NaN,NaN,12.18,0.21
28,1821,11,-2.341,2.649,-0.987,0.960,-0.878,0.254,NaN,NaN,NaN,NaN,12.18,0.21
29,1821,12,-1.273,1.702,-0.959,0.955,-0.864,0.249,NaN,NaN,NaN,NaN,12.18,0.21
30,1822,1,-1.186,2.607,-0.993,1.044,-0.854,0.255,NaN,NaN,NaN,NaN,12.18,0.21
31,1822,2,-0.233,2.249,-1.017,1.115,-0.846,0.256,NaN,NaN,NaN,NaN,12.18,0.21
