,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1872,12,0.972,3.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
1,1873,1,-0.541,2.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
2,1873,2,0.287,2.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
3,1873,3,-0.089,1.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
4,1873,4,0.972,2.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
5,1873,5,-0.494,1.916,-0.164,0.852,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
6,1873,6,-0.410,2.472,-0.184,0.815,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
7,1873,7,0.677,2.099,-0.278,0.789,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
8,1873,8,-1.226,1.853,-0.397,0.785,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
9,1873,9,-0.490,2.023,-0.564,0.792,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
10,1873,10,-1.102,1.957,-0.616,0.807,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
11,1873,11,-0.523,2.300,-0.618,0.822,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
12,1873,12,0.730,2.590,-0.551,0.865,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
13,1874,1,-1.672,2.242,-0.663,0.818,NaN,NaN,NaN,NaN,NaN,NaN,17.12,0.28
14,1874,2,-1.141,1.904,-0.632,0.832,-0.316,0.464,NaN,NaN,NaN,NaN,17.12,0.28
15,1874,3,-2.087,2.217,-0.606,0.835,-0.299,0.473,NaN,NaN,NaN,NaN,17.12,0.28
16,1874,4,0.345,3.067,-0.534,0.803,-0.286,0.490,NaN,NaN,NaN,NaN,17.12,0.28
17,1874,5,-0.522,2.175,-0.619,0.793,-0.275,0.505,NaN,NaN,NaN,NaN,17.12,0.28
18,1874,6,0.397,2.122,-0.648,0.813,-0.246,0.509,NaN,NaN,NaN,NaN,17.12,0.28
19,1874,7,-0.665,1.965,-0.580,0.825,-0.238,0.495,NaN,NaN,NaN,NaN,17.12,0.28
20,1874,8,-0.860,1.906,-0.591,0.806,-0.244,0.475,NaN,NaN,NaN,NaN,17.12,0.28
21,1874,9,-0.172,1.975,-0.307,0.846,-0.251,0.469,NaN,NaN,NaN,NaN,17.12,0.28
22,1874,10,-0.235,2.269,-0.358,0.835,-0.239,0.487,NaN,NaN,NaN,NaN,17.12,0.28
23,1874,11,-1.548,1.889,-0.301,0.880,-0.241,0.510,NaN,NaN,NaN,NaN,17.12,0.28
24,1874,12,0.386,2.296,-0.414,0.886,-0.242,0.499,NaN,NaN,NaN,NaN,17.12,0.28
25,1875,1,-0.861,2.094,-0.302,0.934,-0.233,0.482,NaN,NaN,NaN,NaN,17.12,0.28
26,1875,2,-1.266,1.388,-0.279,0.974,-0.233,0.459,NaN,NaN,NaN,NaN,17.12,0.28
27,1875,3,1.312,2.120,-0.267,1.018,-0.234,0.455,NaN,NaN,NaN,NaN,17.12,0.28
28,1875,4,-0.268,2.147,-0.296,1.105,-0.240,0.463,NaN,NaN,NaN,NaN,17.12,0.28
29,1875,5,0.166,2.213,-0.240,1.154,-0.263,0.452,-0.370,0.320,NaN,NaN,17.12,0.28
30,1875,6,-0.956,2.733,-0.323,1.125,-0.302,0.417,-0.390,0.320,NaN,NaN,17.12,0.28
31,1875,7,0.676,2.031,-0.433,1.029,-0.335,0.403,-0.400,0.321,NaN,NaN,17.12,0.28
32,1875,8,-0.578,1.873,-0.321,1.001,-0.363,0.386,-0.407,0.321,NaN,NaN,17.12,0.28
33,1875,9,-0.033,1.737,-0.365,0.991,-0.356,0.378,-0.408,0.325,NaN,NaN,17.12,0.28
34,1875,10,-0.581,1.995,-0.334,0.902,-0.383,0.377,-0.403,0.331,NaN,NaN,17.12,0.28
35,1875,11,-0.878,1.990,-0.316,0.859,-0.386,0.390,-0.416,0.333,NaN,NaN,17.12,0.28
36,1875,12,-0.608,1.757,-0.369,0.841,-0.386,0.394,-0.432,0.330,NaN,NaN,17.12,0.28
37,1876,1,-2.185,2.257,-0.372,0.808,-0.407,0.394,-0.436,0.331,NaN,NaN,17.12,0.28
38,1876,2,0.080,1.389,-0.269,0.772,-0.412,0.399,-0.431,0.329,NaN,NaN,17.12,0.28
39,1876,3,0.790,2.518,-0.171,0.758,-0.405,0.408,-0.457,0.328,NaN,NaN,17.12,0.28
40,1876,4,0.099,1.344,-0.094,0.800,-0.398,0.417,-0.471,0.331,NaN,NaN,17.12,0.28
41,1876,5,0.380,1.588,-0.128,0.739,-0.421,0.404,-0.480,0.334,NaN,NaN,17.12,0.28
42,1876,6,-1.589,2.238,-0.072,0.707,-0.463,0.397,-0.489,0.332,NaN,NaN,17.12,0.28
43,1876,7,0.640,2.338,0.138,0.735,-0.440,0.399,-0.494,0.331,NaN,NaN,17.12,0.28
44,1876,8,0.654,1.492,0.091,0.658,-0.397,0.400,-0.492,0.331,NaN,NaN,17.12,0.28
45,1876,9,1.142,2.178,0.017,0.617,-0.377,0.410,-0.494,0.329,NaN,NaN,17.12,0.28
46,1876,10,0.344,2.325,0.097,0.716,-0.408,0.405,-0.501,0.333,NaN,NaN,17.12,0.28
47,1876,11,-1.285,1.770,0.035,0.742,-0.418,0.403,-0.490,0.333,NaN,NaN,17.12,0.28
48,1876,12,0.072,1.714,0.202,0.812,-0.440,0.401,-0.491,0.331,NaN,NaN,17.12,0.28
49,1877,1,0.327,1.609,0.190,0.776,-0.425,0.400,-0.480,0.334,NaN,NaN,17.12,0.28
50,1877,2,-0.483,2.414,0.072,0.656,-0.410,0.394,-0.483,0.331,NaN,NaN,17.12,0.28
51,1877,3,-0.102,1.407,-0.024,0.631,-0.418,0.385,-0.495,0.334,NaN,NaN,17.12,0.28
52,1877,4,1.067,2.584,-0.095,0.621,-0.452,0.379,-0.503,0.329,NaN,NaN,17.12,0.28
53,1877,5,-0.368,2.636,-0.164,0.633,-0.448,0.380,-0.512,0.331,NaN,NaN,17.12,0.28
54,1877,6,0.410,2.032,-0.282,0.764,-0.440,0.374,-0.534,0.330,NaN,NaN,17.12,0.28
55,1877,7,0.502,2.060,-0.523,0.805,-0.452,0.346,-0.550,0.329,NaN,NaN,17.12,0.28
56,1877,8,-0.761,2.975,-0.597,0.795,-0.427,0.356,-0.560,0.327,NaN,NaN,17.12,0.28
57,1877,9,-0.012,1.377,-0.562,0.686,-0.441,0.337,-0.568,0.328,NaN,NaN,17.12,0.28
58,1877,10,-0.505,1.914,-0.703,1.050,-0.454,0.330,-0.570,0.327,NaN,NaN,17.12,0.28
59,1877,11,-2.116,1.531,-0.729,1.170,-0.455,0.335,-0.581,0.324,-0.585,0.301,17.12,0.28
60,1877,12,-1.344,2.318,-0.796,1.107,-0.461,0.334,-0.607,0.318,-0.578,0.300,17.12,0.28
61,1878,1,-2.570,2.308,-0.888,0.937,-0.485,0.337,-0.609,0.315,-0.573,0.298,17.12,0.28
62,1878,2,-1.366,2.513,-0.954,0.727,-0.509,0.337,-0.622,0.317,-0.579,0.296,17.12,0.28
63,1878,3,0.322,1.476,-0.955,0.640,-0.512,0.338,-0.631,0.317,-0.578,0.294,17.12,0.28
64,1878,4,-0.631,3.102,-0.972,0.705,-0.504,0.350,-0.649,0.315,-0.577,0.291,17.12,0.28
65,1878,5,-0.676,1.564,-0.955,0.641,-0.515,0.357,-0.664,0.318,-0.576,0.292,17.12,0.28
66,1878,6,-0.396,1.180,-0.993,0.560,-0.552,0.363,-0.662,0.319,-0.581,0.291,17.12,0.28
67,1878,7,-0.597,1.689,-0.799,0.547,-0.535,0.361,-0.664,0.323,-0.583,0.287,17.12,0.28
68,1878,8,-1.560,1.248,-0.569,0.571,-0.544,0.365,-0.658,0.325,-0.579,0.285,17.12,0.28
69,1878,9,-0.020,1.333,-0.667,0.645,-0.605,0.377,-0.652,0.330,-0.580,0.281,17.12,0.28
