,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1858,1,0.833,2.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
1,1858,2,-0.268,2.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
2,1858,3,-0.326,1.907,-0.012,1.515,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
3,1858,4,-0.322,2.722,0.077,1.539,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
4,1858,5,-0.868,1.804,0.087,1.472,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
5,1858,6,0.261,2.279,-0.034,1.363,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
6,1858,7,-0.076,2.914,-0.144,1.261,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
7,1858,8,0.576,1.994,-0.159,1.286,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
8,1858,9,0.689,1.707,-0.246,1.284,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
9,1858,10,0.758,2.155,-0.263,1.284,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
10,1858,11,-0.830,1.865,-0.226,1.247,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
11,1858,12,-0.834,2.087,-0.268,1.240,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
12,1859,1,-0.492,2.020,-0.329,1.160,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
13,1859,2,-0.444,2.599,-0.392,1.161,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
14,1859,3,-1.371,2.140,-0.467,1.225,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
15,1859,4,-0.531,2.481,-0.542,1.162,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
16,1859,5,-0.414,2.215,-0.549,1.265,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
17,1859,6,-0.250,1.914,-0.605,1.400,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
18,1859,7,-0.806,2.479,-0.582,1.415,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
19,1859,8,-0.182,2.793,-0.567,1.243,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
20,1859,9,-0.209,2.076,-0.534,1.158,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
21,1859,10,-0.139,1.272,-0.625,1.124,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
22,1859,11,-0.913,1.912,-0.729,1.087,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
23,1859,12,-1.513,3.413,-0.744,1.042,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
24,1860,1,-0.211,2.006,-0.764,1.088,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
25,1860,2,-0.270,1.783,-0.744,1.088,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
26,1860,3,-0.967,1.882,-0.764,1.127,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
27,1860,4,-1.622,1.981,-0.787,1.171,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
28,1860,5,-1.663,2.045,-0.788,1.091,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
29,1860,6,-0.432,1.881,-0.731,0.972,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
30,1860,7,-1.046,2.664,-0.750,1.005,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
31,1860,8,0.058,2.147,-0.813,1.036,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
32,1860,9,NaN,NaN,-0.884,1.052,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
33,1860,10,-0.420,1.786,-0.947,1.009,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
34,1860,11,-0.919,1.529,-0.973,1.029,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
35,1860,12,-0.830,1.539,-0.971,1.034,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
36,1861,1,-0.443,1.947,-0.963,0.968,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
37,1861,2,NaN,NaN,-0.993,1.034,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
38,1861,3,-1.824,1.854,-0.937,1.071,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
39,1861,4,-2.372,1.955,-0.828,1.047,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
40,1861,5,-1.977,2.472,-0.775,1.039,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
41,1861,6,-0.410,1.940,-0.801,1.029,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
42,1861,7,-0.944,1.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
43,1861,8,-0.305,2.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
44,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
45,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.84,0.23
46,1861,11,-0.279,1.426,NaN,NaN,NaN,NaN,-0.587,0.777,NaN,NaN,28.84,0.23
47,1861,12,-1.151,1.872,NaN,NaN,NaN,NaN,-0.572,0.768,NaN,NaN,28.84,0.23
48,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.567,0.763,NaN,NaN,28.84,0.23
49,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.571,0.754,NaN,NaN,28.84,0.23
50,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,-0.569,0.761,NaN,NaN,28.84,0.23
51,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,-0.563,0.753,NaN,NaN,28.84,0.23
52,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,-0.550,0.740,NaN,NaN,28.84,0.23
53,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,-0.531,0.733,NaN,NaN,28.84,0.23
54,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.520,0.727,NaN,NaN,28.84,0.23
55,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,-0.516,0.722,NaN,NaN,28.84,0.23
56,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,-0.512,0.714,NaN,NaN,28.84,0.23
57,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,-0.505,0.705,NaN,NaN,28.84,0.23
58,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,-0.505,0.704,NaN,NaN,28.84,0.23
59,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.521,0.703,NaN,NaN,28.84,0.23
60,1863,1,-0.918,2.444,NaN,NaN,NaN,NaN,-0.526,0.685,NaN,NaN,28.84,0.23
61,1863,2,-0.404,1.565,NaN,NaN,NaN,NaN,-0.520,0.680,NaN,NaN,28.84,0.23
62,1863,3,-1.153,1.382,NaN,NaN,NaN,NaN,-0.522,0.678,NaN,NaN,28.84,0.23
63,1863,4,-1.259,2.950,NaN,NaN,NaN,NaN,-0.526,0.671,NaN,NaN,28.84,0.23
64,1863,5,-1.165,3.167,-0.922,1.325,NaN,NaN,-0.525,0.665,NaN,NaN,28.84,0.23
