,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,-0.447,1.140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
1,1849,2,-0.562,1.465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
2,1849,3,-0.169,1.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
3,1849,4,-1.173,0.930,-0.766,0.515,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
4,1849,5,-1.066,0.833,-0.731,0.582,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
5,1849,6,-0.673,0.876,-0.651,0.448,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
6,1849,7,-0.545,1.585,-0.687,0.438,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
7,1849,8,-0.618,0.834,-0.655,0.446,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
8,1849,9,-0.942,0.710,-0.663,0.436,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
9,1849,10,-0.497,0.846,-0.634,0.515,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
10,1849,11,-0.497,1.699,-0.631,0.511,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
11,1849,12,-0.627,2.376,-0.611,0.466,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
12,1850,1,-0.876,1.486,-0.611,0.408,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
13,1850,2,-0.179,1.696,-0.595,0.357,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
14,1850,3,-0.266,1.287,-0.568,0.326,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
15,1850,4,-0.827,1.104,-0.620,0.307,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
16,1850,5,-1.030,1.141,-0.659,0.277,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
17,1850,6,-0.429,0.766,-0.626,0.273,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
18,1850,7,-0.546,1.528,-0.567,0.315,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
19,1850,8,-0.426,1.163,-0.606,0.259,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
20,1850,9,-0.619,0.817,-0.645,0.273,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
21,1850,10,-1.120,0.908,-0.629,0.275,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
22,1850,11,-0.959,1.237,-0.592,0.296,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
23,1850,12,-0.237,0.922,-0.616,0.325,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
24,1851,1,-0.166,0.749,-0.597,0.304,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
25,1851,2,-0.648,1.132,-0.602,0.281,NaN,NaN,NaN,NaN,NaN,NaN,25.53,0.16
