,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.488,1.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
4,1857,7,-0.022,2.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
12,1858,3,-1.201,2.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
13,1858,4,0.206,1.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
14,1858,5,-0.341,1.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
15,1858,6,0.937,1.678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
17,1858,8,0.049,1.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
18,1858,9,0.383,1.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
21,1858,12,-1.419,2.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
22,1859,1,-0.757,2.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
23,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
24,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
25,1859,4,0.992,2.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
26,1859,5,1.376,1.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
27,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
28,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
29,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
30,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
31,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
32,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
33,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
34,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
35,1860,2,-0.484,2.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
36,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
37,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
38,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
39,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
40,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.80,0.35
