,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,0.203,2.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
1,1849,2,0.296,1.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
2,1849,3,0.320,1.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
3,1849,4,-1.012,2.069,-0.501,0.855,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
4,1849,5,-0.838,1.784,-0.422,0.738,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
5,1849,6,-1.072,1.570,-0.475,0.596,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
6,1849,7,-1.510,0.831,-0.474,0.550,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
7,1849,8,-1.271,1.327,-0.455,0.549,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
8,1849,9,-1.110,0.759,-0.480,0.640,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
9,1849,10,-0.329,0.887,-0.434,0.644,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
10,1849,11,0.304,2.336,-0.426,0.684,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
11,1849,12,0.314,1.889,-0.376,0.735,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
12,1850,1,0.219,2.053,-0.328,0.723,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
13,1850,2,0.526,1.924,-0.318,0.720,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
14,1850,3,0.021,2.177,-0.324,0.868,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
15,1850,4,-0.465,2.073,-0.352,0.962,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
16,1850,5,-0.746,1.915,-0.397,1.197,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
17,1850,6,-0.467,1.142,-0.379,1.354,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
18,1850,7,-0.938,1.467,-0.366,1.342,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
19,1850,8,-1.149,1.819,-0.369,1.318,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
20,1850,9,-1.184,2.634,-0.355,1.252,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
21,1850,10,-0.663,2.047,-0.301,1.175,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
22,1850,11,-0.234,1.743,-0.279,1.104,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
23,1850,12,0.535,3.938,-0.327,1.159,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
24,1851,1,0.374,0.964,-0.334,1.268,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
25,1851,2,0.485,1.685,-0.348,1.295,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
26,1851,3,0.196,1.121,-0.301,1.172,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
27,1851,4,0.185,1.275,-0.279,1.096,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
28,1851,5,-0.492,1.033,-0.297,1.087,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
29,1851,6,-1.039,1.951,-0.313,0.994,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
30,1851,7,-1.016,1.898,-0.369,1.041,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
31,1851,8,-1.321,1.822,-0.407,1.187,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
32,1851,9,-0.625,3.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
33,1851,10,-0.398,1.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
34,1851,11,-0.452,1.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
35,1851,12,0.348,3.320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
52,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
53,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
54,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
55,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
56,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
57,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
58,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
59,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
60,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.60,0.54
