,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1819,1,-2.826,3.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
1,1819,2,-1.604,3.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
2,1819,3,-1.214,5.484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
3,1819,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
4,1819,5,-0.143,2.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
5,1819,6,-0.889,3.064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
6,1819,7,-0.759,1.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
7,1819,8,-0.682,2.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
8,1819,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
9,1819,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
10,1819,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
11,1819,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
12,1820,1,-0.866,3.013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
13,1820,2,-0.106,1.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
14,1820,3,-1.338,2.174,-0.149,0.848,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
15,1820,4,0.158,2.361,-0.305,0.736,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
16,1820,5,1.277,1.553,-0.484,0.726,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
17,1820,6,-0.027,1.608,-0.516,0.657,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
18,1820,7,0.308,1.816,-0.395,0.513,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
19,1820,8,-1.095,2.318,-0.499,0.561,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
20,1820,9,0.341,2.059,-0.371,0.580,NaN,NaN,NaN,NaN,NaN,NaN,22.44,0.16
