,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1865,1,0.708,2.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
1,1865,2,-0.719,2.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
2,1865,3,0.634,1.718,0.036,0.846,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
3,1865,4,-1.460,1.818,0.124,0.814,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
4,1865,5,0.195,2.427,0.118,0.760,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
5,1865,6,0.153,1.820,0.031,0.747,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
6,1865,7,-0.315,2.247,-0.082,0.718,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
7,1865,8,0.356,2.332,-0.012,0.789,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
8,1865,9,-0.715,1.728,0.016,0.868,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
9,1865,10,1.657,1.990,0.173,0.946,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
10,1865,11,0.746,1.672,0.212,0.876,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
11,1865,12,-0.872,1.546,0.130,0.826,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
12,1866,1,-0.645,1.634,0.269,0.722,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
13,1866,2,0.121,1.620,0.214,0.658,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
14,1866,3,0.972,2.531,0.297,0.653,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
15,1866,4,0.428,2.038,0.182,0.652,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
16,1866,5,0.653,1.777,0.060,0.666,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
17,1866,6,-0.833,1.703,0.087,0.694,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
18,1866,7,1.364,2.020,0.181,0.771,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
19,1866,8,-0.309,1.681,0.100,0.755,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
20,1866,9,0.283,1.717,0.133,0.797,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
21,1866,10,0.279,1.729,0.095,0.760,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
22,1866,11,-0.722,1.598,0.059,0.769,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
23,1866,12,-0.550,1.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
24,1867,1,0.491,2.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
25,1867,2,-0.853,2.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
26,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
27,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
28,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
29,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
30,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
31,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
32,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
33,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
34,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
35,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
36,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
37,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
38,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.38,0.30
