,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1865,1,0.081,1.457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
1,1865,2,-0.612,1.883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
2,1865,3,0.090,1.624,-0.217,0.657,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
3,1865,4,-1.057,1.430,-0.200,0.662,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
4,1865,5,-0.223,1.350,-0.286,0.655,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
5,1865,6,-0.266,1.307,-0.401,0.592,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
6,1865,7,-0.284,1.916,-0.468,0.625,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
7,1865,8,-0.183,1.303,-0.457,0.607,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
8,1865,9,-0.763,1.359,-0.471,0.600,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
9,1865,10,0.414,1.195,-0.409,0.604,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
10,1865,11,-0.452,1.859,-0.390,0.623,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
11,1865,12,-1.556,1.426,-0.470,0.634,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
12,1866,1,-0.721,1.583,-0.458,0.610,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
13,1866,2,-0.481,1.638,-0.529,0.612,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
14,1866,3,-0.078,1.650,-0.517,0.659,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
15,1866,4,-0.312,1.575,-0.559,0.691,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
16,1866,5,-0.001,1.406,-0.566,0.721,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
17,1866,6,-1.223,1.470,-0.552,0.761,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
18,1866,7,-0.137,1.284,-0.515,0.698,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
19,1866,8,-1.043,1.356,-0.551,0.728,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
20,1866,9,-0.619,1.939,-0.545,0.727,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
21,1866,10,-0.080,1.455,-0.537,0.775,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
22,1866,11,-0.538,1.852,-0.559,0.819,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
23,1866,12,-1.393,1.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
24,1867,1,-0.276,1.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
25,1867,2,-0.908,1.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
26,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
27,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
28,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
29,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
30,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
31,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
32,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
33,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
34,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
35,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
36,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
37,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
38,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
39,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
40,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
41,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
42,1868,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
43,1868,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
44,1868,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
45,1868,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
46,1868,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
47,1868,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
48,1869,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
49,1869,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
50,1869,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
51,1869,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
52,1869,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
53,1869,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
54,1869,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
55,1869,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
56,1869,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
57,1869,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
58,1869,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
59,1869,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
60,1870,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
61,1870,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
62,1870,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
63,1870,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
64,1870,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
65,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
66,1870,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
67,1870,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
68,1870,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
69,1870,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
70,1870,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
71,1870,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
72,1871,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
73,1871,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
74,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
75,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
76,1871,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
77,1871,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
78,1871,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
79,1871,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
80,1871,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
81,1871,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
82,1871,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
83,1871,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
84,1872,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
85,1872,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
86,1872,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
87,1872,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
88,1872,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
89,1872,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
90,1872,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
91,1872,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
92,1872,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
93,1872,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
94,1872,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
95,1872,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
96,1873,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
97,1873,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
98,1873,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.28,0.25
