,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.635,2.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
1,1846,2,-0.287,1.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
2,1846,3,0.357,1.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
3,1846,4,0.136,0.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
4,1846,5,-0.091,1.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
5,1846,6,-0.294,1.263,-0.154,0.712,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
6,1846,7,-0.115,1.478,-0.192,0.527,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
7,1846,8,-0.118,1.010,-0.276,0.455,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
8,1846,9,-0.171,1.277,-0.454,0.463,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
9,1846,10,-0.904,1.607,-0.603,0.555,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
10,1846,11,-0.473,1.543,-0.660,0.686,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
11,1846,12,-0.518,1.677,-0.771,0.945,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
12,1847,1,0.168,1.847,-0.846,1.018,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
13,1847,2,-1.290,1.586,-0.918,1.116,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
14,1847,3,-1.774,1.088,-0.991,1.395,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
15,1847,4,-1.657,2.349,-1.016,1.468,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
16,1847,5,-0.771,1.845,-1.020,1.657,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
17,1847,6,-1.633,3.154,-0.995,1.593,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
18,1847,7,-1.013,0.990,-1.064,1.346,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
19,1847,8,-0.975,1.875,-0.958,1.137,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
20,1847,9,-1.046,3.112,-0.897,1.208,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
21,1847,10,-1.212,2.410,-0.802,1.043,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
22,1847,11,-0.514,1.453,-0.820,0.963,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
23,1847,12,-0.222,1.368,-0.756,0.777,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
24,1848,1,-0.663,2.079,-0.786,0.880,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
25,1848,2,-0.014,1.829,-0.759,0.742,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
26,1848,3,-1.040,1.923,-0.776,0.701,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
27,1848,4,-0.519,0.882,-0.749,0.663,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
28,1848,5,-0.994,1.360,-0.785,0.647,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
29,1848,6,-0.862,0.944,-0.754,0.700,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
30,1848,7,-1.374,1.788,-0.730,0.971,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
31,1848,8,-0.645,0.792,-0.763,1.286,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
32,1848,9,-1.253,2.560,-0.723,1.105,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
33,1848,10,-0.892,1.742,-0.842,1.239,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
34,1848,11,-0.944,1.191,-0.891,1.530,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
35,1848,12,0.157,2.065,-0.905,1.590,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
36,1849,1,-0.381,2.448,-0.918,1.359,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
37,1849,2,-0.409,2.907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
38,1849,3,-0.557,1.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
39,1849,4,-1.947,1.763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
40,1849,5,-1.586,3.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
41,1849,6,-1.031,1.460,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
42,1849,7,-1.523,1.570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
45,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
46,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
47,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
48,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
49,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
50,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
51,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
52,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
53,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
54,1850,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
55,1850,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
56,1850,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
57,1850,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
58,1850,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
59,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
60,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
61,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
62,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
63,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
64,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
65,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
66,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
67,1851,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
68,1851,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
69,1851,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
70,1851,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
71,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
72,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
73,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
74,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
75,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
76,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
77,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
78,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
79,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
80,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
81,1852,10,-0.718,1.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
82,1852,11,-0.990,3.865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
83,1852,12,-0.339,3.720,-0.797,1.180,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
84,1853,1,0.131,0.937,-0.723,1.186,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
85,1853,2,-0.576,1.066,-0.643,1.180,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
86,1853,3,-0.663,2.368,-0.600,1.104,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
87,1853,4,-0.203,2.995,-0.614,1.003,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
88,1853,5,-0.715,3.855,-0.518,0.905,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
89,1853,6,-0.768,0.721,-0.466,0.870,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
90,1853,7,-0.857,1.914,-0.469,0.927,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
91,1853,8,-0.812,0.988,-0.462,0.949,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
92,1853,9,-0.685,1.381,-0.457,0.984,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
93,1853,10,-0.891,1.476,-0.503,0.871,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
94,1853,11,0.163,2.092,-0.487,0.759,NaN,NaN,NaN,NaN,NaN,NaN,29.73,0.18
95,1853,12,0.289,0.999,-0.468,0.797,-0.626,0.659,NaN,NaN,NaN,NaN,29.73,0.18
96,1854,1,0.093,2.158,-0.445,0.825,-0.602,0.650,NaN,NaN,NaN,NaN,29.73,0.18
97,1854,2,-0.500,2.011,-0.415,0.822,-0.575,0.658,NaN,NaN,NaN,NaN,29.73,0.18
98,1854,3,-0.602,1.911,-0.390,1.058,-0.579,0.661,NaN,NaN,NaN,NaN,29.73,0.18
99,1854,4,-0.751,1.924,-0.322,1.257,-0.585,0.675,NaN,NaN,NaN,NaN,29.73,0.18
100,1854,5,-0.522,2.119,-0.381,1.191,-0.580,0.670,NaN,NaN,NaN,NaN,29.73,0.18
101,1854,6,-0.537,0.928,-0.405,1.123,-0.573,0.668,NaN,NaN,NaN,NaN,29.73,0.18
102,1854,7,-0.579,2.668,-0.404,1.002,-0.564,0.699,NaN,NaN,NaN,NaN,29.73,0.18
103,1854,8,-0.460,1.465,-0.397,0.947,-0.569,0.669,NaN,NaN,NaN,NaN,29.73,0.18
104,1854,9,-0.387,3.003,-0.376,0.883,-0.575,0.654,NaN,NaN,NaN,NaN,29.73,0.18
105,1854,10,-0.071,1.733,-0.336,0.866,-0.533,0.664,NaN,NaN,NaN,NaN,29.73,0.18
106,1854,11,-0.544,1.232,-0.359,0.726,-0.543,0.686,NaN,NaN,NaN,NaN,29.73,0.18
107,1854,12,-0.001,2.350,-0.379,0.651,-0.555,0.700,NaN,NaN,NaN,NaN,29.73,0.18
108,1855,1,0.110,1.590,-0.421,0.618,-0.545,0.705,NaN,NaN,NaN,NaN,29.73,0.18
109,1855,2,-0.422,3.857,-0.462,0.644,-0.530,0.697,NaN,NaN,NaN,NaN,29.73,0.18
110,1855,3,-0.350,1.523,-0.474,0.664,-0.525,0.691,-0.682,0.754,-0.652,0.658,29.73,0.18
111,1855,4,-0.268,1.590,-0.540,0.808,-0.521,0.687,-0.679,0.759,-0.653,0.658,29.73,0.18
112,1855,5,-0.797,1.128,-0.519,0.756,-0.526,0.715,-0.672,0.753,-0.648,0.656,29.73,0.18
113,1855,6,-0.774,1.467,-0.520,0.639,-0.532,0.722,-0.672,0.756,-0.645,0.654,29.73,0.18
114,1855,7,-1.087,1.597,-0.499,0.785,-0.538,0.722,-0.668,0.770,-0.645,0.654,29.73,0.18
115,1855,8,-0.953,2.037,-0.455,0.753,-0.540,0.727,-0.668,0.771,-0.646,0.656,29.73,0.18
116,1855,9,-0.529,1.312,-0.437,0.740,-0.546,0.739,-0.659,0.777,-0.645,0.648,29.73,0.18
117,1855,10,-0.862,1.871,-0.438,0.865,-0.553,0.741,-0.655,0.781,-0.644,0.652,29.73,0.18
118,1855,11,-0.299,1.089,-0.405,0.948,-0.555,0.725,-0.649,0.787,-0.646,0.653,29.73,0.18
119,1855,12,-0.011,1.335,-0.415,0.957,-0.565,0.737,-0.649,0.772,-0.642,0.656,29.73,0.18
120,1856,1,0.366,1.528,-0.389,0.997,-0.563,0.761,-0.658,0.787,-0.648,0.663,29.73,0.18
121,1856,2,0.104,1.609,-0.371,1.041,-0.558,0.783,-0.662,0.786,-0.652,0.667,29.73,0.18
122,1856,3,-0.136,2.050,-0.377,1.114,-0.549,0.784,-0.661,0.794,-0.660,0.670,29.73,0.18
123,1856,4,-0.279,1.951,-0.339,1.151,-0.540,0.808,-0.669,0.788,-0.658,0.673,29.73,0.18
124,1856,5,-0.405,1.944,-0.403,1.232,-0.560,0.792,-0.666,0.780,-0.660,0.679,29.73,0.18
125,1856,6,-0.893,1.632,-0.438,1.339,-0.573,0.793,-0.653,0.768,-0.661,0.684,29.73,0.18
126,1856,7,-0.776,1.625,-0.498,1.402,-0.578,0.798,-0.638,0.756,-0.653,0.686,29.73,0.18
127,1856,8,-0.736,1.229,-0.548,1.297,-0.577,0.825,-0.621,0.763,-0.656,0.685,29.73,0.18
128,1856,9,-0.602,1.876,-0.611,1.244,-0.585,0.832,-0.615,0.762,-0.657,0.691,29.73,0.18
129,1856,10,-0.402,1.963,-0.632,1.266,-0.586,0.853,-0.607,0.763,-0.658,0.687,29.73,0.18
130,1856,11,-1.066,1.327,-0.696,1.307,-0.583,0.864,-0.598,0.760,-0.660,0.690,29.73,0.18
131,1856,12,-0.428,2.095,-0.714,1.375,-0.589,0.891,-0.592,0.747,-0.661,0.687,29.73,0.18
132,1857,1,-0.355,2.647,-0.749,1.273,-0.598,0.938,-0.594,0.749,-0.664,0.684,29.73,0.18
133,1857,2,-0.504,3.211,-0.758,1.202,-0.603,0.956,-0.599,0.744,-0.662,0.680,29.73,0.18
134,1857,3,-0.887,1.621,-0.784,1.129,-0.595,0.994,-0.601,0.739,-0.656,0.683,29.73,0.18
135,1857,4,-0.531,2.192,-0.790,1.104,-0.604,1.019,-0.584,0.737,-0.651,0.674,29.73,0.18
136,1857,5,-1.175,2.550,-0.806,1.236,-0.617,1.033,-0.582,0.736,-0.647,0.671,29.73,0.18
137,1857,6,-1.109,2.879,-0.833,1.230,-0.635,1.042,-0.582,0.731,-0.639,0.661,29.73,0.18
138,1857,7,-1.189,3.093,-0.820,1.281,-0.636,1.076,-0.569,0.738,-0.635,0.664,29.73,0.18
