,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1796,1,0.511,3.411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
1,1796,2,0.319,2.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
2,1796,3,-1.091,1.908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
3,1796,4,-0.489,1.574,-0.258,1.946,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
4,1796,5,-0.065,0.782,-0.310,1.989,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
5,1796,6,-0.365,4.334,-0.469,1.731,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
6,1796,7,-0.850,2.814,-0.306,1.621,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
7,1796,8,-0.307,4.320,-0.069,1.438,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
8,1796,9,-0.417,3.073,0.013,1.463,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
9,1796,10,-0.486,1.446,0.000,1.364,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
10,1796,11,-0.825,2.703,-0.008,1.346,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
11,1796,12,-1.561,2.954,0.089,1.141,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
12,1797,1,NaN,NaN,0.129,0.918,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
13,1797,2,NaN,NaN,0.207,0.825,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
14,1797,3,-0.112,3.113,0.219,1.013,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
15,1797,4,-0.639,3.205,0.205,1.098,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
16,1797,5,-0.169,1.966,0.212,1.141,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
17,1797,6,0.796,1.636,0.327,1.254,NaN,NaN,NaN,NaN,NaN,NaN,27.07,0.25
