,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.476,4.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
1,1852,6,-0.418,3.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
2,1852,7,-0.595,4.636,-0.617,1.168,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
3,1852,8,-0.628,2.203,-0.612,1.122,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
4,1852,9,-0.590,1.649,-0.601,1.084,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
5,1852,10,-0.453,1.990,-0.399,1.173,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
6,1852,11,-0.517,4.594,-0.384,1.377,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
7,1852,12,-0.678,3.609,-0.399,1.314,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
8,1853,1,0.134,1.052,-0.425,1.377,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
9,1853,2,-0.042,1.601,-0.414,1.357,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
10,1853,3,-0.123,2.724,-0.357,1.266,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
11,1853,4,-0.397,2.747,-0.322,1.160,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
12,1853,5,-0.299,3.490,-0.307,1.013,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
13,1853,6,-0.597,1.007,-0.274,1.011,NaN,NaN,NaN,NaN,NaN,NaN,30.56,0.64
14,1853,7,-0.915,1.622,-0.287,1.078,-0.514,0.751,NaN,NaN,NaN,NaN,30.56,0.64
15,1853,8,-0.487,1.035,-0.317,1.084,-0.520,0.779,NaN,NaN,NaN,NaN,30.56,0.64
16,1853,9,0.086,1.506,-0.361,1.073,-0.517,0.797,NaN,NaN,NaN,NaN,30.56,0.64
17,1853,10,-0.033,1.191,-0.371,0.958,-0.530,0.784,NaN,NaN,NaN,NaN,30.56,0.64
18,1853,11,-0.332,1.837,-0.397,0.808,-0.517,0.772,NaN,NaN,NaN,NaN,30.56,0.64
19,1853,12,-0.286,0.860,-0.398,0.789,-0.501,0.767,NaN,NaN,NaN,NaN,30.56,0.64
20,1854,1,-0.017,1.655,-0.393,0.800,-0.481,0.756,NaN,NaN,NaN,NaN,30.56,0.64
21,1854,2,-0.400,1.827,-0.389,0.795,-0.462,0.765,NaN,NaN,NaN,NaN,30.56,0.64
22,1854,3,-0.651,1.770,-0.438,0.898,-0.456,0.772,NaN,NaN,NaN,NaN,30.56,0.64
23,1854,4,-0.518,1.680,-0.456,1.009,-0.469,0.773,NaN,NaN,NaN,NaN,30.56,0.64
24,1854,5,-0.616,2.122,-0.485,0.951,-0.448,0.785,NaN,NaN,NaN,NaN,30.56,0.64
25,1854,6,-0.612,1.086,-0.486,0.921,-0.439,0.788,NaN,NaN,NaN,NaN,30.56,0.64
26,1854,7,-0.845,3.422,-0.501,0.876,-0.426,0.819,NaN,NaN,NaN,NaN,30.56,0.64
27,1854,8,-0.444,2.065,-0.531,0.816,-0.423,0.798,NaN,NaN,NaN,NaN,30.56,0.64
28,1854,9,-0.504,2.542,-0.481,0.720,-0.429,0.785,NaN,NaN,NaN,NaN,30.56,0.64
29,1854,10,-0.242,1.491,-0.423,0.728,-0.394,0.789,-0.536,0.787,NaN,NaN,30.56,0.64
30,1854,11,-0.687,1.200,-0.342,0.641,-0.409,0.803,-0.551,0.796,NaN,NaN,30.56,0.64
31,1854,12,-0.296,2.535,-0.318,0.610,-0.424,0.809,-0.545,0.803,NaN,NaN,30.56,0.64
32,1855,1,-0.201,1.439,-0.271,0.714,-0.433,0.817,-0.542,0.810,NaN,NaN,30.56,0.64
33,1855,2,-0.753,3.851,-0.274,0.878,-0.431,0.806,-0.550,0.825,NaN,NaN,30.56,0.64
34,1855,3,-0.052,1.628,-0.257,0.976,-0.431,0.801,-0.546,0.827,NaN,NaN,30.56,0.64
35,1855,4,0.175,1.303,-0.301,1.108,-0.434,0.785,-0.543,0.832,NaN,NaN,30.56,0.64
36,1855,5,0.359,1.379,-0.269,1.036,-0.441,0.789,-0.536,0.826,NaN,NaN,30.56,0.64
37,1855,6,-0.326,1.958,-0.300,0.977,-0.438,0.798,-0.533,0.830,NaN,NaN,30.56,0.64
38,1855,7,-0.285,1.371,-0.309,1.139,-0.441,0.805,-0.532,0.842,NaN,NaN,30.56,0.64
39,1855,8,-0.471,1.890,-0.252,1.099,-0.441,0.808,-0.528,0.844,NaN,NaN,30.56,0.64
40,1855,9,-0.309,1.596,-0.290,1.069,-0.446,0.803,-0.518,0.849,NaN,NaN,30.56,0.64
41,1855,10,-0.760,1.842,-0.343,1.098,-0.445,0.802,-0.512,0.854,NaN,NaN,30.56,0.64
42,1855,11,-0.302,1.015,-0.420,1.131,-0.456,0.780,-0.502,0.863,NaN,NaN,30.56,0.64
43,1855,12,-0.676,1.538,-0.429,1.117,-0.456,0.801,-0.511,0.849,NaN,NaN,30.56,0.64
44,1856,1,-0.307,1.807,-0.489,1.106,-0.457,0.827,-0.515,0.866,NaN,NaN,30.56,0.64
45,1856,2,-0.075,2.301,-0.542,1.107,-0.451,0.841,-0.520,0.860,NaN,NaN,30.56,0.64
46,1856,3,-0.502,2.108,-0.507,1.157,-0.454,0.837,-0.519,0.865,NaN,NaN,30.56,0.64
47,1856,4,-0.468,1.889,-0.496,1.134,-0.459,0.854,-0.529,0.861,NaN,NaN,30.56,0.64
48,1856,5,-0.556,1.473,-0.461,1.305,-0.467,0.845,-0.522,0.856,NaN,NaN,30.56,0.64
49,1856,6,-0.432,1.649,-0.429,1.391,-0.467,0.851,-0.516,0.842,NaN,NaN,30.56,0.64
50,1856,7,-1.012,1.317,-0.416,1.490,-0.474,0.856,-0.507,0.830,NaN,NaN,30.56,0.64
51,1856,8,-1.108,1.347,-0.405,1.349,-0.473,0.883,-0.496,0.839,NaN,NaN,30.56,0.64
52,1856,9,0.119,1.816,-0.415,1.266,-0.473,0.891,-0.495,0.840,NaN,NaN,30.56,0.64
53,1856,10,-0.636,1.813,-0.436,1.335,-0.472,0.919,-0.494,0.838,NaN,NaN,30.56,0.64
54,1856,11,0.115,3.628,-0.501,1.384,-0.461,0.933,-0.488,0.835,NaN,NaN,30.56,0.64
55,1856,12,-0.282,2.405,-0.576,1.411,-0.460,0.961,-0.485,0.820,NaN,NaN,30.56,0.64
56,1857,1,-0.158,3.211,-0.584,1.346,-0.463,1.009,-0.483,0.817,NaN,NaN,30.56,0.64
57,1857,2,0.064,2.746,-0.537,1.293,-0.470,1.029,-0.495,0.805,NaN,NaN,30.56,0.64
58,1857,3,-0.628,1.546,-0.594,1.207,-0.470,1.065,-0.501,0.792,NaN,NaN,30.56,0.64
59,1857,4,-0.720,2.082,-0.597,1.207,-0.473,1.093,-0.482,0.787,NaN,NaN,30.56,0.64
60,1857,5,-1.340,1.885,-0.683,1.246,-0.477,1.105,-0.475,0.788,NaN,NaN,30.56,0.64
61,1857,6,-1.324,2.668,-0.700,1.299,-0.486,1.114,-0.477,0.784,NaN,NaN,30.56,0.64
62,1857,7,-1.116,3.187,-0.689,1.448,-0.493,1.143,-0.471,0.793,NaN,NaN,30.56,0.64
63,1857,8,-0.544,1.676,-0.700,1.389,-0.494,1.100,-0.473,0.795,NaN,NaN,30.56,0.64
64,1857,9,-0.564,1.194,-0.684,1.459,-0.502,1.076,-0.471,0.794,NaN,NaN,30.56,0.64
65,1857,10,-0.664,2.132,-0.649,1.472,-0.514,1.105,-0.461,0.786,NaN,NaN,30.56,0.64
66,1857,11,-0.925,3.248,-0.621,1.509,-0.521,1.103,-0.459,0.790,NaN,NaN,30.56,0.64
67,1857,12,-0.487,3.887,-0.561,1.569,-0.518,1.086,-0.456,0.791,NaN,NaN,30.56,0.64
68,1858,1,-0.022,3.499,-0.549,1.749,-0.525,1.091,-0.455,0.788,NaN,NaN,30.56,0.64
69,1858,2,-0.064,2.030,-0.513,1.773,-0.521,1.086,-0.456,0.782,NaN,NaN,30.56,0.64
70,1858,3,-0.443,1.723,-0.473,1.805,-0.520,1.111,-0.459,0.780,NaN,NaN,30.56,0.64
71,1858,4,-0.301,2.396,-0.448,1.841,-0.514,1.105,-0.456,0.776,NaN,NaN,30.56,0.64
72,1858,5,-1.002,1.864,-0.435,1.689,-0.507,1.112,-0.457,0.765,NaN,NaN,30.56,0.64
73,1858,6,-0.605,2.110,-0.420,1.447,-0.520,1.119,-0.457,0.771,NaN,NaN,30.56,0.64
74,1858,7,-0.971,2.943,-0.455,1.323,-0.516,1.116,-0.462,0.774,NaN,NaN,30.56,0.64
75,1858,8,-0.113,1.418,-0.479,1.429,-0.520,1.090,-0.465,0.783,NaN,NaN,30.56,0.64
76,1858,9,-0.085,1.049,-0.495,1.447,-0.520,1.065,-0.476,0.780,NaN,NaN,30.56,0.64
77,1858,10,-0.362,2.731,-0.507,1.483,-0.528,1.059,-0.480,0.780,NaN,NaN,30.56,0.64
78,1858,11,-0.773,1.948,-0.419,1.421,-0.527,1.057,-0.479,0.774,NaN,NaN,30.56,0.64
79,1858,12,-0.301,1.690,-0.416,1.348,-0.532,1.048,-0.483,0.763,NaN,NaN,30.56,0.64
80,1859,1,-0.439,1.818,-0.422,1.223,-0.533,1.052,-0.492,0.761,NaN,NaN,30.56,0.64
81,1859,2,-0.356,3.081,-0.484,1.242,-0.529,1.057,-0.493,0.755,NaN,NaN,30.56,0.64
82,1859,3,-0.632,2.223,-0.517,1.298,-0.534,1.056,-0.490,0.750,NaN,NaN,30.56,0.64
83,1859,4,-0.445,2.604,-0.524,1.206,-0.519,1.051,-0.493,0.754,NaN,NaN,30.56,0.64
84,1859,5,0.051,1.869,-0.534,1.348,-0.528,1.071,-0.489,0.759,NaN,NaN,30.56,0.64
85,1859,6,-0.569,2.143,-0.581,1.482,-0.530,1.064,-0.488,0.765,NaN,NaN,30.56,0.64
86,1859,7,-1.039,2.092,-0.596,1.531,-0.540,1.050,-0.487,0.782,NaN,NaN,30.56,0.64
87,1859,8,-0.860,2.413,-0.633,1.345,-0.567,1.021,-0.489,0.794,NaN,NaN,30.56,0.64
88,1859,9,-0.480,1.986,-0.625,1.291,-0.572,1.019,NaN,NaN,NaN,NaN,30.56,0.64
89,1859,10,-0.445,1.223,-0.633,1.214,-0.569,1.006,NaN,NaN,NaN,NaN,30.56,0.64
90,1859,11,-0.893,2.024,-0.644,1.129,-0.541,0.999,NaN,NaN,NaN,NaN,30.56,0.64
91,1859,12,-0.865,3.118,-0.611,1.052,-0.530,0.989,NaN,NaN,NaN,NaN,30.56,0.64
92,1860,1,-0.621,2.660,-0.580,1.080,-0.509,0.984,NaN,NaN,NaN,NaN,30.56,0.64
93,1860,2,-0.794,2.022,-0.527,1.066,-0.514,0.981,NaN,NaN,-0.444,0.713,30.56,0.64
94,1860,3,-0.545,1.934,-0.509,1.087,-0.511,0.980,NaN,NaN,-0.439,0.714,30.56,0.64
95,1860,4,-0.538,1.666,-0.503,1.147,-0.487,0.958,NaN,NaN,-0.433,0.712,30.56,0.64
96,1860,5,-0.082,1.574,-0.422,1.061,-0.477,0.944,NaN,NaN,-0.425,0.710,30.56,0.64
97,1860,6,-0.165,1.483,-0.469,0.990,-0.473,0.917,NaN,NaN,-0.420,0.716,30.56,0.64
98,1860,7,-0.673,2.471,-0.423,1.204,-0.470,0.888,NaN,NaN,-0.416,0.716,30.56,0.64
99,1860,8,-0.223,1.834,-0.385,1.089,-0.471,0.880,NaN,NaN,-0.416,0.715,30.56,0.64
100,1860,9,-0.262,2.838,-0.382,1.101,-0.472,0.870,NaN,NaN,-0.413,0.710,30.56,0.64
101,1860,10,-0.370,2.432,-0.416,1.081,-0.467,0.863,NaN,NaN,-0.410,0.705,30.56,0.64
102,1860,11,0.073,1.349,-0.448,1.160,-0.457,0.859,NaN,NaN,-0.404,0.707,30.56,0.64
103,1860,12,-1.428,1.779,-0.495,1.082,NaN,NaN,NaN,NaN,-0.403,0.697,30.56,0.64
104,1861,1,-0.071,2.987,-0.531,0.932,NaN,NaN,NaN,NaN,-0.408,0.702,30.56,0.64
105,1861,2,-0.336,2.836,-0.584,0.938,NaN,NaN,NaN,NaN,-0.409,0.708,30.56,0.64
106,1861,3,-0.509,1.572,-0.574,0.956,NaN,NaN,NaN,NaN,-0.406,0.712,30.56,0.64
107,1861,4,NaN,NaN,-0.523,0.911,NaN,NaN,NaN,NaN,-0.405,0.710,30.56,0.64
108,1861,5,-0.472,2.864,-0.563,0.957,NaN,NaN,NaN,NaN,-0.402,0.704,30.56,0.64
109,1861,6,-0.734,2.232,-0.482,0.865,NaN,NaN,NaN,NaN,-0.397,0.698,30.56,0.64
110,1861,7,-1.103,1.829,-0.536,0.791,NaN,NaN,NaN,NaN,-0.387,0.691,30.56,0.64
111,1861,8,-0.855,2.806,-0.641,0.892,NaN,NaN,NaN,NaN,-0.376,0.690,30.56,0.64
112,1861,9,-0.148,1.939,-0.674,0.928,NaN,NaN,NaN,NaN,-0.374,0.685,30.56,0.64
113,1861,10,0.252,2.128,-0.642,0.863,NaN,NaN,NaN,NaN,-0.372,0.682,30.56,0.64
114,1861,11,-0.409,1.308,-0.573,0.876,NaN,NaN,NaN,NaN,-0.367,0.678,30.56,0.64
115,1861,12,-0.454,1.078,-0.564,0.779,NaN,NaN,NaN,NaN,-0.365,0.670,30.56,0.64
116,1862,1,-0.727,2.333,NaN,NaN,NaN,NaN,NaN,NaN,-0.362,0.668,30.56,0.64
117,1862,2,-1.589,1.840,NaN,NaN,NaN,NaN,NaN,NaN,-0.362,0.661,30.56,0.64
118,1862,3,-0.906,1.396,NaN,NaN,NaN,NaN,NaN,NaN,-0.358,0.656,30.56,0.64
119,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.345,0.658,30.56,0.64
120,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.341,0.657,30.56,0.64
121,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.337,0.653,30.56,0.64
122,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.333,0.652,30.56,0.64
123,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.329,0.650,30.56,0.64
124,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.330,0.648,30.56,0.64
125,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.324,0.645,30.56,0.64
126,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.323,0.645,30.56,0.64
127,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.318,0.648,30.56,0.64
128,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.315,0.650,30.56,0.64
129,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.315,0.649,30.56,0.64
130,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.310,0.647,30.56,0.64
131,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.308,0.641,30.56,0.64
132,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.306,0.630,30.56,0.64
133,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.301,0.634,30.56,0.64
134,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.297,0.634,30.56,0.64
135,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.297,0.633,30.56,0.64
136,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.298,0.628,30.56,0.64
137,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.298,0.626,30.56,0.64
138,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.298,0.623,30.56,0.64
139,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.297,0.622,30.56,0.64
140,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.301,0.621,30.56,0.64
141,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.301,0.619,30.56,0.64
142,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.299,0.617,30.56,0.64
143,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.292,0.618,30.56,0.64
144,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.289,0.624,30.56,0.64
145,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.284,0.630,30.56,0.64
146,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.280,0.645,30.56,0.64
147,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.275,0.655,30.56,0.64
148,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.272,0.662,30.56,0.64
149,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.268,0.671,30.56,0.64
150,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.263,0.672,30.56,0.64
151,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.254,0.666,30.56,0.64
152,1865,1,-1.097,2.761,NaN,NaN,NaN,NaN,NaN,NaN,-0.256,0.665,30.56,0.64
153,1865,2,0.778,3.404,NaN,NaN,NaN,NaN,NaN,NaN,-0.253,0.649,30.56,0.64
154,1865,3,-1.370,2.996,-0.537,0.782,NaN,NaN,NaN,NaN,-0.252,0.641,30.56,0.64
155,1865,4,-1.568,1.432,-0.549,0.807,NaN,NaN,NaN,NaN,-0.252,0.638,30.56,0.64
156,1865,5,-1.728,2.770,-0.563,0.757,NaN,NaN,NaN,NaN,-0.252,0.637,30.56,0.64
157,1865,6,-0.148,2.621,-0.600,0.829,NaN,NaN,NaN,NaN,-0.256,0.638,30.56,0.64
158,1865,7,-0.726,2.302,-0.577,0.864,NaN,NaN,NaN,NaN,-0.258,0.636,30.56,0.64
159,1865,8,-0.655,2.284,-0.705,0.771,NaN,NaN,NaN,NaN,-0.257,0.633,30.56,0.64
160,1865,9,0.341,0.786,-0.595,0.822,NaN,NaN,NaN,NaN,-0.256,0.630,30.56,0.64
161,1865,10,-0.280,2.683,-0.459,0.829,NaN,NaN,NaN,NaN,-0.254,0.626,30.56,0.64
