,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1859,11,-0.563,1.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
1,1859,12,-0.301,3.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
2,1860,1,-0.926,2.575,-0.525,1.002,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
3,1860,2,-0.091,1.763,-0.581,1.003,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
4,1860,3,-0.210,1.262,-0.631,1.031,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
5,1860,4,-0.650,2.211,-0.634,0.979,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
6,1860,5,-0.670,1.448,-0.739,0.938,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
7,1860,6,-0.409,1.499,-0.822,0.920,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
8,1860,7,-1.671,1.796,-0.831,0.874,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
9,1860,8,-0.646,1.447,-0.992,0.967,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
10,1860,9,-1.004,2.099,-1.160,1.097,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
11,1860,10,-0.472,1.323,-1.176,1.023,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
12,1860,11,-1.814,2.159,-1.201,0.969,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
13,1860,12,-1.303,1.301,-1.180,0.926,NaN,NaN,NaN,NaN,NaN,NaN,6.30,0.90
14,1861,1,-1.034,1.399,-1.152,0.913,-0.545,0.653,NaN,NaN,NaN,NaN,6.30,0.90
15,1861,2,-2.021,3.220,-1.160,0.898,-0.560,0.645,NaN,NaN,NaN,NaN,6.30,0.90
16,1861,3,-2.231,2.850,-1.041,0.756,-0.581,0.638,NaN,NaN,NaN,NaN,6.30,0.90
17,1861,4,-0.830,1.391,-1.050,0.820,-0.590,0.617,NaN,NaN,NaN,NaN,6.30,0.90
18,1861,5,-0.974,1.448,-0.994,0.815,-0.593,0.618,NaN,NaN,NaN,NaN,6.30,0.90
19,1861,6,-0.158,1.341,-0.944,0.828,-0.600,0.609,NaN,NaN,NaN,NaN,6.30,0.90
20,1861,7,-1.335,1.658,-0.976,0.876,-0.617,0.590,NaN,NaN,NaN,NaN,6.30,0.90
21,1861,8,-0.745,1.511,-0.871,0.819,-0.641,0.590,NaN,NaN,NaN,NaN,6.30,0.90
22,1861,9,0.431,1.854,-0.783,0.837,-0.668,0.589,NaN,NaN,NaN,NaN,6.30,0.90
23,1861,10,-0.583,1.199,-0.763,0.799,-0.691,0.592,NaN,NaN,NaN,NaN,6.30,0.90
24,1861,11,-1.141,2.100,-0.740,0.702,-0.690,0.597,NaN,NaN,NaN,NaN,6.30,0.90
25,1861,12,-0.708,1.509,-0.851,0.638,-0.677,0.591,NaN,NaN,NaN,NaN,6.30,0.90
26,1862,1,-1.419,3.114,-0.749,0.707,-0.681,0.585,NaN,NaN,NaN,NaN,6.30,0.90
27,1862,2,-0.756,3.540,-0.841,0.666,-0.686,0.576,NaN,NaN,NaN,NaN,6.30,0.90
28,1862,3,-1.179,1.484,-0.966,0.642,-0.679,0.574,NaN,NaN,NaN,NaN,6.30,0.90
29,1862,4,-0.586,1.421,-0.979,0.620,-0.676,0.557,NaN,NaN,NaN,NaN,6.30,0.90
30,1862,5,-0.702,1.085,-0.906,0.623,-0.675,0.539,NaN,NaN,NaN,NaN,6.30,0.90
31,1862,6,-1.487,1.410,-0.828,0.725,-0.685,0.532,NaN,NaN,NaN,NaN,6.30,0.90
32,1862,7,-0.115,1.178,-0.684,0.589,-0.672,0.536,NaN,NaN,NaN,NaN,6.30,0.90
33,1862,8,-1.842,2.133,-0.628,0.669,-0.681,0.532,NaN,NaN,NaN,NaN,6.30,0.90
34,1862,9,-1.070,1.439,-0.558,0.705,-0.676,0.530,NaN,NaN,NaN,NaN,6.30,0.90
35,1862,10,-0.747,1.496,-0.451,0.687,-0.660,0.519,NaN,NaN,NaN,NaN,6.30,0.90
36,1862,11,-0.266,1.323,-0.460,0.783,-0.663,0.508,NaN,NaN,NaN,NaN,6.30,0.90
