,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-1.713,3.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
1,1814,2,-4.532,3.676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
2,1814,3,-1.493,3.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
3,1814,4,1.654,3.236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
4,1814,5,-1.138,3.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
5,1814,6,-0.357,3.222,-0.425,1.460,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
6,1814,7,1.000,3.206,-0.314,1.447,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
7,1814,8,0.895,3.174,0.538,1.395,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
8,1814,9,-1.860,3.219,0.963,1.361,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
9,1814,10,-2.216,3.192,0.826,1.357,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
10,1814,11,1.646,3.450,1.073,1.363,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
11,1814,12,3.013,3.200,1.265,1.355,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
12,1815,1,-0.379,3.310,1.110,1.345,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
13,1815,2,5.691,3.204,1.055,1.349,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
14,1815,3,3.612,3.173,1.139,1.360,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
15,1815,4,0.010,3.206,1.341,1.381,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
16,1815,5,1.816,3.235,1.128,1.346,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
17,1815,6,1.955,3.170,0.683,1.357,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
18,1815,7,-0.868,3.174,1.095,1.350,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
19,1815,8,0.236,3.198,0.657,1.344,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
20,1815,9,-0.851,3.278,0.521,1.335,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
21,1815,10,0.210,3.361,0.489,1.334,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
22,1815,11,-0.910,3.178,0.399,1.331,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
23,1815,12,-2.327,3.225,0.320,1.342,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
24,1816,1,4.570,3.286,0.415,1.371,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
25,1816,2,0.436,3.211,0.330,1.372,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
26,1816,3,1.969,3.187,0.376,1.368,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
27,1816,4,-0.363,3.196,0.275,1.352,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
28,1816,5,0.735,3.216,0.253,1.357,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
29,1816,6,1.000,3.232,0.395,1.339,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
30,1816,7,0.276,3.361,0.385,1.334,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
31,1816,8,-0.790,3.209,0.823,1.318,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
32,1816,9,-0.292,3.230,0.850,1.317,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
33,1816,10,-1.005,3.187,0.583,1.315,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
34,1816,11,-1.177,3.196,0.601,1.316,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
35,1816,12,-0.616,3.329,0.748,1.319,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
36,1817,1,4.443,3.233,0.811,1.321,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
37,1817,2,5.693,3.230,0.938,1.339,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
38,1817,3,2.297,3.173,1.031,1.338,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
39,1817,4,-3.565,3.236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
40,1817,5,0.946,3.190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
41,1817,6,2.768,3.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
42,1817,7,1.024,3.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
43,1817,8,0.742,3.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
44,1817,9,0.827,3.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
45,1817,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
46,1817,11,1.115,3.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
47,1817,12,1.338,3.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
48,1818,1,3.208,2.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
49,1818,2,3.200,3.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
50,1818,3,3.000,2.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
51,1818,4,0.500,2.967,1.806,1.255,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
52,1818,5,3.259,2.892,1.728,1.240,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
53,1818,6,1.570,2.825,1.665,1.211,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
54,1818,7,1.035,2.898,1.595,1.214,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
55,1818,8,0.683,2.825,1.582,1.207,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
56,1818,9,1.638,3.272,1.574,1.210,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
57,1818,10,1.123,2.764,1.635,1.213,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
58,1818,11,0.177,2.765,1.455,1.222,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
59,1818,12,0.583,3.437,1.477,1.244,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
60,1819,1,2.374,5.008,1.496,1.241,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
61,1819,2,3.042,5.111,1.705,1.241,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
62,1819,3,2.906,5.300,1.653,1.230,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
63,1819,4,1.225,4.087,1.592,1.256,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
64,1819,5,1.104,4.252,1.611,1.271,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
65,1819,6,1.837,3.400,1.548,1.285,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
66,1819,7,1.264,4.186,1.225,1.304,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
67,1819,8,3.182,5.245,1.218,1.298,NaN,NaN,NaN,NaN,NaN,NaN,1.69,0.45
