,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.009,2.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
1,1814,2,-4.662,1.910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
2,1814,3,-3.263,1.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
3,1814,4,1.597,1.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
4,1814,5,-2.236,1.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
5,1814,6,-2.290,3.024,-1.524,1.243,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
6,1814,7,-0.203,1.263,-1.503,1.219,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
7,1814,8,-1.359,1.581,-0.988,1.158,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
8,1814,9,-1.843,4.196,-0.545,1.160,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
9,1814,10,-2.316,1.127,-0.610,1.134,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
10,1814,11,0.245,1.639,-0.373,1.126,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
11,1814,12,1.046,1.230,-0.266,0.983,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
12,1815,1,-2.755,1.571,-0.449,1.040,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
13,1815,2,1.522,1.299,-0.509,0.977,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
14,1815,3,2.050,1.443,-0.442,1.084,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
15,1815,4,0.819,1.527,-0.273,1.152,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
16,1815,5,0.611,1.692,-0.404,1.119,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
17,1815,6,-1.010,1.343,-0.670,1.110,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
18,1815,7,-2.392,1.870,-0.430,1.113,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
19,1815,8,-2.081,1.038,-0.707,1.153,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
20,1815,9,-1.045,1.200,-1.037,1.119,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
21,1815,10,-0.288,1.763,-1.121,1.152,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
22,1815,11,-1.326,1.383,-1.323,1.218,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
23,1815,12,-2.148,1.377,-1.504,1.350,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
24,1816,1,0.123,1.607,-1.538,1.435,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
25,1816,2,-1.799,1.707,-1.628,1.488,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
26,1816,3,-1.912,1.117,-1.729,1.629,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
27,1816,4,-0.179,1.900,-1.802,1.747,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
28,1816,5,-1.816,2.455,-1.828,1.918,NaN,NaN,NaN,NaN,NaN,NaN,13.22,0.69
29,1816,6,-3.186,2.896,-1.718,1.929,-0.885,1.710,NaN,NaN,NaN,NaN,13.22,0.69
30,1816,7,-2.800,2.894,-1.554,1.966,-0.815,1.674,NaN,NaN,NaN,NaN,13.22,0.69
31,1816,8,-3.164,1.541,-1.180,1.977,-0.718,1.623,NaN,NaN,NaN,NaN,13.22,0.69
32,1816,9,-2.257,2.606,-1.050,2.113,-0.672,1.649,NaN,NaN,NaN,NaN,13.22,0.69
33,1816,10,-1.153,3.087,-1.302,2.115,-0.680,1.571,NaN,NaN,NaN,NaN,13.22,0.69
34,1816,11,-1.646,3.164,-1.290,2.171,-0.629,NaN,NaN,NaN,NaN,NaN,13.22,0.69
35,1816,12,-0.826,1.516,-1.014,2.171,-0.594,NaN,NaN,NaN,NaN,NaN,13.22,0.69
36,1817,1,2.085,1.966,-0.957,2.212,-0.583,NaN,NaN,NaN,NaN,NaN,13.22,0.69
37,1817,2,2.695,1.848,-0.849,2.406,-0.561,NaN,NaN,NaN,NaN,NaN,13.22,0.69
38,1817,3,-0.356,2.553,-0.668,2.334,-0.535,NaN,NaN,NaN,NaN,NaN,13.22,0.69
39,1817,4,-3.205,1.937,-0.900,2.204,-0.508,NaN,NaN,NaN,NaN,NaN,13.22,0.69
40,1817,5,-1.666,3.160,-0.611,2.030,-0.535,NaN,NaN,NaN,NaN,NaN,13.22,0.69
41,1817,6,0.120,2.903,-0.578,2.068,-0.568,NaN,NaN,NaN,NaN,NaN,13.22,0.69
42,1817,7,-2.118,3.443,-0.644,2.027,-0.570,NaN,NaN,NaN,NaN,NaN,13.22,0.69
43,1817,8,-1.863,3.712,-0.857,2.190,-0.602,NaN,NaN,NaN,NaN,NaN,13.22,0.69
44,1817,9,-0.088,1.844,-0.871,2.211,-0.668,NaN,NaN,NaN,NaN,NaN,13.22,0.69
45,1817,10,-3.934,1.629,-0.527,2.243,-0.656,NaN,NaN,NaN,NaN,NaN,13.22,0.69
46,1817,11,1.820,1.874,-0.428,2.457,-0.663,NaN,NaN,NaN,NaN,NaN,13.22,0.69
47,1817,12,-0.421,1.459,-0.351,2.620,-0.679,NaN,NaN,NaN,NaN,NaN,13.22,0.69
48,1818,1,1.289,11.474,-0.144,2.494,-0.659,NaN,NaN,NaN,NaN,NaN,13.22,0.69
49,1818,2,0.141,7.205,-0.094,2.277,-0.608,NaN,NaN,NaN,NaN,NaN,13.22,0.69
50,1818,3,-0.527,10.845,-0.141,2.307,-0.611,NaN,NaN,NaN,NaN,NaN,13.22,0.69
51,1818,4,0.918,10.581,0.186,2.311,-0.636,NaN,NaN,NaN,NaN,NaN,13.22,0.69
52,1818,5,-0.473,8.175,0.177,2.296,-0.639,NaN,NaN,NaN,NaN,NaN,13.22,0.69
53,1818,6,1.040,7.742,0.064,2.438,-0.622,NaN,NaN,NaN,NaN,NaN,13.22,0.69
54,1818,7,0.372,1.792,0.056,2.313,-0.620,NaN,NaN,NaN,NaN,NaN,13.22,0.69
55,1818,8,-1.262,6.239,0.139,2.088,-0.617,NaN,NaN,NaN,NaN,NaN,13.22,0.69
56,1818,9,-0.650,2.053,0.144,2.079,-0.596,NaN,NaN,NaN,NaN,NaN,13.22,0.69
57,1818,10,-0.019,1.641,0.158,2.474,-0.567,NaN,NaN,NaN,NaN,NaN,13.22,0.69
58,1818,11,1.710,7.925,0.269,NaN,-0.556,NaN,NaN,NaN,NaN,NaN,13.22,0.69
59,1818,12,-1.770,3.702,0.166,NaN,-0.556,NaN,-0.542,NaN,NaN,NaN,13.22,0.69
60,1819,1,1.192,8.875,0.173,NaN,-0.558,NaN,-0.514,NaN,NaN,NaN,13.22,0.69
61,1819,2,1.141,9.323,0.276,NaN,-0.512,NaN,-0.465,NaN,NaN,NaN,13.22,0.69
62,1819,3,-0.477,8.667,0.305,NaN,-0.470,NaN,-0.448,NaN,NaN,NaN,13.22,0.69
